,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,machine_temperature_system_failure.csv,0.002800554,Linear,0.4,1,Linear,0.63157895,0.79824562
2,Thyroid Disease,0.0028825551,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Breast Cancer Diagnostic,0.0030203313,KMeans,0.83333333,3,KMeans,0.83333333,1.0
4,Twitter_volume_AMZN.csv,0.00565587,KMeans,0.66666667,4,KMeans,0.83333333,1.0
5,nyc_taxi.csv,0.006449342,Linear,0.25,5,KMeans,0.83333333,1.0
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0076953173,KMeans,0.5,6,KMeans,0.83333333,1.0
7,ec2_disk_write_bytes_c0d644.csv,0.008058354,Linear,0.5,7,KMeans,0.83333333,1.0
8,art_daily_jumpsdown.csv,0.009233236,KMeans,0.03030303,8,KMeans,0.83333333,1.0
9,ambient_temperature_system_failure.csv,0.012120903,KMeans,0.8,9,KMeans,0.83333333,1.0
10,speed_t4013.csv,0.013455272,Linear,1.0,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,0.0033991188,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,ec2_cpu_utilization_5f5533.csv,0.0037944764,KMeans,0.57142857,2,KMeans,0.38537271,0.4468761299999999
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0039668083,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999
16,ec2_disk_write_bytes_c0d644.csv,0.0062032193,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
17,nyc_taxi.csv,0.0067777187,Linear,0.25,5,KMeans,0.38537271,0.4468761299999999
18,ec2_cpu_utilization_825cc2.csv,0.008024916,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AAPL.csv,0.008627385,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
20,exchange-3_cpc_results.csv,0.010612175,Linear,0.57142857,8,KMeans,0.38537271,0.4468761299999999
21,Thyroid Disease,0.011219814,KMeans,0.22317597,9,KMeans,0.38537271,0.4468761299999999
22,art_daily_jumpsdown.csv,0.014102265,KMeans,0.03030303,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,Twitter_volume_AMZN.csv,0.0005158484,KMeans,0.66666667,1,KMeans,0.52631579,1.0
26,Breast Cancer Diagnostic,0.0011782348,KMeans,0.83333333,2,KMeans,0.52631579,1.0
27,art_daily_jumpsdown.csv,0.0022256374,KMeans,0.03030303,3,KMeans,0.52631579,1.0
28,ec2_cpu_utilization_5f5533.csv,0.0027275681,KMeans,0.57142857,4,KMeans,0.52631579,1.0
29,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0035010278,KMeans,0.5,5,KMeans,0.52631579,1.0
30,ec2_disk_write_bytes_c0d644.csv,0.0037122667,Linear,0.5,6,KMeans,0.52631579,1.0
31,exchange-3_cpc_results.csv,0.004426211,Linear,0.57142857,7,KMeans,0.52631579,1.0
32,exchange-2_cpm_results.csv,0.006930217,KMeans,0.8,8,KMeans,0.52631579,1.0
33,ec2_cpu_utilization_825cc2.csv,0.008003265,KMeans,0.66666667,9,KMeans,0.52631579,1.0
34,speed_7578.csv,0.0127829015,KMeans,0.75,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,ec2_disk_write_bytes_c0d644.csv,0.0021682233,Linear,0.5,1,Linear,0.22222222,0.77676767
38,art_daily_jumpsdown.csv,0.0043594837,KMeans,0.03030303,2,KMeans,0.44545455,1.0
39,ec2_cpu_utilization_825cc2.csv,0.006605506,KMeans,0.66666667,3,KMeans,0.44545455,1.0
40,nyc_taxi.csv,0.0072299093,Linear,0.25,4,KMeans,0.44545455,1.0
41,Thyroid Disease,0.007912621,KMeans,0.22317597,5,KMeans,0.44545455,1.0
42,machine_temperature_system_failure.csv,0.008804828,Linear,0.4,6,KMeans,0.44545455,1.0
43,exchange-3_cpm_results.csv,0.013794303,Linear,1.0,7,Linear,0.22222222,0.77676767
44,TravelTime_387.csv,0.016219541,KMeans,0.66666667,8,KMeans,0.44545455,1.0
45,Breast Cancer Diagnostic,0.016255125,KMeans,0.83333333,9,KMeans,0.44545455,1.0
46,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.016864225,KMeans,0.5,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,machine_temperature_system_failure.csv,0.008139759,Linear,0.4,1,Linear,0.19112628,0.96795031
50,Thyroid Disease,0.0087420195,KMeans,0.22317597,2,KMeans,0.22317597,1.0
