,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,ec2_cpu_utilization_ac20cd.csv,7.5801940000000005,KMeans,0.66666667,1,KMeans,0.83333333,1.0
2,exchange-3_cpm_results.csv,8.232850999999998,Linear,1.0,2,KMeans,0.83333333,1.0
3,Object Images,9.459468999999999,Gaussian,0.06772229,3,Gaussian,0.73684211,0.90350878
4,Speech Accent Data,9.459468999999999,Linear,0.11764706,4,Linear,0.63157895,0.79824562
5,Letter Recognition,9.459645,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,art_daily_jumpsdown.csv,9.942630000000001,KMeans,0.03030303,6,KMeans,0.83333333,1.0
7,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,10.361696,KMeans,0.5,7,KMeans,0.83333333,1.0
8,TravelTime_387.csv,10.471858000000001,KMeans,0.66666667,8,KMeans,0.83333333,1.0
9,ec2_cpu_utilization_5f5533.csv,10.613544,KMeans,0.57142857,9,KMeans,0.83333333,1.0
10,Breast Cancer Diagnostic,11.335280999999998,KMeans,0.83333333,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,nyc_taxi.csv,5.999985000000001,Linear,0.25,1,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text (Local),7.2773200000000005,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,7.710658,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Object Images,8.999983,Gaussian,0.06772229,4,KMeans,0.38537271,0.4468761299999999
17,Speech Accent Data,8.999983,Linear,0.11764706,5,KMeans,0.38537271,0.4468761299999999
18,machine_temperature_system_failure.csv,9.000031,Linear,0.4,6,Linear,0.92639843,0.98790185
19,Letter Recognition,9.000174999999999,KMeans,0.44545455,7,KMeans,0.38537271,0.4468761299999999
20,ec2_cpu_utilization_5f5533.csv,9.733747999999999,KMeans,0.57142857,8,KMeans,0.38537271,0.4468761299999999
21,TravelTime_387.csv,9.997178,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
22,elb_request_count_8c0756.csv,10.000138,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,Object Images,8.999642,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
26,Speech Accent Data,8.999642,Linear,0.11764706,2,Gaussian,0.01392758,0.4876117900000001
27,Letter Recognition,8.999834,KMeans,0.44545455,3,Gaussian,0.01392758,0.4876117900000001
28,machine_temperature_system_failure.csv,9.000348,Linear,0.4,4,Linear,0.02505219,0.4987364000000001
29,exchange-2_cpm_results.csv,9.45436,KMeans,0.8,5,KMeans,0.52631579,1.0
30,ec2_cpu_utilization_c6585a.csv,9.912058,Linear,0.0,6,Linear,0.02505219,0.4987364000000001
31,speed_t4013.csv,9.999770999999999,Linear,1.0,7,Linear,0.02505219,0.4987364000000001
32,exchange-2_cpc_results.csv,10.000244,KMeans,0.33333333,8,Linear,0.02505219,0.4987364000000001
33,Twitter_volume_KO.csv,11.000193,Linear,0.8,9,Linear,0.02505219,0.4987364000000001
34,exchange-3_cpm_results.csv,11.3279,Linear,1.0,10,Linear,0.02505219,0.4987364000000001
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,rds_cpu_utilization_cc0c53.csv,0.0005839999999999999,Gaussian,1.0,1,Gaussian,0.25806452,0.81260997
38,ec2_network_in_257a54.csv,0.0005979999999999999,KMeans,0.5,2,Gaussian,0.25806452,0.81260997
39,rogue_agent_key_updown.csv,0.0005999999999999998,Gaussian,0.00083455,3,Gaussian,0.25806452,0.81260997
40,TravelTime_451.csv,0.000722,KMeans,0.4,4,Gaussian,0.25806452,0.81260997
41,ec2_network_in_5abac7.csv,0.000876,Linear,0.66666667,5,Gaussian,0.25806452,0.81260997
42,ec2_disk_write_bytes_1ef3de.csv,0.002032,Linear,0.08695652,6,Gaussian,0.25806452,0.81260997
43,ec2_request_latency_system_failure.csv,7.866523000000001,KMeans,0.66666667,7,KMeans,0.44545455,1.0
44,KDD-Cup99 HTTP,8.000492,RPCA,0.93849658,8,KMeans,0.44545455,1.0
45,art_daily_jumpsup.csv,9.994723,KMeans,0.22222222,9,KMeans,0.44545455,1.0
46,Twitter_volume_CVS.csv,10.998998,Linear,0.66666667,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,Letter Recognition,9.875026000000002,KMeans,0.44545455,1,KMeans,0.22317597,1.0
50,Object Images,9.875248000000001,Gaussian,0.06772229,2,Gaussian,0.18115942,0.95798345
51,Speech Accent Data,9.875248000000001,Linear,0.11764706,3,Gaussian,0.18115942,0.95798345
52,ec2_cpu_utilization_825cc2.csv,10.312383,KMeans,0.66666667,4,KMeans,0.22317597,1.0
53,Twitter_volume_FB.csv,10.393184,Linear,1.0,5,KMeans,0.22317597,1.0
54,machine_temperature_system_failure.csv,10.972952000000001,Linear,0.4,6,Linear,0.19112628,0.96795031
55,Pen-Based Recognition of Handwritten Text (Local),11.227377,KMeans,0.52631579,7,KMeans,0.22317597,1.0
56,exchange-3_cpc_results.csv,11.335280999999998,Linear,0.57142857,8,Linear,0.19112628,0.96795031
57,Twitter_volume_GOOG.csv,11.475584,Linear,0.4,9,Linear,0.19112628,0.96795031
58,occupancy_t4013.csv,12.123532,Linear,1.0,10,Linear,0.19112628,0.96795031
59,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
61,Twitter_volume_AAPL.csv,7.000147,Linear,0.4,1,Linear,0.96707106,0.9994036199999999
62,Twitter_volume_CVS.csv,7.000702,Linear,0.66666667,2,Linear,0.96707106,0.9994036199999999
63,rogue_agent_key_updown.csv,7.99996,Gaussian,0.00083455,3,Linear,0.96707106,0.9994036199999999
64,rds_cpu_utilization_cc0c53.csv,7.999976,Gaussian,1.0,4,Gaussian,0.81503172,0.84736428
65,ec2_network_in_257a54.csv,7.9999899999999995,KMeans,0.5,5,Gaussian,0.81503172,0.84736428
66,TravelTime_451.csv,8.000076,KMeans,0.4,6,Gaussian,0.81503172,0.84736428
67,ec2_network_in_5abac7.csv,8.000166,Linear,0.66666667,7,Linear,0.96707106,0.9994036199999999
68,ec2_cpu_utilization_fe7f93.csv,8.000492,Linear,0.5,8,Linear,0.96707106,0.9994036199999999
69,ec2_disk_write_bytes_1ef3de.csv,8.001420000000001,Linear,0.08695652,9,Linear,0.96707106,0.9994036199999999
70,speed_7578.csv,11.649903,KMeans,0.75,10,Linear,0.96707106,0.9994036199999999
71,,,,,,,,
72,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
73,Twitter_volume_AMZN.csv,7.2773200000000005,KMeans,0.66666667,1,KMeans,0.05851859,0.9907963
74,art_load_balancer_spikes.csv,9.933437,KMeans,0.25,2,KMeans,0.05851859,0.9907963
75,Thyroid Disease,10.91987,KMeans,0.22317597,3,KMeans,0.05851859,0.9907963
76,Breast Cancer Diagnostic,11.227377,KMeans,0.83333333,4,KMeans,0.05851859,0.9907963
77,exchange-3_cpc_results.csv,11.607378,Linear,0.57142857,5,KMeans,0.05851859,0.9907963
78,exchange-3_cpm_results.csv,11.797905,Linear,1.0,6,KMeans,0.05851859,0.9907963
79,machine_temperature_system_failure.csv,12.105649,Linear,0.4,7,KMeans,0.05851859,0.9907963
80,Twitter_volume_GOOG.csv,12.159539,Linear,0.4,8,KMeans,0.05851859,0.9907963
81,Speech Accent Data,12.173257,Linear,0.11764706,9,Linear,0.0663518,0.99862951
82,Object Images,12.173257,Gaussian,0.06772229,10,Linear,0.0663518,0.99862951
83,,,,,,,,
84,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
85,Object Images,0.00022200000000005549,Gaussian,0.06772229,1,Gaussian,0.04856512,0.93091806
