,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,TravelTime_387.csv,0.08298603182645437,KMeans,0.66666667,1,KMeans,0.83333333,1.0
2,ambient_temperature_system_failure.csv,0.1904143603426185,KMeans,0.8,2,KMeans,0.83333333,1.0
3,ec2_cpu_utilization_c6585a.csv,0.25206904828588605,Linear,0.0,3,KMeans,0.83333333,1.0
4,ec2_cpu_utilization_24ae8d.csv,0.3290066046226805,KMeans,1.0,4,KMeans,0.83333333,1.0
5,nyc_taxi.csv,0.3839643243347943,Linear,0.25,5,KMeans,0.83333333,1.0
6,exchange-3_cpc_results.csv,0.5604662175493624,Linear,0.57142857,6,KMeans,0.83333333,1.0
7,art_load_balancer_spikes.csv,0.5954090930090397,KMeans,0.25,7,KMeans,0.83333333,1.0
8,art_increase_spike_density.csv,0.7685157807793326,KMeans,0.15384615,8,KMeans,0.83333333,1.0
9,ec2_cpu_utilization_ac20cd.csv,0.8652604279620739,KMeans,0.66666667,9,KMeans,0.83333333,1.0
10,exchange-2_cpc_results.csv,0.9886710189123136,KMeans,0.33333333,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Twitter_volume_CRM.csv,0.2984422226597303,KMeans,0.54545455,1,KMeans,0.38537271,0.4468761299999999
14,Twitter_volume_AAPL.csv,0.6241262158459904,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999
15,ec2_request_latency_system_failure.csv,0.7809420723251264,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999
16,ec2_cpu_utilization_24ae8d.csv,1.0315232631551225,KMeans,1.0,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_CVS.csv,1.4148526205764966,Linear,0.66666667,5,KMeans,0.38537271,0.4468761299999999
18,art_daily_jumpsup.csv,1.4310298005260051,KMeans,0.22222222,6,KMeans,0.38537271,0.4468761299999999
19,ec2_cpu_utilization_825cc2.csv,1.659377909189459,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_PFE.csv,2.0222133877063584,KMeans,0.42857143,8,KMeans,0.38537271,0.4468761299999999
21,art_increase_spike_density.csv,2.4004020027369632,KMeans,0.15384615,9,KMeans,0.38537271,0.4468761299999999
22,grok_asg_anomaly.csv,2.5364941487260495,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,rds_cpu_utilization_e47b3b.csv,0.15533115082143922,Linear,0.66666667,1,Linear,0.02505219,0.4987364000000001
26,Statlog Shuttle,0.22446273415010864,KMeans,0.96766744,2,KMeans,0.52631579,1.0
27,grok_asg_anomaly.csv,0.3949291653459568,KMeans,0.5,3,KMeans,0.52631579,1.0
28,rogue_agent_key_hold.csv,0.7394871615040213,Linear,0.003367,4,KMeans,0.52631579,1.0
29,Twitter_volume_FB.csv,0.8695309861460032,Linear,1.0,5,Linear,0.02505219,0.4987364000000001
30,ec2_cpu_utilization_77c1ca.csv,1.0930647465799108,KMeans,0.03921569,6,KMeans,0.52631579,1.0
31,exchange-2_cpc_results.csv,1.6137153700444422,KMeans,0.33333333,7,KMeans,0.52631579,1.0
32,art_load_balancer_spikes.csv,1.7789481547044232,KMeans,0.25,8,KMeans,0.52631579,1.0
33,machine_temperature_system_failure.csv,1.8008504097434184,Linear,0.4,9,KMeans,0.52631579,1.0
34,ec2_cpu_utilization_ac20cd.csv,1.9663593493200437,KMeans,0.66666667,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,Object Images,0.0004327242068029591,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
38,Speech Accent Data,0.0004327242068029591,Linear,0.11764706,2,Gaussian,0.25806452,0.81260997
39,ambient_temperature_system_failure.csv,9.546999381104797,KMeans,0.8,3,Gaussian,0.25806452,0.81260997
40,elb_request_count_8c0756.csv,9.630870461493458,Linear,0.66666667,4,Linear,0.22222222,0.77676767
41,rogue_agent_key_hold.csv,9.633126458351917,Linear,0.003367,5,Linear,0.22222222,0.77676767
42,speed_t4013.csv,9.761639820711707,Linear,1.0,6,Linear,0.22222222,0.77676767
43,nyc_taxi.csv,10.67533572369939,Linear,0.25,7,Linear,0.22222222,0.77676767
44,exchange-3_cpc_results.csv,11.401406250649256,Linear,0.57142857,8,Linear,0.22222222,0.77676767
45,art_daily_flatmiddle.csv,12.836475157840141,KMeans,0.02,9,Linear,0.22222222,0.77676767
46,occupancy_6005.csv,12.978565111317582,Linear,1.0,10,Linear,0.22222222,0.77676767
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.2667570232551544,KMeans,0.5,1,KMeans,0.22317597,1.0
50,occupancy_t4013.csv,0.5387140167109656,Linear,1.0,2,KMeans,0.22317597,1.0
51,exchange-4_cpc_results.csv,0.8777513533433989,Linear,0.66666667,3,Linear,0.19112628,0.96795031
