,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,TravelTime_387.csv,0.005801288338774135,KMeans,0.66666667,1,KMeans,0.83333333,1.0
2,ambient_temperature_system_failure.csv,0.01062664578305128,KMeans,0.8,2,KMeans,0.83333333,1.0
3,speed_t4013.csv,0.07447057445050209,Linear,1.0,3,KMeans,0.83333333,1.0
4,elb_request_count_8c0756.csv,0.12441051980389961,Linear,0.66666667,4,KMeans,0.83333333,1.0
5,ec2_cpu_utilization_825cc2.csv,0.18122715071559004,KMeans,0.66666667,5,KMeans,0.83333333,1.0
6,Landsat Satellite,0.3011463557487728,Linear,0.71794872,6,KMeans,0.83333333,1.0
7,Twitter_volume_AMZN.csv,0.3040226485329631,KMeans,0.66666667,7,KMeans,0.83333333,1.0
8,ec2_cpu_utilization_5f5533.csv,0.3377824244227554,KMeans,0.57142857,8,KMeans,0.83333333,1.0
9,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.3949228256547661,KMeans,0.5,9,KMeans,0.83333333,1.0
10,Breast Cancer Diagnostic,0.43987331366261895,KMeans,0.83333333,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,TravelTime_387.csv,0.005801288338774135,KMeans,0.66666667,1,KMeans,0.38537271,0.4468761299999999
14,ambient_temperature_system_failure.csv,0.01062664578305128,KMeans,0.8,2,KMeans,0.38537271,0.4468761299999999
15,speed_t4013.csv,0.07447057445050209,Linear,1.0,3,KMeans,0.38537271,0.4468761299999999
16,elb_request_count_8c0756.csv,0.12441051980389961,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
17,ec2_cpu_utilization_825cc2.csv,0.18122715071559004,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999
18,Landsat Satellite,0.3011463557487728,Linear,0.71794872,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AMZN.csv,0.3040226485329631,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,ec2_cpu_utilization_5f5533.csv,0.3377824244227554,KMeans,0.57142857,8,KMeans,0.38537271,0.4468761299999999
21,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.3949228256547661,KMeans,0.5,9,KMeans,0.38537271,0.4468761299999999
22,Breast Cancer Diagnostic,0.43987331366261895,KMeans,0.83333333,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,art_daily_jumpsdown.csv,0.020847960568842083,KMeans,0.03030303,1,KMeans,0.52631579,1.0
