,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,ec2_cpu_utilization_c6585a.csv,0.008708954,Linear,0.0,1,Linear,0.63157895,0.79824562
2,Pen-Based Recognition of Handwritten Text,0.051665664,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Letter Recognition,0.099912524,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Landsat Satellite,0.21009564,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Statlog Shuttle,0.36046326,KMeans,0.96766744,5,KMeans,0.83333333,1.0
6,ambient_temperature_system_failure.csv,0.5071074,KMeans,0.8,6,KMeans,0.83333333,1.0
7,nyc_taxi.csv,0.5126766,Linear,0.25,7,KMeans,0.83333333,1.0
8,Pen-Based Recognition of Handwritten Text (Local),0.6337776,KMeans,0.52631579,8,KMeans,0.83333333,1.0
9,Object Images,0.8244473,Gaussian,0.06772229,9,KMeans,0.83333333,1.0
10,art_increase_spike_density.csv,0.9833797,KMeans,0.15384615,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,ec2_cpu_utilization_c6585a.csv,0.0066701174,Linear,0.0,1,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text,0.0823462,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,0.1931901,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
16,Landsat Satellite,0.21444762,Linear,0.71794872,4,KMeans,0.38537271,0.4468761299999999
17,Statlog Shuttle,0.34721053,KMeans,0.96766744,5,KMeans,0.38537271,0.4468761299999999
18,nyc_taxi.csv,0.47446513,Linear,0.25,6,KMeans,0.38537271,0.4468761299999999
19,ambient_temperature_system_failure.csv,0.57141244,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
20,Pen-Based Recognition of Handwritten Text (Local),0.6447345,KMeans,0.52631579,8,KMeans,0.38537271,0.4468761299999999
21,Object Images,0.7273842,Gaussian,0.06772229,9,KMeans,0.38537271,0.4468761299999999
22,art_increase_spike_density.csv,1.0052958,KMeans,0.15384615,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,ec2_cpu_utilization_c6585a.csv,0.046607256,Linear,0.0,1,Linear,0.02505219,0.4987364000000001
26,Pen-Based Recognition of Handwritten Text,0.04839015,KMeans,0.88648649,2,KMeans,0.52631579,1.0
27,Letter Recognition,0.1359514,KMeans,0.44545455,3,KMeans,0.52631579,1.0
28,Landsat Satellite,0.20431042,Linear,0.71794872,4,KMeans,0.52631579,1.0
29,Statlog Shuttle,0.3297763,KMeans,0.96766744,5,KMeans,0.52631579,1.0
