,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,28.268040399913694,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text (Local),35.90951232272155,KMeans,0.52631579,2,KMeans,0.83333333,1.0
3,Letter Recognition,37.56108747072922,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Landsat Satellite,41.02680797315122,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Statlog Shuttle,41.8266112300466,KMeans,0.96766744,5,KMeans,0.83333333,1.0
6,Thyroid Disease,62.082205132984384,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Object Images,63.35366267887976,Gaussian,0.06772229,7,KMeans,0.83333333,1.0
8,Speech Accent Data,78.48435581778924,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,art_daily_flatmiddle.csv,87.38255277210695,KMeans,0.02,9,KMeans,0.83333333,1.0
10,speed_7578.csv,88.35618138715334,KMeans,0.75,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Landsat Satellite,27.708700120569368,Linear,0.71794872,1,Linear,0.02505219,0.4987364000000001
14,Letter Recognition,31.300944551980134,KMeans,0.44545455,2,KMeans,0.52631579,1.0
15,Pen-Based Recognition of Handwritten Text,34.0659076661506,KMeans,0.88648649,3,KMeans,0.52631579,1.0
16,Breast Cancer Diagnostic,35.90951232272155,KMeans,0.83333333,4,KMeans,0.52631579,1.0
17,Object Images,36.87543708761759,Gaussian,0.06772229,5,KMeans,0.52631579,1.0
18,Statlog Shuttle,39.61260174469373,KMeans,0.96766744,6,KMeans,0.52631579,1.0
19,art_daily_flatmiddle.csv,53.90469065237969,KMeans,0.02,7,KMeans,0.52631579,1.0
20,ec2_cpu_utilization_fe7f93.csv,63.67887945360162,Linear,0.5,8,KMeans,0.52631579,1.0
