,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Object Images,0.32837136258581623,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
2,art_increase_spike_density.csv,1.0620998044384748,KMeans,0.15384615,2,Gaussian,0.17305478,0.23455819999999994
3,exchange-4_cpm_results.csv,1.0985884563975112,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
4,exchange-4_cpc_results.csv,1.5408616911528235,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
5,rogue_agent_key_updown.csv,2.87575976887927,Gaussian,0.00083455,5,Gaussian,0.17305478,0.23455819999999994
6,exchange-3_cpc_results.csv,6.9976999199977,Linear,0.57142857,6,Gaussian,0.17305478,0.23455819999999994
7,exchange-2_cpm_results.csv,9.46547792137953,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,Speech Accent Data,9.607629853836668,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
9,Landsat Satellite,11.392854381181571,Linear,0.71794872,9,Linear,0.92639843,0.98790185
10,exchange-3_cpm_results.csv,12.158417580629852,Linear,1.0,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,machine_temperature_system_failure.csv,36.616121602987675,Linear,0.4,1,Linear,0.02505219,0.4987364000000001
14,Breast Cancer Diagnostic,37.42288897370298,KMeans,0.83333333,2,KMeans,0.52631579,1.0
15,Object Images,44.743666947986554,Gaussian,0.06772229,3,Gaussian,0.01392758,0.4876117900000001
16,Twitter_volume_AAPL.csv,53.437882629010204,Linear,0.4,4,Linear,0.02505219,0.4987364000000001
17,TravelTime_387.csv,63.96878749807641,KMeans,0.66666667,5,KMeans,0.52631579,1.0
18,rogue_agent_key_updown.csv,65.37186667376967,Gaussian,0.00083455,6,Gaussian,0.01392758,0.4876117900000001
19,Twitter_volume_GOOG.csv,67.3628145926214,Linear,0.4,7,Linear,0.02505219,0.4987364000000001
20,Twitter_volume_AMZN.csv,77.5188364735033,KMeans,0.66666667,8,KMeans,0.52631579,1.0
21,cpu_utilization_asg_misconfiguration.csv,79.52651819849753,KMeans,0.00775194,9,KMeans,0.52631579,1.0
22,art_increase_spike_density.csv,81.81398301072063,KMeans,0.15384615,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,ambient_temperature_system_failure.csv,0.412513300231943,KMeans,0.8,1,KMeans,0.44545455,1.0
26,nyc_taxi.csv,2.5571868513657527,Linear,0.25,2,KMeans,0.44545455,1.0
27,Pen-Based Recognition of Handwritten Text (Local),3.8557941657154515,KMeans,0.52631579,3,KMeans,0.44545455,1.0
28,Breast Cancer Diagnostic,4.87204807456385,KMeans,0.83333333,4,KMeans,0.44545455,1.0
29,KDD-Cup99 HTTP,6.034648134714637,RPCA,0.93849658,5,KMeans,0.44545455,1.0
30,exchange-3_cpm_results.csv,7.60673125305113,Linear,1.0,6,KMeans,0.44545455,1.0
31,Statlog Shuttle,8.479886839349213,KMeans,0.96766744,7,KMeans,0.44545455,1.0
32,exchange-2_cpc_results.csv,8.92401932311248,KMeans,0.33333333,8,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text,9.068799789656593,KMeans,0.88648649,9,KMeans,0.44545455,1.0
34,exchange-3_cpc_results.csv,10.799222127353685,Linear,0.57142857,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
37,art_daily_nojump.csv,0.009444981537058528,KMeans,0.00152207,1,KMeans,0.96766744,1.0
38,art_daily_jumpsdown.csv,0.04112673266173883,KMeans,0.03030303,2,KMeans,0.96766744,1.0
39,rogue_agent_key_hold.csv,0.05691615822915996,Linear,0.003367,3,KMeans,0.96766744,1.0
40,ec2_network_in_5abac7.csv,0.11746876538118722,Linear,0.66666667,4,KMeans,0.96766744,1.0
41,ec2_cpu_utilization_ac20cd.csv,0.14025549606328624,KMeans,0.66666667,5,KMeans,0.96766744,1.0
42,art_load_balancer_spikes.csv,0.16720485911096383,KMeans,0.25,6,KMeans,0.96766744,1.0
43,occupancy_6005.csv,0.21657869741943792,Linear,1.0,7,KMeans,0.96766744,1.0
44,exchange-4_cpm_results.csv,0.331079863506722,KMeans,0.75,8,KMeans,0.96766744,1.0
45,Twitter_volume_GOOG.csv,0.4033145634885489,Linear,0.4,9,KMeans,0.96766744,1.0
46,Twitter_volume_IBM.csv,0.4101251542813795,Linear,0.5,10,KMeans,0.96766744,1.0
47,,,,,,,,
48,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
49,Twitter_volume_KO.csv,0.41790403710480106,Linear,0.8,1,Linear,0.0663518,0.99862951
50,Pen-Based Recognition of Handwritten Text,1.4394264778527308,KMeans,0.88648649,2,KMeans,0.05851859,0.9907963
51,speed_6005.csv,1.605547726698397,Linear,0.66666667,3,Linear,0.0663518,0.99862951
52,speed_t4013.csv,1.7728487565882354,Linear,1.0,4,Linear,0.0663518,0.99862951
53,TravelTime_387.csv,2.040591093198671,KMeans,0.66666667,5,Linear,0.0663518,0.99862951
54,Letter Recognition,2.7476007056687486,KMeans,0.44545455,6,KMeans,0.05851859,0.9907963
55,machine_temperature_system_failure.csv,4.627879927399604,Linear,0.4,7,Linear,0.0663518,0.99862951
56,ec2_cpu_utilization_ac20cd.csv,8.28061837315651,KMeans,0.66666667,8,KMeans,0.05851859,0.9907963
57,exchange-3_cpc_results.csv,8.359553153577666,Linear,0.57142857,9,Linear,0.0663518,0.99862951
58,exchange-2_cpm_results.csv,9.631477542707213,KMeans,0.8,10,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,occupancy_6005.csv,0.0038235119537893825,Linear,1.0,1,Linear,0.11764706,1.0
62,ec2_cpu_utilization_fe7f93.csv,0.030098303386952907,Linear,0.5,2,Linear,0.11764706,1.0
63,ec2_cpu_utilization_825cc2.csv,0.0366738193231666,KMeans,0.66666667,3,Linear,0.11764706,1.0
64,exchange-4_cpc_results.csv,0.09165498621166943,Linear,0.66666667,4,Linear,0.11764706,1.0
65,exchange-2_cpc_results.csv,0.09898452265040036,KMeans,0.33333333,5,Linear,0.11764706,1.0
