,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.3190381828874749,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.7439269946969311,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,1.6116228502408667,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Statlog Shuttle,3.579766575267861,KMeans,0.96766744,4,KMeans,0.83333333,1.0
5,ec2_cpu_utilization_c6585a.csv,4.672233171759579,Linear,0.0,5,KMeans,0.83333333,1.0
6,art_increase_spike_density.csv,7.009730563787233,KMeans,0.15384615,6,KMeans,0.83333333,1.0
7,rogue_agent_key_updown.csv,8.792450757234763,Gaussian,0.00083455,7,KMeans,0.83333333,1.0
8,Object Images,8.841889544630654,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,nyc_taxi.csv,9.730935834964583,Linear,0.25,9,KMeans,0.83333333,1.0
10,rogue_agent_key_hold.csv,12.693926077559082,Linear,0.003367,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,0.3190381828874749,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,0.7439269946969311,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Landsat Satellite,1.6116228502408667,Linear,0.71794872,3,KMeans,0.38537271,0.4468761299999999
16,Statlog Shuttle,3.579766575267861,KMeans,0.96766744,4,KMeans,0.38537271,0.4468761299999999
17,ec2_cpu_utilization_c6585a.csv,4.672233171759579,Linear,0.0,5,KMeans,0.38537271,0.4468761299999999
18,art_increase_spike_density.csv,7.009730563787233,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
19,rogue_agent_key_updown.csv,8.792450757234763,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
20,Object Images,8.841889544630654,Gaussian,0.06772229,8,KMeans,0.38537271,0.4468761299999999
21,nyc_taxi.csv,9.730935834964583,Linear,0.25,9,KMeans,0.38537271,0.4468761299999999
22,rogue_agent_key_hold.csv,12.693926077559082,Linear,0.003367,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,Letter Recognition,0.3190381828874749,KMeans,0.44545455,1,KMeans,0.52631579,1.0
26,Pen-Based Recognition of Handwritten Text,0.7439269946969311,KMeans,0.88648649,2,KMeans,0.52631579,1.0
