,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,KDD-Cup99 HTTP,0.9620317,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878
2,Letter Recognition,1.5884541,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text,1.5991151,KMeans,0.88648649,3,KMeans,0.83333333,1.0
4,ec2_cpu_utilization_c6585a.csv,1.604523,Linear,0.0,4,KMeans,0.83333333,1.0
5,machine_temperature_system_failure.csv,1.6069779,Linear,0.4,5,KMeans,0.83333333,1.0
6,Landsat Satellite,1.6375622,Linear,0.71794872,6,Linear,0.63157895,0.79824562
7,cpu_utilization_asg_misconfiguration.csv,1.6539567,KMeans,0.00775194,7,KMeans,0.83333333,1.0
8,Twitter_volume_AAPL.csv,1.6701707,Linear,0.4,8,Linear,0.63157895,0.79824562
9,Twitter_volume_CRM.csv,1.6701707,KMeans,0.54545455,9,KMeans,0.83333333,1.0
10,Twitter_volume_IBM.csv,1.6702309,Linear,0.5,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,KDD-Cup99 HTTP,0.6026809,RPCA,0.93849658,1,RPCA,0.93849658,1.0
14,machine_temperature_system_failure.csv,1.430393,Linear,0.4,2,Linear,0.92639843,0.98790185
15,ec2_cpu_utilization_c6585a.csv,1.4377043,Linear,0.0,3,Linear,0.92639843,0.98790185
16,Letter Recognition,1.4471884,KMeans,0.44545455,4,Linear,0.92639843,0.98790185
17,Pen-Based Recognition of Handwritten Text,1.4479486,KMeans,0.88648649,5,KMeans,0.38537271,0.4468761299999999
18,Landsat Satellite,1.4754663,Linear,0.71794872,6,Linear,0.92639843,0.98790185
19,cpu_utilization_asg_misconfiguration.csv,1.4832181,KMeans,0.00775194,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_AAPL.csv,1.5009876,Linear,0.4,8,Linear,0.92639843,0.98790185
21,Twitter_volume_CRM.csv,1.5009876,KMeans,0.54545455,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_IBM.csv,1.5010531,Linear,0.5,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,KDD-Cup99 HTTP,0.9247608,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
26,Letter Recognition,1.6400774,KMeans,0.44545455,2,KMeans,0.52631579,1.0
27,machine_temperature_system_failure.csv,1.6447169,Linear,0.4,3,KMeans,0.52631579,1.0
28,ec2_cpu_utilization_c6585a.csv,1.6482217,Linear,0.0,4,Linear,0.02505219,0.4987364000000001
29,Pen-Based Recognition of Handwritten Text,1.653289,KMeans,0.88648649,5,KMeans,0.52631579,1.0
30,Landsat Satellite,1.6870159,Linear,0.71794872,6,Linear,0.02505219,0.4987364000000001
31,cpu_utilization_asg_misconfiguration.csv,1.6971499,KMeans,0.00775194,7,KMeans,0.52631579,1.0
32,Twitter_volume_AAPL.csv,1.7149332,Linear,0.4,8,Linear,0.02505219,0.4987364000000001
33,Twitter_volume_CRM.csv,1.7149332,KMeans,0.54545455,9,KMeans,0.52631579,1.0
34,Twitter_volume_IBM.csv,1.7149988,Linear,0.5,10,Linear,0.02505219,0.4987364000000001
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,KDD-Cup99 HTTP,0.6718039,RPCA,0.93849658,1,RPCA,0.31698113,0.87152658
38,machine_temperature_system_failure.csv,1.4137752,Linear,0.4,2,Linear,0.22222222,0.77676767
39,ec2_cpu_utilization_c6585a.csv,1.4245045,Linear,0.0,3,Linear,0.22222222,0.77676767
40,Letter Recognition,1.435586,KMeans,0.44545455,4,Linear,0.22222222,0.77676767
41,Pen-Based Recognition of Handwritten Text,1.436481,KMeans,0.88648649,5,KMeans,0.44545455,1.0
42,Landsat Satellite,1.4632223,Linear,0.71794872,6,Linear,0.22222222,0.77676767
43,cpu_utilization_asg_misconfiguration.csv,1.4687468,KMeans,0.00775194,7,KMeans,0.44545455,1.0
44,Twitter_volume_CRM.csv,1.4874227,KMeans,0.54545455,8,KMeans,0.44545455,1.0
45,Twitter_volume_AAPL.csv,1.4874227,Linear,0.4,9,KMeans,0.44545455,1.0
46,Twitter_volume_IBM.csv,1.4874918,Linear,0.5,10,Linear,0.22222222,0.77676767
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,KDD-Cup99 HTTP,0.7203073,RPCA,0.93849658,1,RPCA,0.1691974,0.94602143
50,Letter Recognition,1.5869849,KMeans,0.44545455,2,KMeans,0.22317597,1.0
51,ec2_cpu_utilization_c6585a.csv,1.5887625,Linear,0.0,3,KMeans,0.22317597,1.0
52,machine_temperature_system_failure.csv,1.5905627,Linear,0.4,4,Linear,0.19112628,0.96795031
53,Pen-Based Recognition of Handwritten Text,1.5979403,KMeans,0.88648649,5,KMeans,0.22317597,1.0
54,Landsat Satellite,1.6252762,Linear,0.71794872,6,Linear,0.19112628,0.96795031
55,cpu_utilization_asg_misconfiguration.csv,1.6404597,KMeans,0.00775194,7,KMeans,0.22317597,1.0
56,Twitter_volume_AAPL.csv,1.6572669,Linear,0.4,8,Linear,0.19112628,0.96795031
57,Twitter_volume_CRM.csv,1.6572669,KMeans,0.54545455,9,KMeans,0.22317597,1.0
58,Twitter_volume_IBM.csv,1.6573287,Linear,0.5,10,Linear,0.19112628,0.96795031
59,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
61,KDD-Cup99 HTTP,0.83256817,RPCA,0.93849658,1,RPCA,0.96658986,0.99892242
62,machine_temperature_system_failure.csv,1.4537159,Linear,0.4,2,Linear,0.96707106,0.9994036199999999
63,ec2_cpu_utilization_c6585a.csv,1.4642533,Linear,0.0,3,Linear,0.96707106,0.9994036199999999
64,Letter Recognition,1.4780322,KMeans,0.44545455,4,Linear,0.96707106,0.9994036199999999
65,Pen-Based Recognition of Handwritten Text,1.4791042,KMeans,0.88648649,5,KMeans,0.96766744,1.0
66,Landsat Satellite,1.5034137,Linear,0.71794872,6,Linear,0.96707106,0.9994036199999999
67,cpu_utilization_asg_misconfiguration.csv,1.5069195,KMeans,0.00775194,7,KMeans,0.96766744,1.0
68,Twitter_volume_AAPL.csv,1.5250452,Linear,0.4,8,Linear,0.96707106,0.9994036199999999
69,Twitter_volume_CRM.csv,1.5250452,KMeans,0.54545455,9,KMeans,0.96766744,1.0
70,Twitter_volume_IBM.csv,1.5251123,Linear,0.5,10,Linear,0.96707106,0.9994036199999999
71,,,,,,,,
72,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
73,KDD-Cup99 HTTP,0.8119686,RPCA,0.93849658,1,RPCA,0.06713656,0.9994142699999999
74,machine_temperature_system_failure.csv,1.6521304,Linear,0.4,2,Linear,0.0663518,0.99862951
75,ec2_cpu_utilization_c6585a.csv,1.6599255,Linear,0.0,3,Linear,0.0663518,0.99862951
76,Letter Recognition,1.6608039,KMeans,0.44545455,4,Linear,0.0663518,0.99862951
77,Pen-Based Recognition of Handwritten Text,1.673314,KMeans,0.88648649,5,KMeans,0.05851859,0.9907963
78,Landsat Satellite,1.7063749,Linear,0.71794872,6,Linear,0.0663518,0.99862951
79,cpu_utilization_asg_misconfiguration.csv,1.7071834,KMeans,0.00775194,7,KMeans,0.05851859,0.9907963
80,Twitter_volume_CRM.csv,1.725835,KMeans,0.54545455,8,KMeans,0.05851859,0.9907963
81,Twitter_volume_AAPL.csv,1.725835,Linear,0.4,9,KMeans,0.05851859,0.9907963
82,Twitter_volume_IBM.csv,1.725904,Linear,0.5,10,Linear,0.0663518,0.99862951
83,,,,,,,,
84,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
85,KDD-Cup99 HTTP,1.0069857,RPCA,0.93849658,1,RPCA,0.08450704,0.96685998
86,Letter Recognition,1.6437559,KMeans,0.44545455,2,KMeans,0.05384615,0.93619909
87,ec2_cpu_utilization_c6585a.csv,1.6542226,Linear,0.0,3,KMeans,0.05384615,0.93619909
88,machine_temperature_system_failure.csv,1.6550896,Linear,0.4,4,Linear,0.11764706,1.0
89,Pen-Based Recognition of Handwritten Text,1.6554974,KMeans,0.88648649,5,KMeans,0.05384615,0.93619909
90,Landsat Satellite,1.69463,Linear,0.71794872,6,Linear,0.11764706,1.0
91,cpu_utilization_asg_misconfiguration.csv,1.7052367,KMeans,0.00775194,7,KMeans,0.05384615,0.93619909
92,Twitter_volume_AAPL.csv,1.7225822,Linear,0.4,8,Linear,0.11764706,1.0
93,Twitter_volume_CRM.csv,1.7225822,KMeans,0.54545455,9,KMeans,0.05384615,0.93619909
94,Twitter_volume_IBM.csv,1.7226467,Linear,0.5,10,Linear,0.11764706,1.0
95,,,,,,,,
96,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
97,KDD-Cup99 HTTP,0.80823386,RPCA,0.93849658,1,RPCA,0.64102564,0.7545391499999999
98,machine_temperature_system_failure.csv,1.5044928,Linear,0.4,2,Linear,0.64473684,0.75825035
99,ec2_cpu_utilization_c6585a.csv,1.5169113,Linear,0.0,3,Linear,0.64473684,0.75825035
100,Letter Recognition,1.5222093,KMeans,0.44545455,4,Linear,0.64473684,0.75825035
