,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,3.6918974308328507,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,3.7255930782154834,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,4.469331345257499,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),4.763081153770599,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,speed_7578.csv,4.849171653143512,KMeans,0.75,5,KMeans,0.83333333,1.0
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,4.859075389854908,KMeans,0.5,6,KMeans,0.83333333,1.0
7,Object Images,4.8660032038213314,Gaussian,0.06772229,7,KMeans,0.83333333,1.0
8,exchange-3_cpc_results.csv,4.877685912990574,Linear,0.57142857,8,KMeans,0.83333333,1.0
9,exchange-3_cpm_results.csv,4.877685912990574,Linear,1.0,9,KMeans,0.83333333,1.0
10,exchange-2_cpc_results.csv,4.881882796993241,KMeans,0.33333333,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,machine_temperature_system_failure.csv,3.566196978850047,Linear,0.4,1,Linear,0.92639843,0.98790185
14,cpu_utilization_asg_misconfiguration.csv,3.715068246617461,KMeans,0.00775194,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_CRM.csv,3.791483653145016,KMeans,0.54545455,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_AAPL.csv,3.791483653145016,Linear,0.4,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_IBM.csv,3.7918132833066003,Linear,0.5,5,Linear,0.92639843,0.98790185
18,Twitter_volume_UPS.csv,3.792802638026239,Linear,0.28571429,6,Linear,0.92639843,0.98790185
19,Twitter_volume_PFE.csv,3.7930959132363333,KMeans,0.42857143,7,Linear,0.92639843,0.98790185
20,Twitter_volume_CVS.csv,3.7932792413989995,Linear,0.66666667,8,Linear,0.92639843,0.98790185
21,Twitter_volume_KO.csv,3.793352579632869,Linear,0.8,9,Linear,0.92639843,0.98790185
22,Twitter_volume_GOOG.csv,3.793682647343053,Linear,0.4,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,speed_7578.csv,0.40266010290971654,KMeans,0.75,1,KMeans,0.52631579,1.0
26,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.404145014340156,KMeans,0.5,2,KMeans,0.52631579,1.0
27,exchange-3_cpc_results.csv,0.4085959183399684,Linear,0.57142857,3,KMeans,0.52631579,1.0
28,exchange-3_cpm_results.csv,0.4085959183399684,Linear,1.0,4,KMeans,0.52631579,1.0
29,exchange-2_cpm_results.csv,0.41002552139267767,KMeans,0.8,5,KMeans,0.52631579,1.0
30,exchange-2_cpc_results.csv,0.41002552139267767,KMeans,0.33333333,6,KMeans,0.52631579,1.0
31,exchange-4_cpc_results.csv,0.41034845379239726,Linear,0.66666667,7,KMeans,0.52631579,1.0
32,exchange-4_cpm_results.csv,0.41034845379239726,KMeans,0.75,8,KMeans,0.52631579,1.0
33,Object Images,0.4121237871567489,Gaussian,0.06772229,9,KMeans,0.52631579,1.0
34,rogue_agent_key_hold.csv,0.41462592863486103,Linear,0.003367,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,Pen-Based Recognition of Handwritten Text,0.45748298856653485,KMeans,0.88648649,1,KMeans,0.44545455,1.0
38,Landsat Satellite,0.7831043610404061,Linear,0.71794872,2,KMeans,0.44545455,1.0
39,Pen-Based Recognition of Handwritten Text (Local),1.1505946703417549,KMeans,0.52631579,3,KMeans,0.44545455,1.0
40,Object Images,1.2097538635539207,Gaussian,0.06772229,4,KMeans,0.44545455,1.0
41,speed_7578.csv,1.389186841134275,KMeans,0.75,5,KMeans,0.44545455,1.0
42,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.3974204451112353,KMeans,0.5,6,KMeans,0.44545455,1.0
43,exchange-3_cpm_results.csv,1.4133332755513797,Linear,1.0,7,KMeans,0.44545455,1.0
44,exchange-3_cpc_results.csv,1.4133332755513797,Linear,0.57142857,8,KMeans,0.44545455,1.0
45,exchange-2_cpc_results.csv,1.4170404444391727,KMeans,0.33333333,9,KMeans,0.44545455,1.0
46,exchange-2_cpm_results.csv,1.4170404444391727,KMeans,0.8,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,KDD-Cup99 HTTP,6.251634439903687,RPCA,0.93849658,1,RPCA,0.1691974,0.94602143
50,art_increase_spike_density.csv,7.239045944366216,KMeans,0.15384615,2,KMeans,0.22317597,1.0
51,Pen-Based Recognition of Handwritten Text (Local),7.729797050096537,KMeans,0.52631579,3,KMeans,0.22317597,1.0
52,Object Images,7.7358505548814325,Gaussian,0.06772229,4,KMeans,0.22317597,1.0
53,Landsat Satellite,7.744033015097701,Linear,0.71794872,5,KMeans,0.22317597,1.0
54,speed_7578.csv,7.747879975008893,KMeans,0.75,6,KMeans,0.22317597,1.0
55,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.748020945147334,KMeans,0.5,7,KMeans,0.22317597,1.0
56,exchange-3_cpm_results.csv,7.748382139545791,Linear,1.0,8,KMeans,0.22317597,1.0
57,exchange-3_cpc_results.csv,7.748382139545791,Linear,0.57142857,9,KMeans,0.22317597,1.0
58,exchange-2_cpm_results.csv,7.748488501009362,KMeans,0.8,10,KMeans,0.22317597,1.0
59,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
61,nyc_taxi.csv,0.22980778437680774,Linear,0.25,1,Linear,0.96707106,0.9994036199999999
62,ambient_temperature_system_failure.csv,0.3183788288701871,KMeans,0.8,2,KMeans,0.96766744,1.0
63,rogue_agent_key_updown.csv,0.4253594812776174,Gaussian,0.00083455,3,Gaussian,0.81503172,0.84736428
64,Twitter_volume_AMZN.csv,0.44636381717044077,KMeans,0.66666667,4,KMeans,0.96766744,1.0
65,Twitter_volume_FB.csv,0.446484565656241,Linear,1.0,5,KMeans,0.96766744,1.0
66,Twitter_volume_GOOG.csv,0.4470280927594553,Linear,0.4,6,Linear,0.96707106,0.9994036199999999
67,Twitter_volume_KO.csv,0.4475718571885157,Linear,0.8,7,Linear,0.96707106,0.9994036199999999
68,Twitter_volume_CVS.csv,0.4476927282683021,Linear,0.66666667,8,Linear,0.96707106,0.9994036199999999
69,Twitter_volume_PFE.csv,0.4479949515983805,KMeans,0.42857143,9,Linear,0.96707106,0.9994036199999999
70,Twitter_volume_UPS.csv,0.44847865808060394,Linear,0.28571429,10,Linear,0.96707106,0.9994036199999999
71,,,,,,,,
72,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
73,Pen-Based Recognition of Handwritten Text (Local),0.4121237871567489,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
74,Landsat Satellite,0.5438845131208224,Linear,0.71794872,2,KMeans,0.05851859,0.9907963
75,Statlog Shuttle,0.69439925959027,KMeans,0.96766744,3,KMeans,0.05851859,0.9907963
76,art_daily_jumpsdown.csv,0.7292320614835058,KMeans,0.03030303,4,KMeans,0.05851859,0.9907963
77,rds_cpu_utilization_cc0c53.csv,0.7292320614835058,Gaussian,1.0,5,KMeans,0.05851859,0.9907963
78,ec2_disk_write_bytes_c0d644.csv,0.7292320614835058,Linear,0.5,6,KMeans,0.05851859,0.9907963
79,rds_cpu_utilization_e47b3b.csv,0.7292320614835058,Linear,0.66666667,7,KMeans,0.05851859,0.9907963
80,ec2_cpu_utilization_ac20cd.csv,0.7292320614835058,KMeans,0.66666667,8,KMeans,0.05851859,0.9907963
81,elb_request_count_8c0756.csv,0.7292320614835058,Linear,0.66666667,9,KMeans,0.05851859,0.9907963
82,ec2_network_in_257a54.csv,0.7292320614835058,KMeans,0.5,10,KMeans,0.05851859,0.9907963
83,,,,,,,,
84,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
85,Breast Cancer Diagnostic,10.695919644979654,KMeans,0.83333333,1,KMeans,0.05384615,0.93619909
86,Letter Recognition,11.775290558603588,KMeans,0.44545455,2,KMeans,0.05384615,0.93619909
87,Landsat Satellite,12.044375091064884,Linear,0.71794872,3,KMeans,0.05384615,0.93619909
88,Pen-Based Recognition of Handwritten Text,12.1909759588746,KMeans,0.88648649,4,KMeans,0.05384615,0.93619909
89,Object Images,12.468270774707864,Gaussian,0.06772229,5,KMeans,0.05384615,0.93619909
90,Pen-Based Recognition of Handwritten Text (Local),12.679362166159457,KMeans,0.52631579,6,KMeans,0.05384615,0.93619909
91,Statlog Shuttle,12.938898202557459,KMeans,0.96766744,7,KMeans,0.05384615,0.93619909
92,speed_7578.csv,13.0450461198558,KMeans,0.75,8,KMeans,0.05384615,0.93619909
