,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,3.781452609249158,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,4.276685427486949,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,4.741509149157373,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),5.389017567632264,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,Object Images,5.391212768958808,Gaussian,0.06772229,5,KMeans,0.83333333,1.0
6,speed_7578.csv,5.993752760779722,KMeans,0.75,6,KMeans,0.83333333,1.0
7,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,6.0121790041053496,KMeans,0.5,7,KMeans,0.83333333,1.0
8,exchange-3_cpm_results.csv,6.052308911309019,Linear,1.0,8,KMeans,0.83333333,1.0
9,exchange-3_cpc_results.csv,6.052308911309019,Linear,0.57142857,9,KMeans,0.83333333,1.0
10,exchange-2_cpc_results.csv,6.062745416558508,KMeans,0.33333333,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,machine_temperature_system_failure.csv,6.950621647807339,Linear,0.4,1,Linear,0.92639843,0.98790185
14,Object Images,7.217688029252348,Gaussian,0.06772229,2,Gaussian,0.17305478,0.23455819999999994
15,cpu_utilization_asg_misconfiguration.csv,7.29326452540687,KMeans,0.00775194,3,Gaussian,0.17305478,0.23455819999999994
16,Twitter_volume_AAPL.csv,7.45198209984273,Linear,0.4,4,Linear,0.92639843,0.98790185
17,Twitter_volume_CRM.csv,7.45198209984273,KMeans,0.54545455,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_IBM.csv,7.452647552739411,Linear,0.5,6,Linear,0.92639843,0.98790185
19,Twitter_volume_UPS.csv,7.454644509415483,Linear,0.28571429,7,Linear,0.92639843,0.98790185
20,Twitter_volume_PFE.csv,7.455235890215641,KMeans,0.42857143,8,Linear,0.92639843,0.98790185
21,Twitter_volume_CVS.csv,7.4556056527122445,Linear,0.66666667,9,Linear,0.92639843,0.98790185
22,Twitter_volume_KO.csv,7.455753796905294,Linear,0.8,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,speed_7578.csv,0.6397464410975808,KMeans,0.75,1,KMeans,0.52631579,1.0
