,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,KDD-Cup99 HTTP,0.009012546844843428,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878
2,Pen-Based Recognition of Handwritten Text,0.12491996844545739,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,speed_7578.csv,0.12982302507014154,KMeans,0.75,3,KMeans,0.83333333,1.0
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.1305210922356279,KMeans,0.5,4,KMeans,0.83333333,1.0
5,exchange-3_cpc_results.csv,0.13208215645905153,Linear,0.57142857,5,KMeans,0.83333333,1.0
6,exchange-3_cpm_results.csv,0.13208215645905153,Linear,1.0,6,KMeans,0.83333333,1.0
7,exchange-2_cpm_results.csv,0.13249607701435462,KMeans,0.8,7,KMeans,0.83333333,1.0
8,exchange-2_cpc_results.csv,0.13249607701435462,KMeans,0.33333333,8,KMeans,0.83333333,1.0
9,exchange-4_cpm_results.csv,0.13258557312532115,KMeans,0.75,9,KMeans,0.83333333,1.0
10,exchange-4_cpc_results.csv,0.13258557312532115,Linear,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Landsat Satellite,0.0008589076398619611,Linear,0.71794872,1,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text,0.054763271316318196,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,machine_temperature_system_failure.csv,0.08427580125046741,Linear,0.4,3,Linear,0.92639843,0.98790185
16,Object Images,0.08762838074068657,Gaussian,0.06772229,4,Linear,0.92639843,0.98790185
17,art_increase_spike_density.csv,0.08918360987138385,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
18,cpu_utilization_asg_misconfiguration.csv,0.1159329326537033,KMeans,0.00775194,6,KMeans,0.38537271,0.4468761299999999
19,Statlog Shuttle,0.12327206370333132,KMeans,0.96766744,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_AAPL.csv,0.12671245509492213,Linear,0.4,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_CRM.csv,0.12671245509492213,KMeans,0.54545455,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_IBM.csv,0.12675251226701678,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,Twitter_volume_AMZN.csv,0.03542106760497532,KMeans,0.66666667,1,KMeans,0.52631579,1.0
