,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Landsat Satellite,0.06834209,Linear,0.71794872,1,Linear,0.63157895,0.79824562
2,Pen-Based Recognition of Handwritten Text,0.10745263,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,nyc_taxi.csv,0.16630769,Linear,0.25,3,Linear,0.63157895,0.79824562
4,Statlog Shuttle,0.17190051,KMeans,0.96766744,4,KMeans,0.83333333,1.0
5,Letter Recognition,0.25664508,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Object Images,0.4112184,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text (Local),0.4121834,KMeans,0.52631579,7,KMeans,0.83333333,1.0
8,ec2_cpu_utilization_c6585a.csv,0.6190171,Linear,0.0,8,KMeans,0.83333333,1.0
9,art_increase_spike_density.csv,0.6579525,KMeans,0.15384615,9,KMeans,0.83333333,1.0
10,Thyroid Disease,0.89500165,KMeans,0.22317597,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Landsat Satellite,0.06851101,Linear,0.71794872,1,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text,0.09966922,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Statlog Shuttle,0.16096127,KMeans,0.96766744,3,KMeans,0.38537271,0.4468761299999999
16,nyc_taxi.csv,0.23142779,Linear,0.25,4,KMeans,0.38537271,0.4468761299999999
17,Letter Recognition,0.25999427,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
18,Object Images,0.38631117,Gaussian,0.06772229,6,KMeans,0.38537271,0.4468761299999999
19,Pen-Based Recognition of Handwritten Text (Local),0.40514982,KMeans,0.52631579,7,KMeans,0.38537271,0.4468761299999999
20,ec2_cpu_utilization_c6585a.csv,0.5917058,Linear,0.0,8,KMeans,0.38537271,0.4468761299999999
21,art_increase_spike_density.csv,0.6803187,KMeans,0.15384615,9,KMeans,0.38537271,0.4468761299999999
22,Thyroid Disease,0.8195734,KMeans,0.22317597,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,nyc_taxi.csv,0.036296606,Linear,0.25,1,Linear,0.02505219,0.4987364000000001
26,Landsat Satellite,0.046220303,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
27,Pen-Based Recognition of Handwritten Text,0.055082917,KMeans,0.88648649,3,Linear,0.02505219,0.4987364000000001
28,Statlog Shuttle,0.13833845,KMeans,0.96766744,4,KMeans,0.52631579,1.0
29,Letter Recognition,0.24476802,KMeans,0.44545455,5,KMeans,0.52631579,1.0
30,Object Images,0.32041323,Gaussian,0.06772229,6,KMeans,0.52631579,1.0
31,Pen-Based Recognition of Handwritten Text (Local),0.42700982,KMeans,0.52631579,7,KMeans,0.52631579,1.0
32,ec2_cpu_utilization_c6585a.csv,0.5566597,Linear,0.0,8,KMeans,0.52631579,1.0
33,art_increase_spike_density.csv,0.68454885,KMeans,0.15384615,9,KMeans,0.52631579,1.0
34,Thyroid Disease,0.9039459,KMeans,0.22317597,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,nyc_taxi.csv,0.019623876,Linear,0.25,1,Linear,0.22222222,0.77676767
38,Landsat Satellite,0.066108584,Linear,0.71794872,2,Linear,0.22222222,0.77676767
39,Pen-Based Recognition of Handwritten Text,0.090093136,KMeans,0.88648649,3,Linear,0.22222222,0.77676767
40,Statlog Shuttle,0.13318563,KMeans,0.96766744,4,KMeans,0.44545455,1.0
41,Letter Recognition,0.24721837,KMeans,0.44545455,5,KMeans,0.44545455,1.0
42,Pen-Based Recognition of Handwritten Text (Local),0.33236146,KMeans,0.52631579,6,KMeans,0.44545455,1.0
43,Object Images,0.40632534,Gaussian,0.06772229,7,KMeans,0.44545455,1.0
44,art_increase_spike_density.csv,0.61343044,KMeans,0.15384615,8,KMeans,0.44545455,1.0
45,ec2_cpu_utilization_c6585a.csv,0.64915216,Linear,0.0,9,KMeans,0.44545455,1.0
46,Thyroid Disease,1.0428349,KMeans,0.22317597,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,Landsat Satellite,0.07356036,Linear,0.71794872,1,Linear,0.19112628,0.96795031
50,Pen-Based Recognition of Handwritten Text,0.08383405,KMeans,0.88648649,2,KMeans,0.22317597,1.0
51,nyc_taxi.csv,0.097256064,Linear,0.25,3,Linear,0.19112628,0.96795031
52,Statlog Shuttle,0.16609907,KMeans,0.96766744,4,KMeans,0.22317597,1.0
