,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,17.610768918271894,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Statlog Shuttle,20.857172539035577,KMeans,0.96766744,2,KMeans,0.83333333,1.0
3,Landsat Satellite,23.448079219594092,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Letter Recognition,24.075866789973748,KMeans,0.44545455,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),24.261955868836836,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Object Images,40.35567100365317,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Thyroid Disease,48.86967905359464,KMeans,0.22317597,7,KMeans,0.83333333,1.0
8,Speech Accent Data,62.00407083933332,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,art_daily_flatmiddle.csv,65.06206600506779,KMeans,0.02,9,KMeans,0.83333333,1.0
10,speed_7578.csv,69.65610299577415,KMeans,0.75,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Letter Recognition,17.575671418697294,KMeans,0.44545455,1,KMeans,0.52631579,1.0
14,Landsat Satellite,20.243844039911178,Linear,0.71794872,2,KMeans,0.52631579,1.0
15,Object Images,22.49177040833508,Gaussian,0.06772229,3,Gaussian,0.01392758,0.4876117900000001
16,Pen-Based Recognition of Handwritten Text,23.16858373198143,KMeans,0.88648649,4,KMeans,0.52631579,1.0
17,Statlog Shuttle,23.81616522274811,KMeans,0.96766744,5,KMeans,0.52631579,1.0
18,Breast Cancer Diagnostic,24.261955868836836,KMeans,0.83333333,6,KMeans,0.52631579,1.0
19,Thyroid Disease,39.08093681423598,KMeans,0.22317597,7,KMeans,0.52631579,1.0
20,art_daily_flatmiddle.csv,43.23176033922523,KMeans,0.02,8,KMeans,0.52631579,1.0
21,occupancy_6005.csv,52.96392259318062,Linear,1.0,9,KMeans,0.52631579,1.0
22,ec2_cpu_utilization_fe7f93.csv,53.03515222361515,Linear,0.5,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,16.492392397657305,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text (Local),17.575671418697294,KMeans,0.52631579,2,KMeans,0.44545455,1.0
27,Landsat Satellite,19.355036727101446,Linear,0.71794872,3,KMeans,0.44545455,1.0
28,Statlog Shuttle,23.914157310393826,KMeans,0.96766744,4,KMeans,0.44545455,1.0
29,Breast Cancer Diagnostic,24.075866789973748,KMeans,0.83333333,5,KMeans,0.44545455,1.0
30,Object Images,30.162718715522615,Gaussian,0.06772229,6,KMeans,0.44545455,1.0
31,Thyroid Disease,38.44742515764533,KMeans,0.22317597,7,KMeans,0.44545455,1.0
32,art_daily_flatmiddle.csv,58.867785663661095,KMeans,0.02,8,KMeans,0.44545455,1.0
33,Speech Accent Data,61.294677903612865,Linear,0.11764706,9,KMeans,0.44545455,1.0
34,speed_7578.csv,63.73907873602319,KMeans,0.75,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,38.44742515764533,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Pen-Based Recognition of Handwritten Text (Local),39.08093681423598,KMeans,0.52631579,2,KMeans,0.22317597,1.0
39,Object Images,39.59754918533129,Gaussian,0.06772229,3,KMeans,0.22317597,1.0
40,Statlog Shuttle,47.81486816919691,KMeans,0.96766744,4,KMeans,0.22317597,1.0
41,Breast Cancer Diagnostic,48.86967905359464,KMeans,0.83333333,5,KMeans,0.22317597,1.0
