,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Twitter_volume_AAPL.csv,1.0937405712594934,Linear,0.4,1,Linear,0.92639843,0.98790185
2,TravelTime_451.csv,1.4157685764014758,KMeans,0.4,2,KMeans,0.38537271,0.4468761299999999
3,art_increase_spike_density.csv,2.3467247157466,KMeans,0.15384615,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,4.47054532689863,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,ec2_network_in_257a54.csv,5.643779699721467,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.41214898328147,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,TravelTime_387.csv,8.034878046586304,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,Pen-Based Recognition of Handwritten Text (Local),8.514085409360533,KMeans,0.52631579,8,KMeans,0.38537271,0.4468761299999999
9,Breast Cancer Diagnostic,8.93943254554646,KMeans,0.83333333,9,KMeans,0.38537271,0.4468761299999999
10,rogue_agent_key_updown.csv,9.221164469123247,Gaussian,0.00083455,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,ec2_disk_write_bytes_c0d644.csv,0.004191310691869177,Linear,0.5,1,Linear,0.02505219,0.4987364000000001
14,Twitter_volume_FB.csv,0.03566282093754625,Linear,1.0,2,Linear,0.02505219,0.4987364000000001
15,exchange-4_cpc_results.csv,0.07270568007116252,Linear,0.66666667,3,Linear,0.02505219,0.4987364000000001
16,ec2_cpu_utilization_c6585a.csv,0.07689867033577924,Linear,0.0,4,Linear,0.02505219,0.4987364000000001
17,Statlog Shuttle,0.27599928769686466,KMeans,0.96766744,5,Linear,0.02505219,0.4987364000000001
18,exchange-4_cpm_results.csv,0.45138522326972996,KMeans,0.75,6,Linear,0.02505219,0.4987364000000001
19,ec2_disk_write_bytes_1ef3de.csv,0.4847162446148081,Linear,0.08695652,7,Linear,0.02505219,0.4987364000000001
20,Landsat Satellite,0.5024101269299601,Linear,0.71794872,8,Linear,0.02505219,0.4987364000000001
21,Twitter_volume_AAPL.csv,0.5177386189749185,Linear,0.4,9,Linear,0.02505219,0.4987364000000001
22,speed_7578.csv,0.5349390780723269,KMeans,0.75,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,art_daily_jumpsup.csv,5.060178454724027e-05,KMeans,0.22222222,1,KMeans,0.44545455,1.0
26,art_daily_jumpsdown.csv,0.00043796406167069145,KMeans,0.03030303,2,KMeans,0.44545455,1.0
27,ec2_request_latency_system_failure.csv,0.0015112566495375948,KMeans,0.66666667,3,KMeans,0.44545455,1.0
28,ec2_disk_write_bytes_1ef3de.csv,0.0038436850207024375,Linear,0.08695652,4,KMeans,0.44545455,1.0
29,art_daily_nojump.csv,0.007695655212612742,KMeans,0.00152207,5,KMeans,0.44545455,1.0
30,elb_request_count_8c0756.csv,0.008200566820056815,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_UPS.csv,0.03535553382064276,Linear,0.28571429,7,KMeans,0.44545455,1.0
32,ec2_cpu_utilization_825cc2.csv,0.03814867210445363,KMeans,0.66666667,8,KMeans,0.44545455,1.0
33,Twitter_volume_IBM.csv,0.04378462824306362,Linear,0.5,9,KMeans,0.44545455,1.0
34,speed_6005.csv,0.0463467017584706,Linear,0.66666667,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
37,art_increase_spike_density.csv,0.016308632300032322,KMeans,0.15384615,1,KMeans,0.96766744,1.0
38,Twitter_volume_UPS.csv,0.02512504493576362,Linear,0.28571429,2,KMeans,0.96766744,1.0
39,ec2_cpu_utilization_825cc2.csv,0.08141415934821428,KMeans,0.66666667,3,KMeans,0.96766744,1.0
40,Twitter_volume_IBM.csv,0.2996243982270066,Linear,0.5,4,KMeans,0.96766744,1.0
41,Twitter_volume_FB.csv,0.48192868158357727,Linear,1.0,5,Linear,0.96707106,0.9994036199999999
42,Twitter_volume_CRM.csv,0.5645254033768377,KMeans,0.54545455,6,KMeans,0.96766744,1.0
43,art_daily_jumpsdown.csv,0.7873595216035063,KMeans,0.03030303,7,KMeans,0.96766744,1.0
44,art_daily_nojump.csv,0.8156204919812462,KMeans,0.00152207,8,KMeans,0.96766744,1.0
45,art_daily_jumpsup.csv,0.8254477487976584,KMeans,0.22222222,9,KMeans,0.96766744,1.0
46,Twitter_volume_AMZN.csv,0.8782878984547864,KMeans,0.66666667,10,KMeans,0.96766744,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Statlog Shuttle,36.025334092823414,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
50,Letter Recognition,100.71922264706438,KMeans,0.44545455,2,KMeans,0.65517241,0.93722369
51,Pen-Based Recognition of Handwritten Text,236.25754347678128,KMeans,0.88648649,3,KMeans,0.65517241,0.93722369
