,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,ec2_cpu_utilization_5f5533.csv,0.003568232,KMeans,0.57142857,1,KMeans,0.83333333,1.0
2,grok_asg_anomaly.csv,0.0039597154,KMeans,0.5,2,KMeans,0.83333333,1.0
3,rds_cpu_utilization_e47b3b.csv,0.01856041,Linear,0.66666667,3,KMeans,0.83333333,1.0
4,ec2_cpu_utilization_ac20cd.csv,0.02874881,KMeans,0.66666667,4,KMeans,0.83333333,1.0
5,rds_cpu_utilization_cc0c53.csv,0.031002998,Gaussian,1.0,5,KMeans,0.83333333,1.0
6,cpu_utilization_asg_misconfiguration.csv,0.29155362,KMeans,0.00775194,6,KMeans,0.83333333,1.0
7,exchange-4_cpm_results.csv,0.47597343,KMeans,0.75,7,KMeans,0.83333333,1.0
8,exchange-2_cpc_results.csv,0.49636677,KMeans,0.33333333,8,KMeans,0.83333333,1.0
9,exchange-4_cpc_results.csv,0.5168293,Linear,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_KO.csv,0.5292124,Linear,0.8,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,rds_cpu_utilization_cc0c53.csv,0.076144814,Gaussian,1.0,1,Gaussian,0.17305478,0.23455819999999994
14,ec2_cpu_utilization_ac20cd.csv,0.07680321,KMeans,0.66666667,2,Gaussian,0.17305478,0.23455819999999994
15,rds_cpu_utilization_e47b3b.csv,0.09785783,Linear,0.66666667,3,Gaussian,0.17305478,0.23455819999999994
16,grok_asg_anomaly.csv,0.11401647,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
17,ec2_cpu_utilization_5f5533.csv,0.11464882,KMeans,0.57142857,5,KMeans,0.38537271,0.4468761299999999
18,cpu_utilization_asg_misconfiguration.csv,0.3323453,KMeans,0.00775194,6,KMeans,0.38537271,0.4468761299999999
19,Letter Recognition,0.46811414,KMeans,0.44545455,7,KMeans,0.38537271,0.4468761299999999
20,exchange-4_cpm_results.csv,0.4906909,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
21,exchange-2_cpc_results.csv,0.5073571,KMeans,0.33333333,9,KMeans,0.38537271,0.4468761299999999
22,exchange-4_cpc_results.csv,0.5237068,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,rds_cpu_utilization_cc0c53.csv,0.023708403,Gaussian,1.0,1,Gaussian,0.01392758,0.4876117900000001
26,ec2_cpu_utilization_ac20cd.csv,0.028375626,KMeans,0.66666667,2,Gaussian,0.01392758,0.4876117900000001
27,rds_cpu_utilization_e47b3b.csv,0.031216443,Linear,0.66666667,3,Gaussian,0.01392758,0.4876117900000001
28,grok_asg_anomaly.csv,0.053430855,KMeans,0.5,4,KMeans,0.52631579,1.0
29,ec2_cpu_utilization_5f5533.csv,0.053435624,KMeans,0.57142857,5,KMeans,0.52631579,1.0
30,cpu_utilization_asg_misconfiguration.csv,0.37159532,KMeans,0.00775194,6,KMeans,0.52631579,1.0
31,Letter Recognition,0.49684817,KMeans,0.44545455,7,KMeans,0.52631579,1.0
32,ec2_cpu_utilization_c6585a.csv,0.5258743,Linear,0.0,8,KMeans,0.52631579,1.0
33,exchange-4_cpm_results.csv,0.5308981,KMeans,0.75,9,KMeans,0.52631579,1.0
34,exchange-2_cpc_results.csv,0.5345762,KMeans,0.33333333,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,rds_cpu_utilization_cc0c53.csv,0.19203687,Gaussian,1.0,1,Gaussian,0.25806452,0.81260997
38,ec2_cpu_utilization_ac20cd.csv,0.19575405,KMeans,0.66666667,2,Gaussian,0.25806452,0.81260997
39,rds_cpu_utilization_e47b3b.csv,0.20235556,Linear,0.66666667,3,Gaussian,0.25806452,0.81260997
40,grok_asg_anomaly.csv,0.22348648,KMeans,0.5,4,KMeans,0.44545455,1.0
41,ec2_cpu_utilization_5f5533.csv,0.22362018,KMeans,0.57142857,5,KMeans,0.44545455,1.0
42,cpu_utilization_asg_misconfiguration.csv,0.28364882,KMeans,0.00775194,6,KMeans,0.44545455,1.0
43,exchange-2_cpc_results.csv,0.46003538,KMeans,0.33333333,7,KMeans,0.44545455,1.0
44,exchange-4_cpm_results.csv,0.487578,KMeans,0.75,8,KMeans,0.44545455,1.0
45,exchange-4_cpc_results.csv,0.5161606,Linear,0.66666667,9,KMeans,0.44545455,1.0
46,Object Images,0.51768684,Gaussian,0.06772229,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,cpu_utilization_asg_misconfiguration.csv,0.3292274,KMeans,0.00775194,1,KMeans,0.22317597,1.0
50,ec2_cpu_utilization_ac20cd.csv,0.3555485,KMeans,0.66666667,2,KMeans,0.22317597,1.0
51,rds_cpu_utilization_cc0c53.csv,0.3566823,Gaussian,1.0,3,KMeans,0.22317597,1.0
52,rds_cpu_utilization_e47b3b.csv,0.38113475,Linear,0.66666667,4,KMeans,0.22317597,1.0
53,grok_asg_anomaly.csv,0.39605665,KMeans,0.5,5,KMeans,0.22317597,1.0
54,ec2_cpu_utilization_5f5533.csv,0.39683557,KMeans,0.57142857,6,KMeans,0.22317597,1.0
55,Letter Recognition,0.4693209,KMeans,0.44545455,7,KMeans,0.22317597,1.0
56,exchange-4_cpm_results.csv,0.5173923,KMeans,0.75,8,KMeans,0.22317597,1.0
57,exchange-2_cpc_results.csv,0.5232452,KMeans,0.33333333,9,KMeans,0.22317597,1.0
58,exchange-4_cpc_results.csv,0.550184,Linear,0.66666667,10,KMeans,0.22317597,1.0
59,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
61,rds_cpu_utilization_cc0c53.csv,0.10522443,Gaussian,1.0,1,Gaussian,0.81503172,0.84736428
62,ec2_cpu_utilization_ac20cd.csv,0.10825962,KMeans,0.66666667,2,Gaussian,0.81503172,0.84736428
63,rds_cpu_utilization_e47b3b.csv,0.115012705,Linear,0.66666667,3,Gaussian,0.81503172,0.84736428
64,grok_asg_anomaly.csv,0.12992191,KMeans,0.5,4,KMeans,0.96766744,1.0
65,ec2_cpu_utilization_5f5533.csv,0.13023132,KMeans,0.57142857,5,KMeans,0.96766744,1.0
66,cpu_utilization_asg_misconfiguration.csv,0.1927669,KMeans,0.00775194,6,KMeans,0.96766744,1.0
67,exchange-2_cpc_results.csv,0.4418939,KMeans,0.33333333,7,KMeans,0.96766744,1.0
68,exchange-4_cpm_results.csv,0.489063,KMeans,0.75,8,KMeans,0.96766744,1.0
69,exchange-4_cpc_results.csv,0.52212274,Linear,0.66666667,9,KMeans,0.96766744,1.0
70,Twitter_volume_KO.csv,0.52701336,Linear,0.8,10,KMeans,0.96766744,1.0
71,,,,,,,,
72,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
73,rds_cpu_utilization_cc0c53.csv,0.043581188,Gaussian,1.0,1,Gaussian,0.06772229,1.0
74,ec2_cpu_utilization_ac20cd.csv,0.046982527,KMeans,0.66666667,2,Gaussian,0.06772229,1.0
75,rds_cpu_utilization_e47b3b.csv,0.053572178,Linear,0.66666667,3,Gaussian,0.06772229,1.0
76,grok_asg_anomaly.csv,0.07173401,KMeans,0.5,4,KMeans,0.05851859,0.9907963
77,ec2_cpu_utilization_5f5533.csv,0.07192677,KMeans,0.57142857,5,KMeans,0.05851859,0.9907963
78,cpu_utilization_asg_misconfiguration.csv,0.35332868,KMeans,0.00775194,6,KMeans,0.05851859,0.9907963
79,Letter Recognition,0.4492082,KMeans,0.44545455,7,KMeans,0.05851859,0.9907963
80,exchange-4_cpm_results.csv,0.5048089,KMeans,0.75,8,KMeans,0.05851859,0.9907963
81,exchange-2_cpc_results.csv,0.53459406,KMeans,0.33333333,9,KMeans,0.05851859,0.9907963
82,exchange-4_cpc_results.csv,0.5375867,Linear,0.66666667,10,KMeans,0.05851859,0.9907963
