,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,exchange-4_cpm_results.csv,2.1139297344569132,KMeans,0.75,1,KMeans,0.83333333,1.0
2,exchange-4_cpc_results.csv,2.3523569756267344,Linear,0.66666667,2,KMeans,0.83333333,1.0
3,Twitter_volume_KO.csv,2.419801267296793,Linear,0.8,3,Linear,0.63157895,0.79824562
4,Twitter_volume_FB.csv,2.4753768032493553,Linear,1.0,4,Linear,0.63157895,0.79824562
5,ec2_cpu_utilization_c6585a.csv,2.740836917834671,Linear,0.0,5,Linear,0.63157895,0.79824562
6,Thyroid Disease,2.773991554033975,KMeans,0.22317597,6,Linear,0.63157895,0.79824562
7,Twitter_volume_CVS.csv,2.965205658586627,Linear,0.66666667,7,Linear,0.63157895,0.79824562
8,Twitter_volume_AMZN.csv,3.1751670865858665,KMeans,0.66666667,8,Linear,0.63157895,0.79824562
9,exchange-3_cpc_results.csv,3.232214431566606,Linear,0.57142857,9,Linear,0.63157895,0.79824562
10,speed_7578.csv,3.2499129524308596,KMeans,0.75,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,art_increase_spike_density.csv,0.4832602368263845,KMeans,0.15384615,1,KMeans,0.52631579,1.0
14,ec2_cpu_utilization_fe7f93.csv,0.48649130119591805,Linear,0.5,2,KMeans,0.52631579,1.0
15,elb_request_count_8c0756.csv,0.4871966694850556,Linear,0.66666667,3,Linear,0.02505219,0.4987364000000001
16,ec2_cpu_utilization_53ea38.csv,0.48803191231178167,KMeans,0.04255319,4,KMeans,0.52631579,1.0
17,rogue_agent_key_hold.csv,0.48840905612557595,Linear,0.003367,5,Linear,0.02505219,0.4987364000000001
18,ec2_cpu_utilization_77c1ca.csv,0.48885420433277094,KMeans,0.03921569,6,KMeans,0.52631579,1.0
19,rogue_agent_key_updown.csv,0.48891175118290114,Gaussian,0.00083455,7,KMeans,0.52631579,1.0
20,ec2_disk_write_bytes_1ef3de.csv,0.4904557810983139,Linear,0.08695652,8,Linear,0.02505219,0.4987364000000001
21,ec2_cpu_utilization_825cc2.csv,0.49526391818305554,KMeans,0.66666667,9,KMeans,0.52631579,1.0
22,exchange-2_cpm_results.csv,0.4957345232409869,KMeans,0.8,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,2.4892658303815915,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Landsat Satellite,2.745527753603508,Linear,0.71794872,2,KMeans,0.44545455,1.0
27,Statlog Shuttle,2.826947989322795,KMeans,0.96766744,3,KMeans,0.44545455,1.0
28,Thyroid Disease,4.061314213665511,KMeans,0.22317597,4,KMeans,0.44545455,1.0
29,speed_7578.csv,4.095638481110123,KMeans,0.75,5,KMeans,0.44545455,1.0
30,Twitter_volume_AMZN.csv,4.102593479250113,KMeans,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_CVS.csv,4.114220520391717,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,4.117003530471091,KMeans,0.5,8,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text (Local),4.120699423183655,KMeans,0.52631579,9,KMeans,0.44545455,1.0
34,Twitter_volume_FB.csv,4.12181403976908,Linear,1.0,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Twitter_volume_FB.csv,0.5454728409170031,Linear,1.0,1,Linear,0.19112628,0.96795031
38,speed_7578.csv,0.5955865223000215,KMeans,0.75,2,KMeans,0.22317597,1.0
39,Twitter_volume_AMZN.csv,0.6165070219544607,KMeans,0.66666667,3,KMeans,0.22317597,1.0
40,Twitter_volume_CVS.csv,0.6278722910930659,Linear,0.66666667,4,KMeans,0.22317597,1.0
41,exchange-4_cpc_results.csv,0.6513718963084946,Linear,0.66666667,5,Linear,0.19112628,0.96795031
42,ec2_cpu_utilization_24ae8d.csv,0.7667647576452218,KMeans,1.0,6,KMeans,0.22317597,1.0
43,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.7751328012374176,KMeans,0.5,7,KMeans,0.22317597,1.0
44,ec2_network_in_5abac7.csv,0.8377859304117895,Linear,0.66666667,8,KMeans,0.22317597,1.0
45,speed_t4013.csv,0.8518950166389612,Linear,1.0,9,Linear,0.19112628,0.96795031
46,ec2_disk_write_bytes_c0d644.csv,0.8765953805043699,Linear,0.5,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
49,Pen-Based Recognition of Handwritten Text,0.7809728202499963,KMeans,0.88648649,1,KMeans,0.96766744,1.0
50,Landsat Satellite,2.55311190096805,Linear,0.71794872,2,KMeans,0.96766744,1.0
51,Letter Recognition,2.826947989322795,KMeans,0.44545455,3,KMeans,0.96766744,1.0
52,Breast Cancer Diagnostic,4.032354150608626,KMeans,0.83333333,4,KMeans,0.96766744,1.0
53,exchange-4_cpm_results.csv,4.446526042213066,KMeans,0.75,5,KMeans,0.96766744,1.0
54,exchange-4_cpc_results.csv,4.564586969074999,Linear,0.66666667,6,KMeans,0.96766744,1.0
55,Twitter_volume_KO.csv,4.5997318962666505,Linear,0.8,7,KMeans,0.96766744,1.0
56,Twitter_volume_FB.csv,4.629141354272486,Linear,1.0,8,KMeans,0.96766744,1.0
57,ec2_cpu_utilization_c6585a.csv,4.776758696132299,Linear,0.0,9,Linear,0.96707106,0.9994036199999999
58,Thyroid Disease,4.828527875099835,KMeans,0.22317597,10,KMeans,0.96766744,1.0
59,,,,,,,,
60,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
61,rogue_agent_key_hold.csv,0.526874603004953,Linear,0.003367,1,Linear,0.0663518,0.99862951
62,ec2_cpu_utilization_53ea38.csv,0.5270359488114189,KMeans,0.04255319,2,KMeans,0.05851859,0.9907963
63,rogue_agent_key_updown.csv,0.5270953201866676,Gaussian,0.00083455,3,Gaussian,0.06772229,1.0
64,ec2_cpu_utilization_77c1ca.csv,0.5271363789736896,KMeans,0.03921569,4,KMeans,0.05851859,0.9907963
65,art_increase_spike_density.csv,0.5273126389419338,KMeans,0.15384615,5,KMeans,0.05851859,0.9907963
66,ec2_cpu_utilization_fe7f93.csv,0.5303031376832914,Linear,0.5,6,KMeans,0.05851859,0.9907963
67,elb_request_count_8c0756.csv,0.5338489892408459,Linear,0.66666667,7,KMeans,0.05851859,0.9907963
68,exchange-2_cpm_results.csv,0.5338574718203706,KMeans,0.8,8,KMeans,0.05851859,0.9907963
69,ec2_cpu_utilization_825cc2.csv,0.5354645984796396,KMeans,0.66666667,9,KMeans,0.05851859,0.9907963
70,ec2_disk_write_bytes_1ef3de.csv,0.5392077302817674,Linear,0.08695652,10,KMeans,0.05851859,0.9907963
71,,,,,,,,
72,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
73,Object Images,11.115453925161418,Gaussian,0.06772229,1,Gaussian,0.04856512,0.93091806
