,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
1,ec2_disk_write_bytes_c0d644.csv,241.84896671396564,Linear,0.5,1,Linear,0.02505219,0.4987364000000001
2,art_daily_jumpsup.csv,248.42456008910085,KMeans,0.22222222,2,KMeans,0.52631579,1.0
3,art_load_balancer_spikes.csv,1379.0888400412223,KMeans,0.25,3,KMeans,0.52631579,1.0
4,Twitter_volume_UPS.csv,4953.870802703925,Linear,0.28571429,4,KMeans,0.52631579,1.0
5,speed_7578.csv,6063.498667767213,KMeans,0.75,5,KMeans,0.52631579,1.0
6,TravelTime_451.csv,6166.209501963109,KMeans,0.4,6,KMeans,0.52631579,1.0
7,machine_temperature_system_failure.csv,6848.662085773714,Linear,0.4,7,KMeans,0.52631579,1.0
8,ec2_disk_write_bytes_1ef3de.csv,7479.325865844527,Linear,0.08695652,8,KMeans,0.52631579,1.0
9,art_daily_nojump.csv,9882.901556995726,KMeans,0.00152207,9,KMeans,0.52631579,1.0
10,art_daily_jumpsdown.csv,9999.441963376652,KMeans,0.03030303,10,KMeans,0.52631579,1.0
11,,,,,,,,
12,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
13,exchange-4_cpm_results.csv,1327.9144196682792,KMeans,0.75,1,KMeans,0.22317597,1.0
14,rds_cpu_utilization_e47b3b.csv,3601.4744331228103,Linear,0.66666667,2,KMeans,0.22317597,1.0
15,rds_cpu_utilization_cc0c53.csv,3627.382607792976,Gaussian,1.0,3,Gaussian,0.18115942,0.95798345
16,ec2_cpu_utilization_5f5533.csv,3656.9021379651103,KMeans,0.57142857,4,KMeans,0.22317597,1.0
17,grok_asg_anomaly.csv,3658.4673758864446,KMeans,0.5,5,KMeans,0.22317597,1.0
18,ec2_cpu_utilization_ac20cd.csv,3666.1994070881974,KMeans,0.66666667,6,KMeans,0.22317597,1.0
19,Landsat Satellite,4796.711253005876,Linear,0.71794872,7,KMeans,0.22317597,1.0
20,Statlog Shuttle,4799.721876283361,KMeans,0.96766744,8,KMeans,0.22317597,1.0
21,Object Images,4822.03700610132,Gaussian,0.06772229,9,KMeans,0.22317597,1.0
22,Pen-Based Recognition of Handwritten Text,4837.517945101376,KMeans,0.88648649,10,KMeans,0.22317597,1.0
23,,,,,,,,
24,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
25,Twitter_volume_CVS.csv,2976.175835897622,Linear,0.66666667,1,Linear,1.0,1.0
26,rogue_agent_key_hold.csv,21650.572580794455,Linear,0.003367,2,Linear,1.0,1.0
27,rogue_agent_key_updown.csv,22317.216629448696,Gaussian,0.00083455,3,Linear,1.0,1.0
