,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Statlog Shuttle,4.715207072523613,KMeans,0.96766744,1,KMeans,0.83333333,1.0
2,exchange-4_cpm_results.csv,5.284424488435194,KMeans,0.75,2,KMeans,0.83333333,1.0
3,exchange-4_cpc_results.csv,5.422074979314589,Linear,0.66666667,3,KMeans,0.83333333,1.0
4,Twitter_volume_FB.csv,5.671887373320617,Linear,1.0,4,KMeans,0.83333333,1.0
5,Thyroid Disease,5.846024867335888,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,Twitter_volume_KO.csv,6.040433677243939,Linear,0.8,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,6.133086556905525,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,ec2_cpu_utilization_c6585a.csv,6.647423822471696,Linear,0.0,8,KMeans,0.83333333,1.0
9,Twitter_volume_CVS.csv,6.885574356763707,Linear,0.66666667,9,Linear,0.63157895,0.79824562
10,Pen-Based Recognition of Handwritten Text (Local),6.9803810835997755,KMeans,0.52631579,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,art_increase_spike_density.csv,0.5619400085051415,KMeans,0.15384615,1,KMeans,0.52631579,1.0
14,elb_request_count_8c0756.csv,0.593492661917074,Linear,0.66666667,2,KMeans,0.52631579,1.0
15,ec2_cpu_utilization_fe7f93.csv,0.6147858939557729,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
16,rogue_agent_key_hold.csv,0.6386924595734104,Linear,0.003367,4,Linear,0.02505219,0.4987364000000001
17,ec2_disk_write_bytes_1ef3de.csv,0.645506898606378,Linear,0.08695652,5,Linear,0.02505219,0.4987364000000001
18,ec2_cpu_utilization_53ea38.csv,0.6462324815167559,KMeans,0.04255319,6,Linear,0.02505219,0.4987364000000001
19,rogue_agent_key_updown.csv,0.6503403075107411,Gaussian,0.00083455,7,Linear,0.02505219,0.4987364000000001
20,ec2_cpu_utilization_77c1ca.csv,0.6520313581080898,KMeans,0.03921569,8,Linear,0.02505219,0.4987364000000001
21,ec2_cpu_utilization_825cc2.csv,0.6994216573860563,KMeans,0.66666667,9,KMeans,0.52631579,1.0
22,ec2_disk_write_bytes_c0d644.csv,0.699559428993794,Linear,0.5,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,4.706029997976996,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Landsat Satellite,4.888587009555973,Linear,0.71794872,2,KMeans,0.44545455,1.0
27,speed_7578.csv,5.417144291432912,KMeans,0.75,3,KMeans,0.44545455,1.0
28,Twitter_volume_CVS.csv,5.431675342235896,Linear,0.66666667,4,KMeans,0.44545455,1.0
29,Pen-Based Recognition of Handwritten Text,5.436072437498735,KMeans,0.88648649,5,KMeans,0.44545455,1.0
30,Twitter_volume_AMZN.csv,5.488491770021721,KMeans,0.66666667,6,KMeans,0.44545455,1.0
31,Object Images,5.560662455387033,Gaussian,0.06772229,7,KMeans,0.44545455,1.0
32,Statlog Shuttle,5.577767998108132,KMeans,0.96766744,8,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text (Local),5.60520515576822,KMeans,0.52631579,9,KMeans,0.44545455,1.0
34,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,5.738423035719627,KMeans,0.5,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Twitter_volume_CVS.csv,1.03954948942943,Linear,0.66666667,1,Linear,0.19112628,0.96795031
38,Twitter_volume_FB.csv,1.0910185701804356,Linear,1.0,2,Linear,0.19112628,0.96795031
39,speed_7578.csv,1.2100205883705597,KMeans,0.75,3,Linear,0.19112628,0.96795031
40,Twitter_volume_AMZN.csv,1.28136806695937,KMeans,0.66666667,4,KMeans,0.22317597,1.0
41,exchange-4_cpc_results.csv,1.2907155104727344,Linear,0.66666667,5,Linear,0.19112628,0.96795031
42,Object Images,1.5221577956456855,Gaussian,0.06772229,6,Linear,0.19112628,0.96795031
43,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.5312993326572752,KMeans,0.5,7,KMeans,0.22317597,1.0
44,ec2_cpu_utilization_24ae8d.csv,1.579520144362434,KMeans,1.0,8,KMeans,0.22317597,1.0
45,exchange-3_cpc_results.csv,1.679051860109599,Linear,0.57142857,9,KMeans,0.22317597,1.0
46,ec2_network_in_5abac7.csv,1.682369239420466,Linear,0.66666667,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
49,Pen-Based Recognition of Handwritten Text,1.8587143052768038,KMeans,0.88648649,1,KMeans,0.96766744,1.0
50,Breast Cancer Diagnostic,4.715207072523613,KMeans,0.83333333,2,KMeans,0.96766744,1.0
51,Landsat Satellite,4.98875180882648,Linear,0.71794872,3,KMeans,0.96766744,1.0
52,Letter Recognition,5.577767998108132,KMeans,0.44545455,4,KMeans,0.96766744,1.0
53,exchange-4_cpm_results.csv,8.568495240393387,KMeans,0.75,5,KMeans,0.96766744,1.0
54,exchange-4_cpc_results.csv,8.706145731272782,Linear,0.66666667,6,KMeans,0.96766744,1.0
55,Twitter_volume_FB.csv,8.95595812527881,Linear,1.0,7,KMeans,0.96766744,1.0
56,Twitter_volume_KO.csv,9.324504429202133,Linear,0.8,8,KMeans,0.96766744,1.0
57,Thyroid Disease,9.53476127748058,KMeans,0.22317597,9,KMeans,0.96766744,1.0
58,ec2_cpu_utilization_c6585a.csv,9.933503041992587,Linear,0.0,10,KMeans,0.96766744,1.0
59,,,,,,,,
60,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
61,rogue_agent_key_hold.csv,0.5813761867879534,Linear,0.003367,1,Linear,0.0663518,0.99862951
62,ec2_cpu_utilization_53ea38.csv,0.5889162087312988,KMeans,0.04255319,2,KMeans,0.05851859,0.9907963
63,rogue_agent_key_updown.csv,0.5930240347252838,Gaussian,0.00083455,3,Gaussian,0.06772229,1.0
64,art_increase_spike_density.csv,0.594444884600784,KMeans,0.15384615,4,KMeans,0.05851859,0.9907963
65,ec2_cpu_utilization_77c1ca.csv,0.5947150853226326,KMeans,0.03921569,5,KMeans,0.05851859,0.9907963
66,ec2_cpu_utilization_825cc2.csv,0.6466075604694106,KMeans,0.66666667,6,KMeans,0.05851859,0.9907963
67,ec2_cpu_utilization_fe7f93.csv,0.6481069022753434,Linear,0.5,7,KMeans,0.05851859,0.9907963
68,exchange-2_cpm_results.csv,0.6611493896443464,KMeans,0.8,8,KMeans,0.05851859,0.9907963
69,ec2_network_in_257a54.csv,0.6834249399939755,KMeans,0.5,9,KMeans,0.05851859,0.9907963
70,elb_request_count_8c0756.csv,0.7012886050886656,Linear,0.66666667,10,KMeans,0.05851859,0.9907963
71,,,,,,,,
72,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
73,Thyroid Disease,16.017089570790496,KMeans,0.22317597,1,KMeans,0.05384615,0.93619909
74,Twitter_volume_CVS.csv,16.70838418351107,Linear,0.66666667,2,KMeans,0.05384615,0.93619909
75,speed_7578.csv,16.857981892549375,KMeans,0.75,3,KMeans,0.05384615,0.93619909
76,Object Images,16.880737304812524,Gaussian,0.06772229,4,KMeans,0.05384615,0.93619909
