,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,TravelTime_451.csv,7.698352290391535e-05,KMeans,0.4,1,KMeans,0.83333333,1.0
2,Twitter_volume_IBM.csv,0.0003093773841447338,Linear,0.5,2,KMeans,0.83333333,1.0
3,Twitter_volume_UPS.csv,0.0004477808491766826,Linear,0.28571429,3,Linear,0.63157895,0.79824562
4,Twitter_volume_PFE.csv,0.000598729046195032,KMeans,0.42857143,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),0.0006257698156057338,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,exchange-3_cpc_results.csv,0.0006731349539732883,Linear,0.57142857,6,KMeans,0.83333333,1.0
7,ec2_cpu_utilization_24ae8d.csv,0.0006963340331957064,KMeans,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_CRM.csv,0.0007316111803744284,KMeans,0.54545455,8,KMeans,0.83333333,1.0
9,Twitter_volume_AMZN.csv,0.0007783985254092896,KMeans,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_CVS.csv,0.0008757729909977514,Linear,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Twitter_volume_PFE.csv,0.00024397900361377862,KMeans,0.42857143,1,KMeans,0.38537271,0.4468761299999999
14,exchange-3_cpc_results.csv,0.0010259337997125398,Linear,0.57142857,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_IBM.csv,0.0010590472494219827,Linear,0.5,3,Linear,0.92639843,0.98790185
16,Breast Cancer Diagnostic,0.0014679645942913318,KMeans,0.83333333,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_UPS.csv,0.001678760678479739,Linear,0.28571429,5,Linear,0.92639843,0.98790185
18,exchange-4_cpm_results.csv,0.0016868493005388727,KMeans,0.75,6,KMeans,0.38537271,0.4468761299999999
19,TravelTime_451.csv,0.0018297263926792696,KMeans,0.4,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,0.002022839374887573,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AAPL.csv,0.0020335521374178975,Linear,0.4,9,Linear,0.92639843,0.98790185
22,Pen-Based Recognition of Handwritten Text,0.002170529631304182,KMeans,0.88648649,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,speed_6005.csv,0.00480928182945798,Linear,0.66666667,1,Linear,0.02505219,0.4987364000000001
26,Twitter_volume_CRM.csv,0.01193334859271946,KMeans,0.54545455,2,KMeans,0.52631579,1.0
27,exchange-3_cpc_results.csv,0.01685034298057283,Linear,0.57142857,3,Linear,0.02505219,0.4987364000000001
28,speed_7578.csv,0.025156522075915982,KMeans,0.75,4,KMeans,0.52631579,1.0
29,Twitter_volume_GOOG.csv,0.0354875920377007,Linear,0.4,5,Linear,0.02505219,0.4987364000000001
30,occupancy_t4013.csv,0.03734763795994493,Linear,1.0,6,Linear,0.02505219,0.4987364000000001
31,Object Images,0.03868886117466186,Gaussian,0.06772229,7,Linear,0.02505219,0.4987364000000001
32,art_increase_spike_density.csv,0.03869336737118344,KMeans,0.15384615,8,Linear,0.02505219,0.4987364000000001
33,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.04246523164258306,KMeans,0.5,9,KMeans,0.52631579,1.0
34,rogue_agent_key_hold.csv,0.04284344276060614,Linear,0.003367,10,Linear,0.02505219,0.4987364000000001
35,,,,,,,,
36,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
37,Breast Cancer Diagnostic,0.003790774798606733,KMeans,0.83333333,1,KMeans,0.44545455,1.0
38,ec2_cpu_utilization_5f5533.csv,0.0073748067834628755,KMeans,0.57142857,2,KMeans,0.44545455,1.0
39,grok_asg_anomaly.csv,0.007531646072833624,KMeans,0.5,3,KMeans,0.44545455,1.0
40,rds_cpu_utilization_e47b3b.csv,0.010563168322240416,Linear,0.66666667,4,KMeans,0.44545455,1.0
41,Statlog Shuttle,0.012275226838767243,KMeans,0.96766744,5,KMeans,0.44545455,1.0
42,rds_cpu_utilization_cc0c53.csv,0.01685553022125067,Gaussian,1.0,6,KMeans,0.44545455,1.0
43,ec2_cpu_utilization_ac20cd.csv,0.017951834040307982,KMeans,0.66666667,7,KMeans,0.44545455,1.0
44,Object Images,0.01801230907586709,Gaussian,0.06772229,8,KMeans,0.44545455,1.0
45,Landsat Satellite,0.02253145430548803,Linear,0.71794872,9,KMeans,0.44545455,1.0
46,Pen-Based Recognition of Handwritten Text (Local),0.026822979627700735,KMeans,0.52631579,10,KMeans,0.44545455,1.0
47,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
49,exchange-4_cpc_results.csv,0.015248646155050137,Linear,0.66666667,1,Linear,0.19112628,0.96795031
50,Letter Recognition,0.015581820787214533,KMeans,0.44545455,2,KMeans,0.22317597,1.0
51,Twitter_volume_FB.csv,0.027689049469068257,Linear,1.0,3,Linear,0.19112628,0.96795031
52,exchange-3_cpm_results.csv,0.0307922136669379,Linear,1.0,4,Linear,0.19112628,0.96795031
53,Landsat Satellite,0.03169816691420333,Linear,0.71794872,5,Linear,0.19112628,0.96795031
54,cpu_utilization_asg_misconfiguration.csv,0.03352307772989225,KMeans,0.00775194,6,Linear,0.19112628,0.96795031
55,rogue_agent_key_hold.csv,0.0381583389133361,Linear,0.003367,7,Linear,0.19112628,0.96795031
56,rogue_agent_key_updown.csv,0.03828562323434753,Gaussian,0.00083455,8,Linear,0.19112628,0.96795031
57,ec2_cpu_utilization_77c1ca.csv,0.038488682792254945,KMeans,0.03921569,9,Linear,0.19112628,0.96795031
58,ec2_cpu_utilization_53ea38.csv,0.03918480066966477,KMeans,0.04255319,10,Linear,0.19112628,0.96795031
59,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
61,speed_6005.csv,0.0023357241798706227,Linear,0.66666667,1,Linear,0.96707106,0.9994036199999999
62,Twitter_volume_CRM.csv,0.004503108331151855,KMeans,0.54545455,2,KMeans,0.96766744,1.0
63,exchange-2_cpc_results.csv,0.00608810163582945,KMeans,0.33333333,3,KMeans,0.96766744,1.0
64,exchange-3_cpc_results.csv,0.009980281768353312,Linear,0.57142857,4,KMeans,0.96766744,1.0
65,Twitter_volume_GOOG.csv,0.018341203855832683,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
66,occupancy_t4013.csv,0.021752705150566237,Linear,1.0,6,Linear,0.96707106,0.9994036199999999
67,Twitter_volume_AAPL.csv,0.027387246083895547,Linear,0.4,7,Linear,0.96707106,0.9994036199999999
68,Landsat Satellite,0.027468914019524768,Linear,0.71794872,8,Linear,0.96707106,0.9994036199999999
69,TravelTime_387.csv,0.029137582967813755,KMeans,0.66666667,9,Linear,0.96707106,0.9994036199999999
70,speed_t4013.csv,0.032885856785741505,Linear,1.0,10,Linear,0.96707106,0.9994036199999999
71,,,,,,,,
72,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
73,exchange-2_cpc_results.csv,0.08425358893344909,KMeans,0.33333333,1,KMeans,0.05851859,0.9907963
74,Twitter_volume_CVS.csv,0.1030328165932671,Linear,0.66666667,2,KMeans,0.05851859,0.9907963
75,Letter Recognition,0.10628816363901064,KMeans,0.44545455,3,KMeans,0.05851859,0.9907963
76,Twitter_volume_KO.csv,0.11940104726505549,Linear,0.8,4,KMeans,0.05851859,0.9907963
77,Landsat Satellite,0.124621658466698,Linear,0.71794872,5,Linear,0.0663518,0.99862951
78,speed_7578.csv,0.12668764836013632,KMeans,0.75,6,KMeans,0.05851859,0.9907963
79,Twitter_volume_AMZN.csv,0.1448581654532245,KMeans,0.66666667,7,KMeans,0.05851859,0.9907963
80,cpu_utilization_asg_misconfiguration.csv,0.1780746752594671,KMeans,0.00775194,8,KMeans,0.05851859,0.9907963
81,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.1780774162115085,KMeans,0.5,9,KMeans,0.05851859,0.9907963
82,ec2_cpu_utilization_24ae8d.csv,0.19128009131907864,KMeans,1.0,10,KMeans,0.05851859,0.9907963
83,,,,,,,,
84,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
85,Twitter_volume_AAPL.csv,0.023111398145441747,Linear,0.4,1,Linear,0.64473684,0.75825035
86,grok_asg_anomaly.csv,0.0436974851528427,KMeans,0.5,2,KMeans,0.88648649,1.0
87,ec2_cpu_utilization_5f5533.csv,0.047963018298693975,KMeans,0.57142857,3,KMeans,0.88648649,1.0
