,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,KDD-Cup99 HTTP,0.0003728345,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878
2,Statlog Shuttle,0.0017239526,KMeans,0.96766744,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text (Local),0.002094997,KMeans,0.52631579,3,KMeans,0.83333333,1.0
4,speed_7578.csv,0.0039332286,KMeans,0.75,4,KMeans,0.83333333,1.0
5,Thyroid Disease,0.004738642,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,rogue_agent_key_hold.csv,0.0049416684,Linear,0.003367,6,KMeans,0.83333333,1.0
7,exchange-4_cpm_results.csv,0.0061267875,KMeans,0.75,7,KMeans,0.83333333,1.0
8,rogue_agent_key_updown.csv,0.006919913,Gaussian,0.00083455,8,KMeans,0.83333333,1.0
9,ec2_disk_write_bytes_c0d644.csv,0.008328877,Linear,0.5,9,KMeans,0.83333333,1.0
10,exchange-3_cpc_results.csv,0.009020384,Linear,0.57142857,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text (Local),0.0018836297,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
14,Statlog Shuttle,0.0024355631,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
15,rogue_agent_key_hold.csv,0.0048283525,Linear,0.003367,3,KMeans,0.38537271,0.4468761299999999
16,speed_7578.csv,0.005298961,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,rogue_agent_key_updown.csv,0.0059437156,Gaussian,0.00083455,5,KMeans,0.38537271,0.4468761299999999
18,Breast Cancer Diagnostic,0.006245658,KMeans,0.83333333,6,KMeans,0.38537271,0.4468761299999999
19,exchange-4_cpm_results.csv,0.0072169285,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999
20,ec2_disk_write_bytes_c0d644.csv,0.008471696,Linear,0.5,8,KMeans,0.38537271,0.4468761299999999
21,exchange-3_cpc_results.csv,0.010126108,Linear,0.57142857,9,KMeans,0.38537271,0.4468761299999999
22,exchange-4_cpc_results.csv,0.010470489,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,speed_7578.csv,0.001456676,KMeans,0.75,1,KMeans,0.52631579,1.0
26,KDD-Cup99 HTTP,0.0016869828,RPCA,0.93849658,2,KMeans,0.52631579,1.0
27,Breast Cancer Diagnostic,0.0024872236,KMeans,0.83333333,3,KMeans,0.52631579,1.0
28,rogue_agent_key_hold.csv,0.0028507803,Linear,0.003367,4,KMeans,0.52631579,1.0
29,exchange-4_cpm_results.csv,0.0037181247,KMeans,0.75,5,KMeans,0.52631579,1.0
30,Statlog Shuttle,0.0039789863,KMeans,0.96766744,6,KMeans,0.52631579,1.0
31,rogue_agent_key_updown.csv,0.0051518474,Gaussian,0.00083455,7,KMeans,0.52631579,1.0
32,ec2_disk_write_bytes_c0d644.csv,0.0061897393,Linear,0.5,8,KMeans,0.52631579,1.0
33,exchange-3_cpc_results.csv,0.006637374,Linear,0.57142857,9,KMeans,0.52631579,1.0
34,exchange-4_cpc_results.csv,0.007021716,Linear,0.66666667,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,speed_7578.csv,0.00013800152,KMeans,0.75,1,KMeans,0.22317597,1.0
