,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Statlog Shuttle,0.16089673709777244,KMeans,0.96766744,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.23632742130780077,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,speed_7578.csv,0.48150167528786525,KMeans,0.75,3,KMeans,0.83333333,1.0
4,Thyroid Disease,0.5077992703217504,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,exchange-4_cpm_results.csv,0.5115042405564681,KMeans,0.75,5,KMeans,0.83333333,1.0
6,exchange-3_cpc_results.csv,0.5257988890003952,Linear,0.57142857,6,KMeans,0.83333333,1.0
7,exchange-4_cpc_results.csv,0.5294376400537979,Linear,0.66666667,7,KMeans,0.83333333,1.0
8,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5362229428059025,KMeans,0.5,8,KMeans,0.83333333,1.0
9,KDD-Cup99 HTTP,0.5419283392132849,RPCA,0.93849658,9,KMeans,0.83333333,1.0
10,Pen-Based Recognition of Handwritten Text (Local),0.5457241744111462,KMeans,0.52631579,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text (Local),0.01621073525200026,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
14,rogue_agent_key_hold.csv,0.033434713529125186,Linear,0.003367,2,KMeans,0.38537271,0.4468761299999999
15,rogue_agent_key_updown.csv,0.052883137396310655,Gaussian,0.00083455,3,Gaussian,0.17305478,0.23455819999999994
16,ec2_disk_write_bytes_c0d644.csv,0.05942580153955749,Linear,0.5,4,Linear,0.92639843,0.98790185
17,grok_asg_anomaly.csv,0.0751570665660615,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
18,nyc_taxi.csv,0.08690882067813575,Linear,0.25,6,Linear,0.92639843,0.98790185
19,TravelTime_387.csv,0.09838998078117532,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,exchange-2_cpm_results.csv,0.09922915632760372,KMeans,0.8,8,KMeans,0.38537271,0.4468761299999999
21,ec2_request_latency_system_failure.csv,0.10445044449633907,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
22,ec2_cpu_utilization_fe7f93.csv,0.1045049757344261,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,KDD-Cup99 HTTP,0.01621073525200026,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
26,rogue_agent_key_hold.csv,0.01803107922481991,Linear,0.003367,2,Linear,0.02505219,0.4987364000000001
27,ec2_disk_write_bytes_c0d644.csv,0.043416447044225516,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
28,rogue_agent_key_updown.csv,0.0582921727165908,Gaussian,0.00083455,4,Linear,0.02505219,0.4987364000000001
29,grok_asg_anomaly.csv,0.05898778951561021,KMeans,0.5,5,Linear,0.02505219,0.4987364000000001
30,nyc_taxi.csv,0.07074509371019845,Linear,0.25,6,Linear,0.02505219,0.4987364000000001
31,TravelTime_387.csv,0.08278097429273834,KMeans,0.66666667,7,Linear,0.02505219,0.4987364000000001
32,exchange-2_cpm_results.csv,0.08367539370439535,KMeans,0.8,8,KMeans,0.52631579,1.0
33,ec2_request_latency_system_failure.csv,0.08836365415054574,KMeans,0.66666667,9,KMeans,0.52631579,1.0
34,ec2_cpu_utilization_fe7f93.csv,0.08841851075972884,Linear,0.5,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,0.5077992703217504,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,Landsat Satellite,0.5844842516358558,Linear,0.71794872,2,KMeans,0.22317597,1.0
39,Statlog Shuttle,0.621112661289531,KMeans,0.96766744,3,KMeans,0.22317597,1.0
40,KDD-Cup99 HTTP,0.7790759326650604,RPCA,0.93849658,4,KMeans,0.22317597,1.0
