,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,art_increase_spike_density.csv,0.0011717804632595252,KMeans,0.15384615,1,KMeans,0.83333333,1.0
2,Twitter_volume_FB.csv,0.0013592681593245365,Linear,1.0,2,KMeans,0.83333333,1.0
3,Twitter_volume_IBM.csv,0.0013605061363032647,Linear,0.5,3,Linear,0.63157895,0.79824562
4,Twitter_volume_CVS.csv,0.001397931543452656,Linear,0.66666667,4,Linear,0.63157895,0.79824562
5,ec2_disk_write_bytes_1ef3de.csv,0.0014063871520413815,Linear,0.08695652,5,Linear,0.63157895,0.79824562
6,Twitter_volume_CRM.csv,0.0014255072499300622,KMeans,0.54545455,6,Linear,0.63157895,0.79824562
7,art_daily_nojump.csv,0.0014286811319736414,KMeans,0.00152207,7,Linear,0.63157895,0.79824562
8,art_daily_jumpsup.csv,0.0014296569957778574,KMeans,0.22222222,8,KMeans,0.83333333,1.0
9,art_daily_jumpsdown.csv,0.0014296569957778574,KMeans,0.03030303,9,KMeans,0.83333333,1.0
10,ec2_network_in_257a54.csv,0.0014306337327027047,KMeans,0.5,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text (Local),0.00013534407003794324,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
14,rogue_agent_key_hold.csv,0.00036015165617991896,Linear,0.003367,2,KMeans,0.38537271,0.4468761299999999
15,speed_7578.csv,0.00036114653970330257,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
16,exchange-4_cpm_results.csv,0.0004945735141953581,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,Landsat Satellite,0.0005268645759069907,Linear,0.71794872,5,KMeans,0.38537271,0.4468761299999999
18,rogue_agent_key_updown.csv,0.0005580589477333989,Gaussian,0.00083455,6,KMeans,0.38537271,0.4468761299999999
19,ec2_disk_write_bytes_c0d644.csv,0.0006300709157496046,Linear,0.5,7,KMeans,0.38537271,0.4468761299999999
20,exchange-3_cpc_results.csv,0.0007220446526773894,Linear,0.57142857,8,Linear,0.92639843,0.98790185
21,exchange-4_cpc_results.csv,0.0007488882245344219,Linear,0.66666667,9,Linear,0.92639843,0.98790185
22,exchange-2_cpm_results.csv,0.0007645601988921294,KMeans,0.8,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,KDD-Cup99 HTTP,0.00013534407003794324,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
26,rogue_agent_key_hold.csv,0.0002248075861419757,Linear,0.003367,2,Linear,0.02505219,0.4987364000000001
27,speed_7578.csv,0.00022580246966535933,KMeans,0.75,3,KMeans,0.52631579,1.0
28,exchange-4_cpm_results.csv,0.0003592294441574148,KMeans,0.75,4,KMeans,0.52631579,1.0
29,rogue_agent_key_updown.csv,0.0004227148776954556,Gaussian,0.00083455,5,KMeans,0.52631579,1.0
30,ec2_disk_write_bytes_c0d644.csv,0.0004947268457116613,Linear,0.5,6,KMeans,0.52631579,1.0
31,exchange-3_cpc_results.csv,0.0005867005826394461,Linear,0.57142857,7,Linear,0.02505219,0.4987364000000001
32,exchange-4_cpc_results.csv,0.0006135441544964787,Linear,0.66666667,8,Linear,0.02505219,0.4987364000000001
33,exchange-2_cpm_results.csv,0.0006292161288541862,KMeans,0.8,9,Linear,0.02505219,0.4987364000000001
34,TravelTime_387.csv,0.0006336191073469735,KMeans,0.66666667,10,KMeans,0.52631579,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,0.004517821878079253,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,art_increase_spike_density.csv,0.005689602341338779,KMeans,0.15384615,2,KMeans,0.22317597,1.0
39,Twitter_volume_FB.csv,0.00587709003740379,Linear,1.0,3,KMeans,0.22317597,1.0
40,Twitter_volume_IBM.csv,0.005878328014382518,Linear,0.5,4,KMeans,0.22317597,1.0
41,Twitter_volume_CVS.csv,0.005915753421531909,Linear,0.66666667,5,Linear,0.19112628,0.96795031
42,ec2_disk_write_bytes_1ef3de.csv,0.005924209030120635,Linear,0.08695652,6,Linear,0.19112628,0.96795031
43,Twitter_volume_CRM.csv,0.005943329128009316,KMeans,0.54545455,7,Linear,0.19112628,0.96795031
44,art_daily_nojump.csv,0.005946503010052895,KMeans,0.00152207,8,KMeans,0.22317597,1.0
45,art_daily_jumpsup.csv,0.005947478873857111,KMeans,0.22222222,9,KMeans,0.22317597,1.0
46,art_daily_jumpsdown.csv,0.005947478873857111,KMeans,0.03030303,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
49,machine_temperature_system_failure.csv,3.519575355125093e-06,Linear,0.4,1,Linear,0.96707106,0.9994036199999999
50,rds_cpu_utilization_cc0c53.csv,6.589448773068607e-06,Gaussian,1.0,2,Gaussian,0.81503172,0.84736428
51,exchange-2_cpc_results.csv,1.4668677175616596e-05,KMeans,0.33333333,3,Gaussian,0.81503172,0.84736428
52,exchange-3_cpm_results.csv,2.298933468249803e-05,Linear,1.0,4,Linear,0.96707106,0.9994036199999999
53,ec2_network_in_5abac7.csv,3.380787991146689e-05,Linear,0.66666667,5,Linear,0.96707106,0.9994036199999999
54,art_daily_flatmiddle.csv,4.589164669536322e-05,KMeans,0.02,6,Linear,0.96707106,0.9994036199999999
55,Twitter_volume_UPS.csv,4.903239027828632e-05,Linear,0.28571429,7,Linear,0.96707106,0.9994036199999999
56,ambient_temperature_system_failure.csv,6.044780289775342e-05,KMeans,0.8,8,Linear,0.96707106,0.9994036199999999
