,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Landsat Satellite,0.004493067274085196,Linear,0.71794872,1,Linear,0.63157895,0.79824562
2,Statlog Shuttle,0.0059176636929148705,KMeans,0.96766744,2,KMeans,0.83333333,1.0
3,rogue_agent_key_updown.csv,0.00798371149638719,Gaussian,0.00083455,3,Gaussian,0.73684211,0.90350878
4,KDD-Cup99 HTTP,0.008211877973820073,RPCA,0.93849658,4,Gaussian,0.73684211,0.90350878
5,Pen-Based Recognition of Handwritten Text (Local),0.008526736301516737,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,rogue_agent_key_hold.csv,0.008893921916222737,Linear,0.003367,6,KMeans,0.83333333,1.0
7,ec2_disk_write_bytes_c0d644.csv,0.009359988920126003,Linear,0.5,7,Linear,0.63157895,0.79824562
8,grok_asg_anomaly.csv,0.009558412453527124,KMeans,0.5,8,KMeans,0.83333333,1.0
9,speed_7578.csv,0.009680103951558409,KMeans,0.75,9,KMeans,0.83333333,1.0
10,nyc_taxi.csv,0.009681799681513299,Linear,0.25,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,grok_asg_anomaly.csv,6.158228680865768e-05,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text (Local),0.0001611708841322279,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999
15,nyc_taxi.csv,0.0001766596877420222,Linear,0.25,3,KMeans,0.38537271,0.4468761299999999
16,rogue_agent_key_hold.csv,0.0002655674434399215,Linear,0.003367,4,KMeans,0.38537271,0.4468761299999999
17,ec2_disk_write_bytes_c0d644.csv,0.00028004639222089026,Linear,0.5,5,Linear,0.92639843,0.98790185
18,ec2_cpu_utilization_53ea38.csv,0.0006537854236434402,KMeans,0.04255319,6,KMeans,0.38537271,0.4468761299999999
19,ec2_cpu_utilization_5f5533.csv,0.0006544791862584144,KMeans,0.57142857,7,KMeans,0.38537271,0.4468761299999999
20,elb_request_count_8c0756.csv,0.0006597330428272617,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,rds_cpu_utilization_e47b3b.csv,0.0006801961880480677,Linear,0.66666667,9,Linear,0.92639843,0.98790185
22,ambient_temperature_system_failure.csv,0.0007274976957800938,KMeans,0.8,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,0.3712037135826832,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Breast Cancer Diagnostic,0.4758545581366286,KMeans,0.83333333,2,KMeans,0.44545455,1.0
27,Statlog Shuttle,0.6060783384515128,KMeans,0.96766744,3,KMeans,0.44545455,1.0
28,Landsat Satellite,0.6782761079592776,Linear,0.71794872,4,KMeans,0.44545455,1.0
29,Speech Accent Data,0.7220267791446993,Linear,0.11764706,5,KMeans,0.44545455,1.0
30,speed_7578.csv,0.8224334828885895,KMeans,0.75,6,KMeans,0.44545455,1.0
31,exchange-4_cpm_results.csv,0.8366624229932746,KMeans,0.75,7,KMeans,0.44545455,1.0
32,exchange-3_cpc_results.csv,0.8423059337075136,Linear,0.57142857,8,KMeans,0.44545455,1.0
33,exchange-4_cpc_results.csv,0.8438741497618788,Linear,0.66666667,9,KMeans,0.44545455,1.0
34,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.8463452066657231,KMeans,0.5,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
37,rogue_agent_key_hold.csv,1.4183079992485803e-05,Linear,0.003367,1,Linear,0.96707106,0.9994036199999999
38,Pen-Based Recognition of Handwritten Text (Local),0.0019965060941568025,KMeans,0.52631579,2,KMeans,0.96766744,1.0
39,ec2_disk_write_bytes_c0d644.csv,0.0033878680421216,Linear,0.5,3,Linear,0.96707106,0.9994036199999999
40,KDD-Cup99 HTTP,0.004424760619339219,RPCA,0.93849658,4,Linear,0.96707106,0.9994036199999999
41,rogue_agent_key_updown.csv,0.005039489589244273,Gaussian,0.00083455,5,Linear,0.96707106,0.9994036199999999
42,grok_asg_anomaly.csv,0.005925116476459491,KMeans,0.5,6,KMeans,0.96766744,1.0
43,nyc_taxi.csv,0.007929180140817713,Linear,0.25,7,Linear,0.96707106,0.9994036199999999
44,TravelTime_387.csv,0.00842423923159459,KMeans,0.66666667,8,KMeans,0.96766744,1.0
45,exchange-2_cpm_results.csv,0.008461726543376874,KMeans,0.8,9,KMeans,0.96766744,1.0
46,exchange-4_cpm_results.csv,0.008726504285873904,KMeans,0.75,10,KMeans,0.96766744,1.0
47,,,,,,,,
48,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
49,grok_asg_anomaly.csv,1.6026381695156343e-06,KMeans,0.5,1,KMeans,0.8,1.0
50,Twitter_volume_GOOG.csv,8.837681256085937e-06,Linear,0.4,2,KMeans,0.8,1.0
51,occupancy_t4013.csv,9.114833377130164e-06,Linear,1.0,3,Linear,0.14285714,0.34285714
52,speed_t4013.csv,2.0407585794539683e-05,Linear,1.0,4,Linear,0.14285714,0.34285714
53,speed_7578.csv,2.2115052078689967e-05,KMeans,0.75,5,Linear,0.14285714,0.34285714
54,rds_cpu_utilization_cc0c53.csv,2.6720148397211906e-05,Gaussian,1.0,6,Linear,0.14285714,0.34285714
55,exchange-3_cpm_results.csv,2.929736250821118e-05,Linear,1.0,7,Linear,0.14285714,0.34285714
56,exchange-2_cpc_results.csv,2.9962149857791116e-05,KMeans,0.33333333,8,Linear,0.14285714,0.34285714
57,exchange-4_cpm_results.csv,3.029210068595577e-05,KMeans,0.75,9,KMeans,0.8,1.0
58,ec2_network_in_5abac7.csv,3.464595673885107e-05,Linear,0.66666667,10,Linear,0.14285714,0.34285714
59,,,,,,,,
60,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
61,exchange-2_cpc_results.csv,4.541335001120861e-05,KMeans,0.33333333,1,KMeans,1.0,1.0
62,rds_cpu_utilization_cc0c53.csv,0.00011037827367668673,Gaussian,1.0,2,Gaussian,0.08333333,0.08333332999999998
63,machine_temperature_system_failure.csv,0.00027789420972210155,Linear,0.4,3,Gaussian,0.08333333,0.08333332999999998
64,ec2_network_in_5abac7.csv,0.0003324388620759011,Linear,0.66666667,4,Linear,1.0,1.0
65,art_daily_flatmiddle.csv,0.00038923802686771647,KMeans,0.02,5,KMeans,1.0,1.0
66,Twitter_volume_UPS.csv,0.00047427574029926256,Linear,0.28571429,6,Linear,1.0,1.0
67,TravelTime_451.csv,0.001132616674280884,KMeans,0.4,7,KMeans,1.0,1.0
68,ambient_temperature_system_failure.csv,0.0017074048685323806,KMeans,0.8,8,KMeans,1.0,1.0
69,speed_6005.csv,0.0018330001308559662,Linear,0.66666667,9,KMeans,1.0,1.0
70,Twitter_volume_AAPL.csv,0.002027265266489775,Linear,0.4,10,Linear,1.0,1.0
71,,,,,,,,
72,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
73,art_daily_flatmiddle.csv,9.23717441477824e-06,KMeans,0.02,1,KMeans,0.4,1.0
74,Thyroid Disease,1.039036615979377e-05,KMeans,0.22317597,2,KMeans,0.4,1.0
75,occupancy_t4013.csv,2.5283784096169146e-05,Linear,1.0,3,KMeans,0.4,1.0
76,Twitter_volume_UPS.csv,4.6053460886142945e-05,Linear,0.28571429,4,KMeans,0.4,1.0
77,speed_t4013.csv,5.770567512707785e-05,Linear,1.0,5,Linear,0.4,1.0
78,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,6.719985285769505e-05,KMeans,0.5,6,KMeans,0.4,1.0
79,ec2_network_in_5abac7.csv,8.349278182236e-05,Linear,0.66666667,7,Linear,0.4,1.0
80,rds_cpu_utilization_cc0c53.csv,8.355984922780177e-05,Gaussian,1.0,8,Linear,0.4,1.0
81,speed_7578.csv,0.00010772039514446528,KMeans,0.75,9,KMeans,0.4,1.0
82,exchange-3_cpc_results.csv,0.00013781427931492405,Linear,0.57142857,10,Linear,0.4,1.0
83,,,,,,,,
84,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,ec2_cpu_utilization_fe7f93.csv,1.48120970535617e-08,Linear,0.5,1,Linear,0.57142857,0.9047619
86,TravelTime_451.csv,1.266943264529349e-06,KMeans,0.4,2,KMeans,0.66666667,1.0
87,ec2_disk_write_bytes_c0d644.csv,2.515591461011541e-06,Linear,0.5,3,Linear,0.57142857,0.9047619
88,ec2_cpu_utilization_825cc2.csv,2.5811432944796158e-06,KMeans,0.66666667,4,KMeans,0.66666667,1.0
89,rogue_agent_key_hold.csv,2.6956346857715636e-06,Linear,0.003367,5,Linear,0.57142857,0.9047619
90,Pen-Based Recognition of Handwritten Text (Local),3.4521356038740296e-06,KMeans,0.52631579,6,KMeans,0.66666667,1.0
91,rds_cpu_utilization_cc0c53.csv,4.0035552400144296e-06,Gaussian,1.0,7,KMeans,0.66666667,1.0
92,ec2_network_in_5abac7.csv,4.009709557915321e-06,Linear,0.66666667,8,Linear,0.57142857,0.9047619
93,occupancy_6005.csv,5.093423237806225e-06,Linear,1.0,9,Linear,0.57142857,0.9047619
94,art_load_balancer_spikes.csv,5.326597700966841e-06,KMeans,0.25,10,Linear,0.57142857,0.9047619
95,,,,,,,,
96,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
97,ec2_disk_write_bytes_c0d644.csv,1.5472641790289197e-05,Linear,0.5,1,Linear,0.4,0.65
98,Landsat Satellite,0.00026965972299006387,Linear,0.71794872,2,Linear,0.4,0.65
99,exchange-4_cpm_results.csv,0.00027036587468160585,KMeans,0.75,3,Linear,0.4,0.65
100,grok_asg_anomaly.csv,0.0003177582300184635,KMeans,0.5,4,KMeans,0.75,1.0
101,rogue_agent_key_hold.csv,0.0005166769053474316,Linear,0.003367,5,Linear,0.4,0.65
102,Statlog Shuttle,0.0005287134447644622,KMeans,0.96766744,6,KMeans,0.75,1.0
103,nyc_taxi.csv,0.0005681359640208625,Linear,0.25,7,Linear,0.4,0.65
104,TravelTime_387.csv,0.0006280311554743392,KMeans,0.66666667,8,KMeans,0.75,1.0
105,exchange-2_cpm_results.csv,0.0006350450309310521,KMeans,0.8,9,KMeans,0.75,1.0
106,exchange-3_cpc_results.csv,0.0006880667940762167,Linear,0.57142857,10,KMeans,0.75,1.0
107,,,,,,,,
108,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
109,Twitter_volume_CVS.csv,8.862129734264236e-06,Linear,0.66666667,1,Linear,0.125,0.45833333
110,Twitter_volume_CRM.csv,3.457881835969463e-05,KMeans,0.54545455,2,KMeans,0.66666667,1.0
111,art_daily_nojump.csv,4.843187938598833e-05,KMeans,0.00152207,3,KMeans,0.66666667,1.0
112,art_daily_jumpsdown.csv,5.20849496188679e-05,KMeans,0.03030303,4,KMeans,0.66666667,1.0
113,art_daily_jumpsup.csv,5.20849496188679e-05,KMeans,0.22222222,5,KMeans,0.66666667,1.0
114,Twitter_volume_KO.csv,5.487675105874876e-05,Linear,0.8,6,KMeans,0.66666667,1.0
115,ec2_network_in_257a54.csv,5.574266781104009e-05,KMeans,0.5,7,KMeans,0.66666667,1.0
116,ec2_cpu_utilization_ac20cd.csv,7.028299948513839e-05,KMeans,0.66666667,8,KMeans,0.66666667,1.0
117,ec2_disk_write_bytes_1ef3de.csv,0.0001055714200340254,Linear,0.08695652,9,KMeans,0.66666667,1.0
118,ec2_cpu_utilization_77c1ca.csv,0.00011711526886134822,KMeans,0.03921569,10,KMeans,0.66666667,1.0
119,,,,,,,,
120,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
121,art_daily_jumpsdown.csv,3.222259730176376e-06,KMeans,0.03030303,1,KMeans,0.5,1.0
122,art_daily_jumpsup.csv,3.222259730176376e-06,KMeans,0.22222222,2,KMeans,0.5,1.0
123,art_daily_nojump.csv,6.439226051830043e-06,KMeans,0.00152207,3,KMeans,0.5,1.0
124,ec2_network_in_5abac7.csv,9.921175708800783e-06,Linear,0.66666667,4,KMeans,0.5,1.0
125,ec2_cpu_utilization_ac20cd.csv,1.2826932964735051e-05,KMeans,0.66666667,5,KMeans,0.5,1.0
126,Twitter_volume_PFE.csv,3.335375439266408e-05,KMeans,0.42857143,6,KMeans,0.5,1.0
127,rds_cpu_utilization_cc0c53.csv,4.314772855446708e-05,Gaussian,1.0,7,KMeans,0.5,1.0
128,ec2_cpu_utilization_77c1ca.csv,5.986722144852522e-05,KMeans,0.03921569,8,KMeans,0.5,1.0
129,ec2_disk_write_bytes_1ef3de.csv,9.529598122971598e-05,Linear,0.08695652,9,KMeans,0.5,1.0
130,speed_t4013.csv,0.00011714705690262861,Linear,1.0,10,KMeans,0.5,1.0
131,,,,,,,,
132,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
133,art_daily_flatmiddle.csv,9.514520853249302e-06,KMeans,0.02,1,KMeans,0.75,1.0
134,Twitter_volume_UPS.csv,1.2377809486130558e-05,Linear,0.28571429,2,KMeans,0.75,1.0
135,cpu_utilization_asg_misconfiguration.csv,1.529914033695067e-05,KMeans,0.00775194,3,KMeans,0.75,1.0
136,Twitter_volume_AAPL.csv,2.2461231092073117e-05,Linear,0.4,4,KMeans,0.75,1.0
137,Twitter_volume_AMZN.csv,2.5155120359103413e-05,KMeans,0.66666667,5,KMeans,0.75,1.0
138,ec2_disk_write_bytes_1ef3de.csv,2.8191799545105587e-05,Linear,0.08695652,6,KMeans,0.75,1.0
139,ec2_cpu_utilization_fe7f93.csv,2.8836231483531785e-05,Linear,0.5,7,Linear,0.66666667,0.91666667
140,ec2_request_latency_system_failure.csv,2.911009690638046e-05,KMeans,0.66666667,8,KMeans,0.75,1.0
141,art_load_balancer_spikes.csv,2.9205518589853578e-05,KMeans,0.25,9,KMeans,0.75,1.0
142,machine_temperature_system_failure.csv,3.176501919041715e-05,Linear,0.4,10,KMeans,0.75,1.0
143,,,,,,,,
144,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
