,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Statlog Shuttle,0.21005679196310345,KMeans,0.96766744,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.2724199354904407,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,speed_7578.csv,0.5104526615280469,KMeans,0.75,3,KMeans,0.83333333,1.0
4,exchange-4_cpm_results.csv,0.5266879760225905,KMeans,0.75,4,KMeans,0.83333333,1.0
5,exchange-3_cpc_results.csv,0.5482420998648778,Linear,0.57142857,5,KMeans,0.83333333,1.0
6,exchange-2_cpm_results.csv,0.5482860857110311,KMeans,0.8,6,KMeans,0.83333333,1.0
7,TravelTime_387.csv,0.5503644088047084,KMeans,0.66666667,7,KMeans,0.83333333,1.0
8,exchange-4_cpc_results.csv,0.5505248844803703,Linear,0.66666667,8,KMeans,0.83333333,1.0
9,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5627026076391534,KMeans,0.5,9,KMeans,0.83333333,1.0
10,ec2_request_latency_system_failure.csv,0.5659599768146194,KMeans,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text (Local),0.02190504260879112,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
14,rogue_agent_key_hold.csv,0.04737811596107545,Linear,0.003367,2,KMeans,0.38537271,0.4468761299999999
15,rogue_agent_key_updown.csv,0.07565460982454844,Gaussian,0.00083455,3,Gaussian,0.17305478,0.23455819999999994
16,ec2_disk_write_bytes_c0d644.csv,0.0821323057248567,Linear,0.5,4,Linear,0.92639843,0.98790185
17,grok_asg_anomaly.csv,0.10213201574861927,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
18,exchange-2_cpm_results.csv,0.11294127600550197,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
19,TravelTime_387.csv,0.11301592199803008,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,nyc_taxi.csv,0.1189074777171487,Linear,0.25,8,KMeans,0.38537271,0.4468761299999999
21,exchange-4_cpc_results.csv,0.12357146205190755,Linear,0.66666667,9,KMeans,0.38537271,0.4468761299999999
22,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.12797712572421904,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,KDD-Cup99 HTTP,0.02190504260879112,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
26,rogue_agent_key_hold.csv,0.025473073352284326,Linear,0.003367,2,Linear,0.02505219,0.4987364000000001
27,ec2_disk_write_bytes_c0d644.csv,0.06022726311606559,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
28,grok_asg_anomaly.csv,0.08022697313982814,KMeans,0.5,4,Linear,0.02505219,0.4987364000000001
29,rogue_agent_key_updown.csv,0.08352849028184135,Gaussian,0.00083455,5,Linear,0.02505219,0.4987364000000001
30,TravelTime_387.csv,0.09147245193615933,KMeans,0.66666667,6,KMeans,0.52631579,1.0
31,exchange-2_cpm_results.csv,0.09154663676421722,KMeans,0.8,7,KMeans,0.52631579,1.0
