,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Statlog Shuttle,0.08747856237916163,KMeans,0.96766744,1,KMeans,0.83333333,1.0
2,Thyroid Disease,0.08856476148954007,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Landsat Satellite,0.27224777199952954,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,rogue_agent_key_updown.csv,0.3465644279665458,Gaussian,0.00083455,4,KMeans,0.83333333,1.0
5,KDD-Cup99 HTTP,0.4222190377910943,RPCA,0.93849658,5,KMeans,0.83333333,1.0
6,rogue_agent_key_hold.csv,0.4287207670706472,Linear,0.003367,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text (Local),0.4300929182483872,KMeans,0.52631579,7,KMeans,0.83333333,1.0
8,ec2_disk_write_bytes_c0d644.csv,0.4641567765269085,Linear,0.5,8,KMeans,0.83333333,1.0
9,speed_7578.csv,0.4804868889800328,KMeans,0.75,9,KMeans,0.83333333,1.0
10,grok_asg_anomaly.csv,0.4920115523929883,KMeans,0.5,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,rogue_agent_key_hold.csv,0.006501729279552865,Linear,0.003367,1,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text (Local),0.00787388045729287,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999
15,ec2_disk_write_bytes_c0d644.csv,0.04193773873581419,Linear,0.5,3,Linear,0.92639843,0.98790185
16,speed_7578.csv,0.058267851188938485,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,grok_asg_anomaly.csv,0.06979251460189403,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
18,rogue_agent_key_updown.csv,0.07565460982454852,Gaussian,0.00083455,6,KMeans,0.38537271,0.4468761299999999
19,nyc_taxi.csv,0.08330396935461885,Linear,0.25,7,KMeans,0.38537271,0.4468761299999999
20,exchange-4_cpm_results.csv,0.11227015667063062,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
21,exchange-3_cpc_results.csv,0.12282728379613081,Linear,0.57142857,9,KMeans,0.38537271,0.4468761299999999
22,exchange-4_cpc_results.csv,0.12901493913080325,Linear,0.66666667,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
25,rogue_agent_key_hold.csv,0.0013721511777400053,Linear,0.003367,1,Linear,0.02505219,0.4987364000000001
26,KDD-Cup99 HTTP,0.00787388045729287,RPCA,0.93849658,2,Linear,0.02505219,0.4987364000000001
27,ec2_disk_write_bytes_c0d644.csv,0.03406385827852132,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
28,speed_7578.csv,0.050393970731645615,KMeans,0.75,4,Linear,0.02505219,0.4987364000000001
29,grok_asg_anomaly.csv,0.061918634144601165,KMeans,0.5,5,KMeans,0.52631579,1.0
30,nyc_taxi.csv,0.07543008889732598,Linear,0.25,6,Linear,0.02505219,0.4987364000000001
31,rogue_agent_key_updown.csv,0.0835284902818414,Gaussian,0.00083455,7,Linear,0.02505219,0.4987364000000001
32,exchange-4_cpm_results.csv,0.10439627621333775,KMeans,0.75,8,KMeans,0.52631579,1.0
33,exchange-3_cpc_results.csv,0.11495340333883794,Linear,0.57142857,9,Linear,0.02505219,0.4987364000000001
34,exchange-4_cpc_results.csv,0.12114105867351037,Linear,0.66666667,10,Linear,0.02505219,0.4987364000000001
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,0.08856476148954007,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,Statlog Shuttle,0.1760433238687017,KMeans,0.96766744,2,KMeans,0.22317597,1.0
39,Landsat Satellite,0.3608125334890696,Linear,0.71794872,3,KMeans,0.22317597,1.0
40,rogue_agent_key_updown.csv,0.43512918945608586,Gaussian,0.00083455,4,KMeans,0.22317597,1.0
41,Speech Accent Data,0.4414342927194389,Linear,0.11764706,5,KMeans,0.22317597,1.0
42,KDD-Cup99 HTTP,0.5107837992806343,RPCA,0.93849658,6,KMeans,0.22317597,1.0
43,rogue_agent_key_hold.csv,0.5172855285601873,Linear,0.003367,7,Linear,0.19112628,0.96795031
44,Pen-Based Recognition of Handwritten Text (Local),0.5186576797379272,KMeans,0.52631579,8,KMeans,0.22317597,1.0
45,ec2_disk_write_bytes_c0d644.csv,0.5527215380164485,Linear,0.5,9,Linear,0.19112628,0.96795031
46,speed_7578.csv,0.5690516504695728,KMeans,0.75,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
49,Breast Cancer Diagnostic,0.08747856237916163,KMeans,0.83333333,1,KMeans,0.96766744,1.0
50,Thyroid Disease,0.1760433238687017,KMeans,0.22317597,2,KMeans,0.96766744,1.0
51,Landsat Satellite,0.1847692096203679,Linear,0.71794872,3,KMeans,0.96766744,1.0
52,rogue_agent_key_updown.csv,0.25908586558738417,Gaussian,0.00083455,4,KMeans,0.96766744,1.0
53,KDD-Cup99 HTTP,0.3347404754119327,RPCA,0.93849658,5,KMeans,0.96766744,1.0
54,rogue_agent_key_hold.csv,0.3412422046914856,Linear,0.003367,6,KMeans,0.96766744,1.0
55,Pen-Based Recognition of Handwritten Text (Local),0.34261435586922556,KMeans,0.52631579,7,KMeans,0.96766744,1.0
56,ec2_disk_write_bytes_c0d644.csv,0.3766782141477469,Linear,0.5,8,KMeans,0.96766744,1.0
57,speed_7578.csv,0.39300832660087115,KMeans,0.75,9,KMeans,0.96766744,1.0
58,grok_asg_anomaly.csv,0.4045329900138267,KMeans,0.5,10,KMeans,0.96766744,1.0
59,,,,,,,,
60,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
61,rogue_agent_key_updown.csv,0.07431665596701625,Gaussian,0.00083455,1,Gaussian,0.63716814,0.91921942
62,KDD-Cup99 HTTP,0.14997126579156478,RPCA,0.93849658,2,Gaussian,0.63716814,0.91921942
63,rogue_agent_key_hold.csv,0.15647299507111764,Linear,0.003367,3,Gaussian,0.63716814,0.91921942
64,Pen-Based Recognition of Handwritten Text (Local),0.15784514624885765,KMeans,0.52631579,4,Gaussian,0.63716814,0.91921942
65,Statlog Shuttle,0.1847692096203679,KMeans,0.96766744,5,KMeans,0.65517241,0.93722369
66,ec2_disk_write_bytes_c0d644.csv,0.19190900452737897,Linear,0.5,6,KMeans,0.65517241,0.93722369
67,speed_7578.csv,0.20823911698050326,KMeans,0.75,7,KMeans,0.65517241,0.93722369
68,grok_asg_anomaly.csv,0.2197637803934588,KMeans,0.5,8,KMeans,0.65517241,0.93722369
69,nyc_taxi.csv,0.23327523514618365,Linear,0.25,9,KMeans,0.65517241,0.93722369
70,exchange-4_cpm_results.csv,0.2622414224621954,KMeans,0.75,10,KMeans,0.65517241,0.93722369
71,,,,,,,,
