,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,4.2461317e+20,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Statlog Shuttle,9.29435e+20,KMeans,0.96766744,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,1.1269584e+21,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,1.2372355e+21,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,ec2_cpu_utilization_c6585a.csv,1.3910554e+21,Linear,0.0,5,Linear,0.63157895,0.79824562,0.0
6,cpu_utilization_asg_misconfiguration.csv,1.3949497e+21,KMeans,0.00775194,6,Linear,0.63157895,0.79824562,0.0
7,Twitter_volume_IBM.csv,1.3954723e+21,Linear,0.5,7,Linear,0.63157895,0.79824562,0.0
8,Twitter_volume_FB.csv,1.3954889e+21,Linear,1.0,8,Linear,0.63157895,0.79824562,0.0
9,machine_temperature_system_failure.csv,1.3972134e+21,Linear,0.4,9,Linear,0.63157895,0.79824562,0.0
10,Twitter_volume_CRM.csv,1.3976396e+21,KMeans,0.54545455,10,Linear,0.63157895,0.79824562,0.0
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Object Images,1.1166323e+20,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
14,Thyroid Disease,1.1363394e+21,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
15,Statlog Shuttle,1.242385e+21,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.1
16,Speech Accent Data,1.4399083e+21,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.1
17,Landsat Satellite,1.5501854e+21,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.1
18,ec2_cpu_utilization_c6585a.csv,1.7040053e+21,Linear,0.0,6,Linear,0.63157895,0.79824562,0.1
19,cpu_utilization_asg_misconfiguration.csv,1.7078997e+21,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.1
20,Twitter_volume_IBM.csv,1.7084222e+21,Linear,0.5,8,Linear,0.63157895,0.79824562,0.1
21,Twitter_volume_FB.csv,1.7084388e+21,Linear,1.0,9,Linear,0.63157895,0.79824562,0.1
22,machine_temperature_system_failure.csv,1.7101634e+21,Linear,0.4,10,Linear,0.63157895,0.79824562,0.1
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Thyroid Disease,3.4293645e+20,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.2
26,Object Images,6.817397e+20,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.2
27,Statlog Shuttle,2.0357879e+21,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.2
28,Speech Accent Data,2.2333113e+21,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.2
29,Landsat Satellite,2.3435884e+21,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.2
30,ec2_cpu_utilization_c6585a.csv,2.497408e+21,Linear,0.0,6,Linear,0.63157895,0.79824562,0.2
31,cpu_utilization_asg_misconfiguration.csv,2.5013026e+21,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.2
32,Twitter_volume_IBM.csv,2.501825e+21,Linear,0.5,8,Linear,0.63157895,0.79824562,0.2
33,Twitter_volume_FB.csv,2.501842e+21,Linear,1.0,9,Linear,0.63157895,0.79824562,0.2
34,machine_temperature_system_failure.csv,2.5035662e+21,Linear,0.4,10,Linear,0.63157895,0.79824562,0.2
35,,,,,,,,,
36,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
37,Thyroid Disease,1.4487126e+21,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.30000000000000004
38,Object Images,2.4733887e+21,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.30000000000000004
39,Statlog Shuttle,3.827437e+21,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.30000000000000004
40,Speech Accent Data,4.0249604e+21,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.30000000000000004
41,Landsat Satellite,4.1352373e+21,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.30000000000000004
42,ec2_cpu_utilization_c6585a.csv,4.2890571e+21,Linear,0.0,6,Linear,0.63157895,0.79824562,0.30000000000000004
43,cpu_utilization_asg_misconfiguration.csv,4.2929516e+21,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.30000000000000004
44,Twitter_volume_IBM.csv,4.293474e+21,Linear,0.5,8,Linear,0.63157895,0.79824562,0.30000000000000004
45,Twitter_volume_FB.csv,4.293491e+21,Linear,1.0,9,Linear,0.63157895,0.79824562,0.30000000000000004
46,machine_temperature_system_failure.csv,4.2952153e+21,Linear,0.4,10,Linear,0.63157895,0.79824562,0.30000000000000004
47,,,,,,,,,
48,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
49,Letter Recognition,1.7015573e+21,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.4
