,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Letter Recognition,1.8179261912294562,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.2
2,Speech Accent Data,3.9883974597252374,Linear,0.11764706,2,KMeans,0.83333333,1.0,0.2
3,Pen-Based Recognition of Handwritten Text (Local),4.301338997253509,KMeans,0.52631579,3,KMeans,0.83333333,1.0,0.2
4,KDD-Cup99 HTTP,4.5094057581614235,RPCA,0.93849658,4,KMeans,0.83333333,1.0,0.2
5,Pen-Based Recognition of Handwritten Text,4.601985817107826,KMeans,0.88648649,5,KMeans,0.83333333,1.0,0.2
6,speed_7578.csv,5.3333657839555215,KMeans,0.75,6,KMeans,0.83333333,1.0,0.2
7,speed_t4013.csv,5.3902110152852485,Linear,1.0,7,KMeans,0.83333333,1.0,0.2
8,speed_6005.csv,5.398875448022138,Linear,0.66666667,8,KMeans,0.83333333,1.0,0.2
9,Twitter_volume_UPS.csv,5.4007177519307135,Linear,0.28571429,9,KMeans,0.83333333,1.0,0.2
10,Twitter_volume_AMZN.csv,5.402076521863051,KMeans,0.66666667,10,KMeans,0.83333333,1.0,0.2
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Letter Recognition,1.9862955959756892,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.30000000000000004
14,Pen-Based Recognition of Handwritten Text,4.349061665875706,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.30000000000000004
15,Speech Accent Data,4.984201694794041,Linear,0.11764706,3,KMeans,0.83333333,1.0,0.30000000000000004
16,KDD-Cup99 HTTP,5.231152927332796,RPCA,0.93849658,4,KMeans,0.83333333,1.0,0.30000000000000004
17,Pen-Based Recognition of Handwritten Text (Local),5.321293991607815,KMeans,0.52631579,5,KMeans,0.83333333,1.0,0.30000000000000004
18,speed_7578.csv,5.709014549889248,KMeans,0.75,6,KMeans,0.83333333,1.0,0.30000000000000004
19,speed_t4013.csv,5.776314299608654,Linear,1.0,7,KMeans,0.83333333,1.0,0.30000000000000004
20,speed_6005.csv,5.786464151738394,Linear,0.66666667,8,KMeans,0.83333333,1.0,0.30000000000000004
21,Twitter_volume_UPS.csv,5.788618945525232,Linear,0.28571429,9,KMeans,0.83333333,1.0,0.30000000000000004
22,Twitter_volume_AMZN.csv,5.790207447164495,KMeans,0.66666667,10,KMeans,0.83333333,1.0,0.30000000000000004
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Letter Recognition,3.1647591228496563,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.4
26,Pen-Based Recognition of Handwritten Text,4.46657434355154,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.4
27,KDD-Cup99 HTTP,6.671640100664599,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.4
28,speed_7578.csv,6.689014627506304,KMeans,0.75,4,KMeans,0.83333333,1.0,0.4
29,Speech Accent Data,6.729756456003987,Linear,0.11764706,5,KMeans,0.83333333,1.0,0.4
30,speed_t4013.csv,6.767500331451087,Linear,1.0,6,KMeans,0.83333333,1.0,0.4
31,speed_6005.csv,6.779219114476014,Linear,0.66666667,7,KMeans,0.83333333,1.0,0.4
32,Twitter_volume_UPS.csv,6.781703307095513,Linear,0.28571429,8,Linear,0.63157895,0.79824562,0.4
33,Twitter_volume_AMZN.csv,6.7835338245972485,KMeans,0.66666667,9,KMeans,0.83333333,1.0,0.4
34,Twitter_volume_GOOG.csv,6.78353910118672,Linear,0.4,10,Linear,0.63157895,0.79824562,0.4
35,,,,,,,,,
36,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
37,Letter Recognition,5.981318520104755,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.5
38,Pen-Based Recognition of Handwritten Text,6.074585610799979,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.5
39,speed_7578.csv,9.007937147270102,KMeans,0.75,3,KMeans,0.83333333,1.0,0.5
40,speed_t4013.csv,9.09365978084086,Linear,1.0,4,KMeans,0.83333333,1.0,0.5
41,speed_6005.csv,9.106362214449987,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.5
42,Twitter_volume_UPS.csv,9.109051886453317,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.5
43,Twitter_volume_AMZN.csv,9.111033141626812,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.5
44,Twitter_volume_GOOG.csv,9.111038851904471,Linear,0.4,8,KMeans,0.83333333,1.0,0.5
45,Twitter_volume_CVS.csv,9.111044244952515,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.5
46,Twitter_volume_PFE.csv,9.111046782860177,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.5
47,,,,,,,,,
48,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
49,Pen-Based Recognition of Handwritten Text,10.768513639205961,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.6000000000000001
