,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,27237470459.19081,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Statlog Shuttle,59636272043.93466,KMeans,0.96766744,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,72308761475.1031,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,79385331351.13011,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,ec2_cpu_utilization_c6585a.csv,89248840540.3004,Linear,0.0,5,Linear,0.63157895,0.79824562,0.0
6,cpu_utilization_asg_misconfiguration.csv,89498707660.10397,KMeans,0.00775194,6,Linear,0.63157895,0.79824562,0.0
7,Twitter_volume_IBM.csv,89534774522.56773,Linear,0.5,7,Linear,0.63157895,0.79824562,0.0
8,Twitter_volume_FB.csv,89535842833.25362,Linear,1.0,8,Linear,0.63157895,0.79824562,0.0
9,machine_temperature_system_failure.csv,89643953967.11972,Linear,0.4,9,Linear,0.63157895,0.79824562,0.0
10,Twitter_volume_CRM.csv,89673803349.90195,KMeans,0.54545455,10,Linear,0.63157895,0.79824562,0.0
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Object Images,225809591.7115383,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
14,Thyroid Disease,2335585189.583494,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
15,Statlog Shuttle,2560711087.0178156,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.1
16,Speech Accent Data,2966628878.044853,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.1
17,Landsat Satellite,3194273421.3497562,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.1
18,ec2_cpu_utilization_c6585a.csv,3511283510.331098,Linear,0.0,6,Linear,0.63157895,0.79824562,0.1
19,cpu_utilization_asg_misconfiguration.csv,3519301579.8156147,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.1
20,Twitter_volume_IBM.csv,3520487821.9933233,Linear,0.5,8,Linear,0.63157895,0.79824562,0.1
21,Twitter_volume_FB.csv,3520522100.3983755,Linear,1.0,9,Linear,0.63157895,0.79824562,0.1
22,machine_temperature_system_failure.csv,3523962398.4538116,Linear,0.4,10,Linear,0.63157895,0.79824562,0.1
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Thyroid Disease,4929.837040620092,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.2
26,Object Images,21507.22353617718,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.2
27,Statlog Shuttle,47476.570241294874,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.2
28,Speech Accent Data,49952.17160075551,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.2
29,Landsat Satellite,53169.30127844315,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.2
30,ec2_cpu_utilization_c6585a.csv,57820.4726246338,Linear,0.0,6,Linear,0.63157895,0.79824562,0.2
31,cpu_utilization_asg_misconfiguration.csv,57895.16464963206,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.2
