,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Letter Recognition,2.0777166793981277,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.0
2,Pen-Based Recognition of Handwritten Text,4.953519480963118,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.0
3,speed_7578.csv,9.992919234576926,KMeans,0.75,3,KMeans,0.83333333,1.0,0.0
4,speed_t4013.csv,10.154683344543036,Linear,1.0,4,KMeans,0.83333333,1.0,0.0
5,speed_6005.csv,10.178326991500395,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.0
6,Twitter_volume_UPS.csv,10.183323007139842,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.0
7,Twitter_volume_AMZN.csv,10.187000842362517,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.0
8,Twitter_volume_GOOG.csv,10.187011439614638,Linear,0.4,8,KMeans,0.83333333,1.0,0.0
9,Twitter_volume_CVS.csv,10.187021448130531,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.0
10,Twitter_volume_PFE.csv,10.187026158020364,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.0
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Letter Recognition,24.778127551101303,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.1
14,Pen-Based Recognition of Handwritten Text,27.653930352666293,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.1
15,speed_7578.csv,32.69333010628011,KMeans,0.75,3,KMeans,0.83333333,1.0,0.1
16,speed_t4013.csv,32.855094216246215,Linear,1.0,4,KMeans,0.83333333,1.0,0.1
17,speed_6005.csv,32.878737863203575,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.1
18,Twitter_volume_UPS.csv,32.88373387884302,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.1
19,Twitter_volume_AMZN.csv,32.88741171406569,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.1
20,Twitter_volume_GOOG.csv,32.88742231131782,Linear,0.4,8,KMeans,0.83333333,1.0,0.1
21,Twitter_volume_CVS.csv,32.887432319833714,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.1
22,Twitter_volume_PFE.csv,32.88743702972354,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.1
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Letter Recognition,74.71903146884829,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.2
26,Pen-Based Recognition of Handwritten Text,77.59483427041327,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.2
27,speed_7578.csv,82.6342340240271,KMeans,0.75,3,KMeans,0.83333333,1.0,0.2
28,speed_t4013.csv,82.79599813399321,Linear,1.0,4,KMeans,0.83333333,1.0,0.2
29,speed_6005.csv,82.81964178095056,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.2
30,Twitter_volume_UPS.csv,82.82463779659001,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.2
31,Twitter_volume_AMZN.csv,82.82831563181269,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.2
32,Twitter_volume_GOOG.csv,82.8283262290648,Linear,0.4,8,KMeans,0.83333333,1.0,0.2
33,Twitter_volume_CVS.csv,82.8283362375807,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.2
34,Twitter_volume_PFE.csv,82.82834094747054,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.2
35,,,,,,,,,
36,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
