,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,3440816.2864726298,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Statlog Shuttle,9959423.138115373,KMeans,0.96766744,2,Gaussian,0.73684211,0.90350878,0.0
3,Thyroid Disease,10420940.060714986,KMeans,0.22317597,3,KMeans,0.83333333,1.0,0.0
4,Speech Accent Data,13043815.468589794,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.0
5,Landsat Satellite,15148743.729353761,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.0
6,ec2_cpu_utilization_c6585a.csv,19117867.960000325,Linear,0.0,6,Linear,0.63157895,0.79824562,0.0
7,cpu_utilization_asg_misconfiguration.csv,19249665.364634562,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.0
8,Twitter_volume_IBM.csv,19267555.55385567,Linear,0.5,8,Linear,0.63157895,0.79824562,0.0
9,Twitter_volume_FB.csv,19268126.51734145,Linear,1.0,9,Linear,0.63157895,0.79824562,0.0
10,machine_temperature_system_failure.csv,19327518.614935197,Linear,0.4,10,Linear,0.63157895,0.79824562,0.0
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Object Images,864340.5736813694,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
14,Thyroid Disease,7844464.347923726,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
15,Statlog Shuttle,12535898.850906633,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.1
16,Speech Accent Data,15620291.181381054,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.1
17,Landsat Satellite,17725219.44214502,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.1
18,ec2_cpu_utilization_c6585a.csv,21694343.672791585,Linear,0.0,6,Linear,0.63157895,0.79824562,0.1
19,cpu_utilization_asg_misconfiguration.csv,21826141.077425823,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.1
20,Twitter_volume_IBM.csv,21844031.26664693,Linear,0.5,8,Linear,0.63157895,0.79824562,0.1
21,Twitter_volume_FB.csv,21844602.23013271,Linear,1.0,9,Linear,0.63157895,0.79824562,0.1
22,machine_temperature_system_failure.csv,21903994.327726454,Linear,0.4,10,Linear,0.63157895,0.79824562,0.1
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Thyroid Disease,2176217.779782951,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.2
26,Object Images,4803905.994459406,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.2
27,Statlog Shuttle,18204145.419047408,KMeans,0.96766744,3,KMeans,0.83333333,1.0,0.2
28,Speech Accent Data,21288537.74952183,Linear,0.11764706,4,KMeans,0.83333333,1.0,0.2
29,Landsat Satellite,23393466.010285795,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.2
30,ec2_cpu_utilization_c6585a.csv,27362590.24093236,Linear,0.0,6,Linear,0.63157895,0.79824562,0.2
31,cpu_utilization_asg_misconfiguration.csv,27494387.645566598,KMeans,0.00775194,7,KMeans,0.83333333,1.0,0.2
32,Twitter_volume_IBM.csv,27512277.834787704,Linear,0.5,8,Linear,0.63157895,0.79824562,0.2
