,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
1,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0
2,,,,,,,,
3,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
4,Landsat Satellite,0.0,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
5,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.3333333333333333,0.6664678733333332
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
