,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
1,Statlog Shuttle,0.43273389776210447,KMeans,0.96766744,1,KMeans,0.22317597,1.0
2,Landsat Satellite,0.6112093796858661,Linear,0.71794872,2,KMeans,0.22317597,1.0
3,,,,,,,,
4,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
5,Thyroid Disease,0.19680068607639967,KMeans,0.22317597,1,KMeans,0.96766744,1.0
6,Landsat Satellite,0.8144061305633864,Linear,0.71794872,2,KMeans,0.96766744,1.0
7,,,,,,,,
8,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
9,Statlog Shuttle,0.9653197262515689,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
10,Thyroid Disease,1.1735545677479424,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369
11,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6666666666666666,0.9790745633333334
0,,,,,2.0,,0.6666666666666666,0.9790745633333334
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
