,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
1,Landsat Satellite,4.343776268387677,Linear,0.71794872,1,Linear,0.19112628,0.96795031,0.0
2,Statlog Shuttle,4.627147566341975,KMeans,0.96766744,2,KMeans,0.22317597,1.0,0.0
3,,,,,,,,,
4,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
5,Landsat Satellite,4.448976541836108,Linear,0.71794872,1,Linear,0.19112628,0.96795031,0.1
6,Statlog Shuttle,4.694197972040001,KMeans,0.96766744,2,KMeans,0.22317597,1.0,0.1
7,,,,,,,,,
8,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
9,Landsat Satellite,4.690883953990758,Linear,0.71794872,1,Linear,0.19112628,0.96795031,0.2
10,Statlog Shuttle,4.856592900450321,KMeans,0.96766744,2,KMeans,0.22317597,1.0,0.2
11,,,,,,,,,
12,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
13,Landsat Satellite,5.156940204211017,Linear,0.71794872,1,Linear,0.19112628,0.96795031,0.30000000000000004
14,Statlog Shuttle,5.19501054866152,KMeans,0.96766744,2,KMeans,0.22317597,1.0,0.30000000000000004
15,,,,,,,,,
16,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
17,Statlog Shuttle,5.89420978594285,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.4
18,Landsat Satellite,6.033805322498229,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.4
19,,,,,,,,,
20,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
21,Statlog Shuttle,7.347035252447375,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.5
22,Landsat Satellite,7.69724786334752,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.5
23,,,,,,,,,
24,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
25,Statlog Shuttle,10.3337420881646,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.6000000000000001
26,Landsat Satellite,10.887672075049284,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.6000000000000001
27,,,,,,,,,
28,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
29,Statlog Shuttle,16.367654157785243,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.7000000000000001
30,Landsat Satellite,17.081082410022148,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.7000000000000001
31,,,,,,,,,
32,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
33,Statlog Shuttle,28.5265182616446,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.8
34,Landsat Satellite,29.34535429332974,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.8
35,,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
37,Statlog Shuttle,53.48612338385047,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.9
38,Landsat Satellite,54.36717463894532,Linear,0.71794872,2,KMeans,0.22317597,1.0,0.9
39,,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
41,Statlog Shuttle,106.40623025672788,KMeans,0.96766744,1,KMeans,0.22317597,1.0,1.0
42,Landsat Satellite,107.32137022493188,Linear,0.71794872,2,KMeans,0.22317597,1.0,1.0
43,,,,,,,,,
44,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
45,Landsat Satellite,3.7042020908000652,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.0
46,Thyroid Disease,106.40623025672788,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.0
47,,,,,,,,,
48,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
49,Landsat Satellite,3.7458127461857424,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.1
50,Thyroid Disease,106.43871599740288,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.1
51,,,,,,,,,
52,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
53,Landsat Satellite,3.844933436288276,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.2
54,Thyroid Disease,106.51048023446984,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.2
55,,,,,,,,,
56,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
57,Landsat Satellite,4.047439824072443,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.30000000000000004
58,Thyroid Disease,106.64067789385189,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.30000000000000004
59,,,,,,,,,
60,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
61,Landsat Satellite,4.460385509066181,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.4
62,Thyroid Disease,106.86945414671706,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.4
63,,,,,,,,,
64,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
65,Landsat Satellite,5.320774951967764,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.5
66,Thyroid Disease,107.27920673952617,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.5
67,,,,,,,,,
68,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
69,Landsat Satellite,7.122560038854539,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.6000000000000001
70,Thyroid Disease,108.04650232839619,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.6000000000000001
71,,,,,,,,,
72,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
73,Landsat Satellite,10.844262609359458,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.7000000000000001
74,Thyroid Disease,109.57860453223567,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.7000000000000001
75,,,,,,,,,
76,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
77,Landsat Satellite,18.456645098770874,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.8
78,Thyroid Disease,112.90882138307781,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.8
79,,,,,,,,,
80,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
81,Landsat Satellite,34.19029614270979,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,0.9
82,Thyroid Disease,120.93568913202552,KMeans,0.22317597,2,KMeans,0.96766744,1.0,0.9
83,,,,,,,,,
84,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
85,Landsat Satellite,67.62911950215175,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999,1.0
86,Thyroid Disease,142.28178537192122,KMeans,0.22317597,2,KMeans,0.96766744,1.0,1.0
87,,,,,,,,,
88,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
89,Statlog Shuttle,67.62911950215175,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.0
90,Thyroid Disease,107.32137022493188,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.0
91,,,,,,,,,
92,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
93,Statlog Shuttle,67.68254745770375,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.1
94,Thyroid Disease,107.44868175026109,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.1
95,,,,,,,,,
96,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
97,Statlog Shuttle,67.8012386831238,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.2
98,Thyroid Disease,107.72905437380992,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.2
99,,,,,,,,,
100,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
101,Statlog Shuttle,68.01884395407498,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.30000000000000004
102,Thyroid Disease,108.23471208354006,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.30000000000000004
103,,,,,,,,,
104,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
105,Statlog Shuttle,68.4079636113062,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.4
106,Thyroid Disease,109.11414567779367,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.4
107,,,,,,,,,
108,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
109,Statlog Shuttle,69.12466322008758,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.5
110,Thyroid Disease,110.66194943327957,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.5
111,,,,,,,,,
112,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
113,Statlog Shuttle,70.52534732388814,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.6000000000000001
114,Thyroid Disease,113.4749039929086,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.6000000000000001
115,,,,,,,,,
116,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
117,Statlog Shuttle,73.49486531750044,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.7000000000000001
118,Thyroid Disease,118.81078550568226,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.7000000000000001
119,,,,,,,,,
120,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
121,Statlog Shuttle,80.40671009103062,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.8
122,Thyroid Disease,129.4485064698317,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.8
123,,,,,,,,,
124,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
125,Statlog Shuttle,97.78012341913622,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,0.9
126,Thyroid Disease,151.81039858218648,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,0.9
127,,,,,,,,,
128,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1,
129,Statlog Shuttle,142.2547611405335,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369,1.0
130,Thyroid Disease,201.15730237878842,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369,1.0
131,,,,,,,,,
0,,,,,K,,Method match,Accuracy,
0,,,,,1.0,,2.3333333333333335,10.72490055,
0,,,,,2.0,,7.333333333333333,10.769820196666666,
0,,,,,3.0,,0.0,0.0,
0,,,,,4.0,,0.0,0.0,
0,,,,,5.0,,0.0,0.0,
0,,,,,6.0,,0.0,0.0,
0,,,,,7.0,,0.0,0.0,
0,,,,,8.0,,0.0,0.0,
0,,,,,9.0,,0.0,0.0,
0,,,,,10.0,,0.0,0.0,
