,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-2_cpc_results.csv,0.0051001906,KMeans,0.33333333,1,KMeans,1.0,1.0
2,exchange-4_cpm_results.csv,0.09582627,KMeans,0.75,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,0.12035212,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-3_cpc_results.csv,0.15936622,Linear,0.57142857,4,KMeans,1.0,1.0
5,exchange-4_cpc_results.csv,0.25823605,Linear,0.66666667,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-2_cpc_results.csv,0.04918179,KMeans,0.33333333,1,KMeans,0.75,1.0
9,exchange-4_cpm_results.csv,0.1494663,KMeans,0.75,2,KMeans,0.75,1.0
10,exchange-2_cpm_results.csv,0.15793478,KMeans,0.8,3,KMeans,0.75,1.0
11,exchange-3_cpc_results.csv,0.18319619,Linear,0.57142857,4,KMeans,0.75,1.0
12,exchange-4_cpc_results.csv,0.30296665,Linear,0.66666667,5,KMeans,0.75,1.0
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-2_cpc_results.csv,0.050070077,KMeans,0.33333333,1,KMeans,0.8,1.0
16,exchange-4_cpm_results.csv,0.1168623,KMeans,0.75,2,KMeans,0.8,1.0
17,exchange-2_cpm_results.csv,0.15862429,KMeans,0.8,3,KMeans,0.8,1.0
18,exchange-3_cpc_results.csv,0.18074203,Linear,0.57142857,4,KMeans,0.8,1.0
19,exchange-4_cpc_results.csv,0.2821948,Linear,0.66666667,5,KMeans,0.8,1.0
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-2_cpc_results.csv,0.0069096386,KMeans,0.33333333,1,KMeans,0.33333333,1.0
23,exchange-4_cpm_results.csv,0.048646003,KMeans,0.75,2,KMeans,0.33333333,1.0
24,exchange-2_cpm_results.csv,0.155617,KMeans,0.8,3,KMeans,0.33333333,1.0
25,exchange-3_cpc_results.csv,0.20104113,Linear,0.57142857,4,KMeans,0.33333333,1.0
26,exchange-4_cpc_results.csv,0.24674024,Linear,0.66666667,5,KMeans,0.33333333,1.0
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-2_cpc_results.csv,0.011142701,KMeans,0.33333333,1,KMeans,0.66666667,1.0
30,exchange-4_cpm_results.csv,0.1285961,KMeans,0.75,2,KMeans,0.66666667,1.0
31,exchange-2_cpm_results.csv,0.14256886,KMeans,0.8,3,KMeans,0.66666667,1.0
32,exchange-3_cpc_results.csv,0.18258515,Linear,0.57142857,4,KMeans,0.66666667,1.0
33,exchange-4_cpc_results.csv,0.29394487,Linear,0.66666667,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-2_cpc_results.csv,0.017579377,KMeans,0.33333333,1,KMeans,0.57142857,1.0
37,exchange-4_cpm_results.csv,0.080132455,KMeans,0.75,2,KMeans,0.57142857,1.0
38,exchange-2_cpm_results.csv,0.15774462,KMeans,0.8,3,KMeans,0.57142857,1.0
39,exchange-3_cpc_results.csv,0.20090058,Linear,0.57142857,4,KMeans,0.57142857,1.0
40,exchange-4_cpc_results.csv,0.25572783,Linear,0.66666667,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,1.0,1.0
0,,,,,2.0,,1.0,1.0
0,,,,,3.0,,1.0,1.0
0,,,,,4.0,,1.0,1.0
0,,,,,5.0,,1.0,1.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
