,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-3_cpc_results.csv,30.96099917199738,Linear,0.57142857,1,Linear,1.0,1.0
2,exchange-2_cpc_results.csv,38.039087468352434,KMeans,0.33333333,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,45.75147874712972,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-4_cpc_results.csv,66.67062842540875,Linear,0.66666667,4,KMeans,1.0,1.0
5,exchange-4_cpm_results.csv,80.75083176785,KMeans,0.75,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-4_cpc_results.csv,16.771821838352167,Linear,0.66666667,1,Linear,0.66666667,0.91666667
9,exchange-3_cpc_results.csv,51.65921529086084,Linear,0.57142857,2,Linear,0.66666667,0.91666667
10,exchange-2_cpm_results.csv,64.59493998340379,KMeans,0.8,3,Linear,0.66666667,0.91666667
11,exchange-2_cpc_results.csv,77.39268794319763,KMeans,0.33333333,4,KMeans,0.75,1.0
12,exchange-3_cpm_results.csv,80.75083176785,Linear,1.0,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-2_cpc_results.csv,20.381985665220906,KMeans,0.33333333,1,KMeans,0.8,1.0
16,exchange-3_cpm_results.csv,45.75147874712972,Linear,1.0,2,KMeans,0.8,1.0
17,exchange-3_cpc_results.csv,46.64812838782674,Linear,0.57142857,3,Linear,0.5,0.7
18,exchange-4_cpc_results.csv,56.01160387556312,Linear,0.66666667,4,Linear,0.5,0.7
19,exchange-4_cpm_results.csv,64.59493998340379,KMeans,0.75,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-2_cpm_results.csv,20.381985665220906,KMeans,0.8,1,KMeans,0.33333333,1.0
23,exchange-3_cpm_results.csv,38.039087468352434,Linear,1.0,2,KMeans,0.33333333,1.0
24,exchange-3_cpc_results.csv,56.51686975422744,Linear,0.57142857,3,Linear,0.06666667,0.73333334
25,exchange-4_cpc_results.csv,65.71669347842825,Linear,0.66666667,4,Linear,0.06666667,0.73333334
26,exchange-4_cpm_results.csv,77.39268794319763,KMeans,0.75,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-4_cpm_results.csv,16.771821838352167,KMeans,0.75,1,KMeans,0.66666667,1.0
30,exchange-3_cpc_results.csv,45.05826261966134,Linear,0.57142857,2,KMeans,0.66666667,1.0
31,exchange-2_cpm_results.csv,56.01160387556312,KMeans,0.8,3,KMeans,0.66666667,1.0
32,exchange-2_cpc_results.csv,65.71669347842825,KMeans,0.33333333,4,KMeans,0.66666667,1.0
33,exchange-3_cpm_results.csv,66.67062842540875,Linear,1.0,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpm_results.csv,30.96099917199738,Linear,1.0,1,Linear,0.57142857,1.0
37,exchange-4_cpc_results.csv,45.05826261966134,Linear,0.66666667,2,Linear,0.57142857,1.0
38,exchange-2_cpm_results.csv,46.64812838782674,KMeans,0.8,3,Linear,0.57142857,1.0
39,exchange-4_cpm_results.csv,51.65921529086084,KMeans,0.75,4,KMeans,0.57142857,1.0
40,exchange-2_cpc_results.csv,56.51686975422744,KMeans,0.33333333,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.8333333333333334,0.9861111116666667
0,,,,,2.0,,0.8333333333333334,0.9861111116666667
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.6666666666666666,0.9055555566666667
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
