,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-4_cpc_results.csv,1.545212360584749,Linear,0.66666667,1,Linear,1.0,1.0
2,exchange-2_cpc_results.csv,7.1629473925322795,KMeans,0.33333333,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,16.634122781137826,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-3_cpc_results.csv,18.57375967585929,Linear,0.57142857,4,KMeans,1.0,1.0
5,exchange-4_cpm_results.csv,22.051380809839312,KMeans,0.75,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-3_cpm_results.csv,17.583019263690638,Linear,1.0,1,Linear,0.66666667,0.91666667
9,exchange-4_cpc_results.csv,23.576055081562835,Linear,0.66666667,2,Linear,0.66666667,0.91666667
10,exchange-2_cpc_results.csv,27.474105558334475,KMeans,0.33333333,3,Linear,0.66666667,0.91666667
11,exchange-2_cpm_results.csv,40.94751779751042,KMeans,0.8,4,KMeans,0.75,1.0
12,exchange-3_cpc_results.csv,44.43076896991853,Linear,0.57142857,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-3_cpc_results.csv,3.5909560156093594,Linear,0.57142857,1,Linear,0.5,0.7
16,exchange-2_cpc_results.csv,13.767868108973495,KMeans,0.33333333,2,KMeans,0.8,1.0
17,exchange-4_cpc_results.csv,17.422232060215613,Linear,0.66666667,3,Linear,0.5,0.7
18,exchange-3_cpm_results.csv,23.898460097509485,Linear,1.0,4,Linear,0.5,0.7
19,exchange-4_cpm_results.csv,41.38904486560977,KMeans,0.75,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-4_cpc_results.csv,4.761927587115325,Linear,0.66666667,1,Linear,0.06666667,0.73333334
23,exchange-3_cpm_results.csv,6.20712084948207,Linear,1.0,2,Linear,0.06666667,0.73333334
24,exchange-2_cpm_results.csv,8.399646360235227,KMeans,0.8,3,Linear,0.06666667,0.73333334
25,exchange-3_cpc_results.csv,10.378751169944847,Linear,0.57142857,4,Linear,0.06666667,0.73333334
26,exchange-4_cpm_results.csv,21.02190135464067,KMeans,0.75,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-3_cpm_results.csv,0.9191937501526297,Linear,1.0,1,Linear,0.66666667,1.0
30,exchange-2_cpc_results.csv,12.884428299030368,KMeans,0.33333333,2,KMeans,0.66666667,1.0
31,exchange-2_cpm_results.csv,31.141378746470295,KMeans,0.8,3,KMeans,0.66666667,1.0
32,exchange-3_cpc_results.csv,35.2651597132696,Linear,0.57142857,4,KMeans,0.66666667,1.0
33,exchange-4_cpm_results.csv,36.41149640651025,KMeans,0.75,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-2_cpm_results.csv,2.446547986749963,KMeans,0.8,1,KMeans,0.57142857,1.0
37,exchange-2_cpc_results.csv,13.342255260210353,KMeans,0.33333333,2,KMeans,0.57142857,1.0
38,exchange-4_cpc_results.csv,20.29589967132332,Linear,0.66666667,3,KMeans,0.57142857,1.0
39,exchange-3_cpm_results.csv,21.035068084455776,Linear,1.0,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,41.750759722307436,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.8916666683333333
0,,,,,2.0,,0.6666666666666666,0.9416666683333333
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.6666666666666666,0.9055555566666667
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
