,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0
2,,,,,,,,
3,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
4,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0
5,,,,,,,,
6,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
7,exchange-2_cpc_results.csv,0.0,KMeans,0.33333333,1,KMeans,0.8,1.0
8,,,,,,,,
9,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
10,exchange-2_cpc_results.csv,0.0,KMeans,0.33333333,1,KMeans,0.33333333,1.0
11,,,,,,,,
12,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
13,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.66666667,1.0
14,,,,,,,,
15,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
16,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,0.57142857,1.0
17,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,1.0,1.0
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
