,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-4_cpc_results.csv,0.34553019976961785,Linear,0.66666667,1,Linear,1.0,1.0
2,exchange-2_cpc_results.csv,4.7802843838383815,KMeans,0.33333333,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,12.331526340669866,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-4_cpm_results.csv,13.655319064681978,KMeans,0.75,4,KMeans,1.0,1.0
5,exchange-3_cpc_results.csv,14.112702645187166,Linear,0.57142857,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-3_cpm_results.csv,17.992184658763964,Linear,1.0,1,Linear,0.66666667,0.91666667
9,exchange-4_cpc_results.csv,19.03143880794999,Linear,0.66666667,2,Linear,0.66666667,0.91666667
10,exchange-2_cpc_results.csv,25.61506686096795,KMeans,0.33333333,3,Linear,0.66666667,0.91666667
11,exchange-2_cpm_results.csv,35.70160386918742,KMeans,0.8,4,KMeans,0.75,1.0
12,exchange-3_cpc_results.csv,38.14947356977123,Linear,0.57142857,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-3_cpc_results.csv,1.2067101637178002,Linear,0.57142857,1,Linear,0.5,0.7
16,exchange-2_cpc_results.csv,4.806529067201446,KMeans,0.33333333,2,KMeans,0.8,1.0
17,exchange-4_cpc_results.csv,8.387211788289566,Linear,0.66666667,3,Linear,0.5,0.7
18,exchange-3_cpm_results.csv,8.581306306460652,Linear,1.0,4,Linear,0.5,0.7
19,exchange-4_cpm_results.csv,17.98710098806789,KMeans,0.75,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-3_cpm_results.csv,4.4670822126440495,Linear,1.0,1,Linear,0.06666667,0.73333334
23,exchange-4_cpc_results.csv,4.707649934695466,Linear,0.66666667,2,Linear,0.06666667,0.73333334
24,exchange-2_cpm_results.csv,6.961122484312279,KMeans,0.8,3,Linear,0.06666667,0.73333334
25,exchange-3_cpc_results.csv,8.57266980135788,Linear,0.57142857,4,Linear,0.06666667,0.73333334
26,exchange-4_cpm_results.csv,17.977061449130886,KMeans,0.75,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-3_cpm_results.csv,0.3081602774097263,Linear,1.0,1,Linear,0.66666667,1.0
30,exchange-2_cpc_results.csv,11.565534679791977,KMeans,0.33333333,2,KMeans,0.66666667,1.0
31,exchange-2_cpm_results.csv,27.22789390456623,KMeans,0.8,3,KMeans,0.66666667,1.0
32,exchange-4_cpm_results.csv,30.250189886950324,KMeans,0.75,4,KMeans,0.66666667,1.0
33,exchange-3_cpc_results.csv,30.870800903545373,Linear,0.57142857,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-2_cpm_results.csv,1.1768118015230546,KMeans,0.8,1,KMeans,0.57142857,1.0
37,exchange-2_cpc_results.csv,6.134651205421946,KMeans,0.33333333,2,KMeans,0.57142857,1.0
38,exchange-3_cpm_results.csv,10.421466082995622,Linear,1.0,3,KMeans,0.57142857,1.0
39,exchange-4_cpc_results.csv,10.700752891211613,Linear,0.66666667,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,21.147531338378933,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.8916666683333333
0,,,,,2.0,,0.6666666666666666,0.9416666683333333
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.6666666666666666,0.9055555566666667
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
