,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-3_cpc_results.csv,0.05116584,Linear,0.57142857,1,Linear,1.0,1.0
2,exchange-4_cpc_results.csv,0.26094276,Linear,0.66666667,2,Linear,1.0,1.0
3,exchange-2_cpm_results.csv,0.43407363,KMeans,0.8,3,Linear,1.0,1.0
4,exchange-2_cpc_results.csv,0.4852239,KMeans,0.33333333,4,KMeans,1.0,1.0
5,exchange-4_cpm_results.csv,0.5968684,KMeans,0.75,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-3_cpc_results.csv,0.057972156,Linear,0.57142857,1,Linear,0.66666667,0.91666667
9,exchange-4_cpc_results.csv,0.2759897,Linear,0.66666667,2,Linear,0.66666667,0.91666667
10,exchange-2_cpm_results.csv,0.43166178,KMeans,0.8,3,Linear,0.66666667,0.91666667
11,exchange-2_cpc_results.csv,0.5146002,KMeans,0.33333333,4,KMeans,0.75,1.0
12,exchange-4_cpm_results.csv,0.64032423,KMeans,0.75,5,KMeans,0.75,1.0
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-3_cpc_results.csv,0.04945831,Linear,0.57142857,1,Linear,0.5,0.7
16,exchange-4_cpc_results.csv,0.23464435,Linear,0.66666667,2,Linear,0.5,0.7
17,exchange-2_cpm_results.csv,0.429543,KMeans,0.8,3,Linear,0.5,0.7
18,exchange-2_cpc_results.csv,0.48573712,KMeans,0.33333333,4,KMeans,0.8,1.0
19,exchange-4_cpm_results.csv,0.5723834,KMeans,0.75,5,KMeans,0.8,1.0
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-3_cpc_results.csv,0.042488612,Linear,0.57142857,1,Linear,0.06666667,0.73333334
23,exchange-4_cpc_results.csv,0.30448097,Linear,0.66666667,2,Linear,0.06666667,0.73333334
24,exchange-2_cpm_results.csv,0.48112565,KMeans,0.8,3,Linear,0.06666667,0.73333334
25,exchange-2_cpc_results.csv,0.5194282,KMeans,0.33333333,4,KMeans,0.33333333,1.0
26,exchange-4_cpm_results.csv,0.6873048,KMeans,0.75,5,KMeans,0.33333333,1.0
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-3_cpc_results.csv,0.040774003,Linear,0.57142857,1,Linear,0.66666667,1.0
30,exchange-4_cpc_results.csv,0.22778945,Linear,0.66666667,2,Linear,0.66666667,1.0
31,exchange-2_cpm_results.csv,0.4798851,KMeans,0.8,3,Linear,0.66666667,1.0
32,exchange-2_cpc_results.csv,0.5005215,KMeans,0.33333333,4,KMeans,0.66666667,1.0
33,exchange-4_cpm_results.csv,0.54648,KMeans,0.75,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpc_results.csv,0.05522073,Linear,0.57142857,1,Linear,0.57142857,1.0
37,exchange-4_cpc_results.csv,0.25554812,Linear,0.66666667,2,Linear,0.57142857,1.0
38,exchange-2_cpm_results.csv,0.40179878,KMeans,0.8,3,Linear,0.57142857,1.0
39,exchange-2_cpc_results.csv,0.46780163,KMeans,0.33333333,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,0.59328437,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.8916666683333333
0,,,,,2.0,,0.5,0.8916666683333333
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,1.0,1.0
0,,,,,5.0,,1.0,1.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
