,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-3_cpc_results.csv,0.9345757172349974,Linear,0.57142857,1,Linear,1.0,1.0
2,exchange-2_cpc_results.csv,1.6798778741377918,KMeans,0.33333333,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,2.5469538067708335,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-4_cpc_results.csv,3.26561655543401,Linear,0.66666667,4,KMeans,1.0,1.0
5,exchange-4_cpm_results.csv,4.0422786357199,KMeans,0.75,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-4_cpc_results.csv,1.4163231706590838,Linear,0.66666667,1,Linear,0.66666667,0.91666667
9,exchange-3_cpc_results.csv,3.9281788578939305,Linear,0.57142857,2,Linear,0.66666667,0.91666667
10,exchange-3_cpm_results.csv,4.0422786357199,Linear,1.0,3,Linear,0.66666667,0.91666667
11,exchange-2_cpm_results.csv,5.376724761108322,KMeans,0.8,4,Linear,0.66666667,0.91666667
12,exchange-2_cpc_results.csv,5.691080291409356,KMeans,0.33333333,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-3_cpc_results.csv,1.820135133438031,Linear,0.57142857,1,Linear,0.5,0.7
16,exchange-3_cpm_results.csv,2.5469538067708335,Linear,1.0,2,Linear,0.5,0.7
17,exchange-2_cpc_results.csv,2.656760354317788,KMeans,0.33333333,3,Linear,0.5,0.7
18,exchange-4_cpc_results.csv,4.112145088585122,Linear,0.66666667,4,Linear,0.5,0.7
19,exchange-4_cpm_results.csv,5.376724761108322,KMeans,0.75,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-3_cpm_results.csv,1.6798778741377918,Linear,1.0,1,Linear,0.06666667,0.73333334
23,exchange-3_cpc_results.csv,2.1419481368505684,Linear,0.57142857,2,Linear,0.06666667,0.73333334
24,exchange-2_cpm_results.csv,2.656760354317788,KMeans,0.8,3,Linear,0.06666667,0.73333334
25,exchange-4_cpc_results.csv,4.890863926059874,Linear,0.66666667,4,Linear,0.06666667,0.73333334
26,exchange-4_cpm_results.csv,5.691080291409356,KMeans,0.75,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-4_cpm_results.csv,1.4163231706590838,KMeans,0.75,1,KMeans,0.66666667,1.0
30,exchange-3_cpc_results.csv,2.879186660437267,Linear,0.57142857,2,KMeans,0.66666667,1.0
31,exchange-3_cpm_results.csv,3.26561655543401,Linear,1.0,3,Linear,0.66666667,1.0
32,exchange-2_cpm_results.csv,4.112145088585122,KMeans,0.8,4,KMeans,0.66666667,1.0
33,exchange-2_cpc_results.csv,4.890863926059874,KMeans,0.33333333,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpm_results.csv,0.9345757172349974,Linear,1.0,1,Linear,0.57142857,1.0
37,exchange-2_cpm_results.csv,1.820135133438031,KMeans,0.8,2,KMeans,0.57142857,1.0
38,exchange-2_cpc_results.csv,2.1419481368505684,KMeans,0.33333333,3,KMeans,0.57142857,1.0
39,exchange-4_cpc_results.csv,2.879186660437267,Linear,0.66666667,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,3.9281788578939305,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.8916666683333333
0,,,,,2.0,,0.5,0.8916666683333333
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.5,0.8916666683333333
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
