,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-3_cpc_results.csv,0.0011636695088126604,Linear,0.57142857,1,Linear,1.0,1.0
2,exchange-2_cpm_results.csv,0.1023958879224179,KMeans,0.8,2,KMeans,1.0,1.0
3,exchange-2_cpc_results.csv,0.6740831228679962,KMeans,0.33333333,3,KMeans,1.0,1.0
4,exchange-4_cpc_results.csv,0.9529456398531462,Linear,0.66666667,4,KMeans,1.0,1.0
5,exchange-4_cpm_results.csv,0.9993516924271377,KMeans,0.75,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-4_cpc_results.csv,0.23937898011708725,Linear,0.66666667,1,Linear,0.66666667,0.91666667
9,exchange-2_cpc_results.csv,0.355757486314381,KMeans,0.33333333,2,KMeans,0.75,1.0
10,exchange-2_cpm_results.csv,0.7023337159426527,KMeans,0.8,3,KMeans,0.75,1.0
11,exchange-3_cpm_results.csv,0.734748671542079,Linear,1.0,4,KMeans,0.75,1.0
12,exchange-3_cpc_results.csv,0.7581202984704224,Linear,0.57142857,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-4_cpc_results.csv,0.006551004379991954,Linear,0.66666667,1,Linear,0.5,0.7
16,exchange-4_cpm_results.csv,0.09395472093408241,KMeans,0.75,2,KMeans,0.8,1.0
17,exchange-3_cpm_results.csv,0.13765610230820732,Linear,1.0,3,Linear,0.5,0.7
18,exchange-3_cpc_results.csv,0.2092946663749389,Linear,0.57142857,4,Linear,0.5,0.7
19,exchange-2_cpc_results.csv,0.5930440383926124,KMeans,0.33333333,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-4_cpc_results.csv,0.13685606626318303,Linear,0.66666667,1,Linear,0.06666667,0.73333334
23,exchange-4_cpm_results.csv,0.14333505456978646,KMeans,0.75,2,KMeans,0.33333333,1.0
24,exchange-2_cpm_results.csv,0.44813195163504194,KMeans,0.8,3,KMeans,0.33333333,1.0
25,exchange-3_cpm_results.csv,0.5388378456801345,Linear,1.0,4,KMeans,0.33333333,1.0
26,exchange-3_cpc_results.csv,0.5428721827063214,Linear,0.57142857,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-4_cpm_results.csv,0.09580199758209884,KMeans,0.75,1,KMeans,0.66666667,1.0
30,exchange-2_cpm_results.csv,0.16418060727845019,KMeans,0.8,2,KMeans,0.66666667,1.0
31,exchange-3_cpm_results.csv,0.38127250976149607,Linear,1.0,3,KMeans,0.66666667,1.0
32,exchange-3_cpc_results.csv,0.46816846985524646,Linear,0.57142857,4,KMeans,0.66666667,1.0
33,exchange-2_cpc_results.csv,0.6997966806050788,KMeans,0.33333333,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpm_results.csv,0.0052842499565942495,Linear,1.0,1,Linear,0.57142857,1.0
37,exchange-2_cpm_results.csv,0.0834200945020032,KMeans,0.8,2,KMeans,0.57142857,1.0
38,exchange-2_cpc_results.csv,0.6019752517985214,KMeans,0.33333333,3,KMeans,0.57142857,1.0
39,exchange-4_cpc_results.csv,0.9267105927314598,Linear,0.66666667,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,0.9537744822180504,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.8916666683333333
0,,,,,2.0,,1.0,1.0
0,,,,,3.0,,0.8333333333333334,0.9500000000000001
0,,,,,4.0,,0.8333333333333334,0.9500000000000001
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
