,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-4_cpm_results.csv,0.02807119707881872,KMeans,0.75,1,KMeans,1.0,1.0
2,exchange-2_cpc_results.csv,0.12853167068726173,KMeans,0.33333333,2,KMeans,1.0,1.0
3,exchange-4_cpc_results.csv,0.20583757220939625,Linear,0.66666667,3,KMeans,1.0,1.0
4,exchange-3_cpc_results.csv,0.2334296365375186,Linear,0.57142857,4,KMeans,1.0,1.0
5,exchange-2_cpm_results.csv,0.24854931278832948,KMeans,0.8,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-3_cpm_results.csv,0.06346177033783729,Linear,1.0,1,Linear,0.66666667,0.91666667
9,exchange-2_cpm_results.csv,0.12353641070068352,KMeans,0.8,2,KMeans,0.75,1.0
10,exchange-3_cpc_results.csv,0.1422049465184404,Linear,0.57142857,3,Linear,0.66666667,0.91666667
11,exchange-4_cpc_results.csv,0.14268757316158562,Linear,0.66666667,4,Linear,0.66666667,0.91666667
12,exchange-2_cpc_results.csv,0.2191178800914723,KMeans,0.33333333,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-4_cpm_results.csv,0.07160219666219125,KMeans,0.75,1,KMeans,0.8,1.0
16,exchange-3_cpc_results.csv,0.11156066796341718,Linear,0.57142857,2,KMeans,0.8,1.0
17,exchange-4_cpc_results.csv,0.16325385031875847,Linear,0.66666667,3,Linear,0.5,0.7
18,exchange-2_cpc_results.csv,0.23197363582940653,KMeans,0.33333333,4,KMeans,0.8,1.0
19,exchange-3_cpm_results.csv,0.39756812687411414,Linear,1.0,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-4_cpc_results.csv,0.009413376265542627,Linear,0.66666667,1,Linear,0.06666667,0.73333334
23,exchange-2_cpm_results.csv,0.01103524232340348,KMeans,0.8,2,KMeans,0.33333333,1.0
24,exchange-3_cpc_results.csv,0.02088246441092322,Linear,0.57142857,3,Linear,0.06666667,0.73333334
25,exchange-3_cpm_results.csv,0.024930927466538046,Linear,1.0,4,Linear,0.06666667,0.73333334
26,exchange-4_cpm_results.csv,0.14936812227433588,KMeans,0.75,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-3_cpc_results.csv,0.007923673186125005,Linear,0.57142857,1,Linear,0.66666667,1.0
30,exchange-2_cpm_results.csv,0.06000694062182108,KMeans,0.8,2,KMeans,0.66666667,1.0
31,exchange-3_cpm_results.csv,0.10225817537743313,Linear,1.0,3,Linear,0.66666667,1.0
32,exchange-2_cpc_results.csv,0.2188844892292438,KMeans,0.33333333,4,KMeans,0.66666667,1.0
33,exchange-4_cpm_results.csv,0.2709538485354277,KMeans,0.75,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-2_cpc_results.csv,0.0008653651698251963,KMeans,0.33333333,1,KMeans,0.57142857,1.0
37,exchange-4_cpc_results.csv,0.005846308654978701,Linear,0.66666667,2,KMeans,0.57142857,1.0
38,exchange-3_cpm_results.csv,0.04677978893782076,Linear,1.0,3,Linear,0.57142857,1.0
39,exchange-2_cpm_results.csv,0.11022149618315033,KMeans,0.8,4,KMeans,0.57142857,1.0
40,exchange-4_cpm_results.csv,0.4943040282982205,KMeans,0.75,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6666666666666666,0.9416666683333333
0,,,,,2.0,,1.0,1.0
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.6666666666666666,0.9416666683333333
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
