,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-2_cpc_results.csv,0.06085931061239713,KMeans,0.33333333,1,KMeans,1.0,1.0
2,exchange-3_cpc_results.csv,0.08221898773156633,Linear,0.57142857,2,KMeans,1.0,1.0
3,exchange-4_cpc_results.csv,0.21308738884222278,Linear,0.66666667,3,Linear,1.0,1.0
4,exchange-4_cpm_results.csv,0.32455443402000816,KMeans,0.75,4,KMeans,1.0,1.0
5,exchange-2_cpm_results.csv,1.2553213079016161,KMeans,0.8,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-4_cpc_results.csv,0.11146704517778538,Linear,0.66666667,1,Linear,0.66666667,0.91666667
9,exchange-3_cpc_results.csv,0.24233544628844184,Linear,0.57142857,2,Linear,0.66666667,0.91666667
10,exchange-3_cpm_results.csv,0.32455443402000816,Linear,1.0,3,Linear,0.66666667,0.91666667
11,exchange-2_cpc_results.csv,0.3854137446324053,KMeans,0.33333333,4,Linear,0.66666667,0.91666667
12,exchange-2_cpm_results.csv,1.5798757419216245,KMeans,0.8,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-2_cpc_results.csv,1.1944619972892192,KMeans,0.33333333,1,KMeans,0.8,1.0
16,exchange-3_cpm_results.csv,1.2553213079016161,Linear,1.0,2,KMeans,0.8,1.0
17,exchange-3_cpc_results.csv,1.3375402956331826,Linear,0.57142857,3,Linear,0.5,0.7
18,exchange-4_cpc_results.csv,1.468408696743839,Linear,0.66666667,4,Linear,0.5,0.7
19,exchange-4_cpm_results.csv,1.5798757419216245,KMeans,0.75,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-3_cpm_results.csv,0.06085931061239713,Linear,1.0,1,Linear,0.06666667,0.73333334
23,exchange-3_cpc_results.csv,0.14307829834396346,Linear,0.57142857,2,Linear,0.06666667,0.73333334
24,exchange-4_cpc_results.csv,0.2739466994546199,Linear,0.66666667,3,Linear,0.06666667,0.73333334
25,exchange-4_cpm_results.csv,0.3854137446324053,KMeans,0.75,4,Linear,0.06666667,0.73333334
26,exchange-2_cpm_results.csv,1.1944619972892192,KMeans,0.8,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-4_cpm_results.csv,0.11146704517778538,KMeans,0.75,1,KMeans,0.66666667,1.0
30,exchange-3_cpc_results.csv,0.13086840111065645,Linear,0.57142857,2,KMeans,0.66666667,1.0
31,exchange-3_cpm_results.csv,0.21308738884222278,Linear,1.0,3,Linear,0.66666667,1.0
32,exchange-2_cpc_results.csv,0.2739466994546199,KMeans,0.33333333,4,KMeans,0.66666667,1.0
33,exchange-2_cpm_results.csv,1.468408696743839,KMeans,0.8,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpm_results.csv,0.08221898773156633,Linear,1.0,1,Linear,0.57142857,1.0
37,exchange-4_cpc_results.csv,0.13086840111065645,Linear,0.66666667,2,Linear,0.57142857,1.0
38,exchange-2_cpc_results.csv,0.14307829834396346,KMeans,0.33333333,3,Linear,0.57142857,1.0
39,exchange-4_cpm_results.csv,0.24233544628844184,KMeans,0.75,4,KMeans,0.57142857,1.0
40,exchange-2_cpm_results.csv,1.3375402956331826,KMeans,0.8,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6666666666666666,0.9416666683333333
0,,,,,2.0,,0.6666666666666666,0.9416666683333333
0,,,,,3.0,,0.5,0.8916666683333333
0,,,,,4.0,,0.5,0.8916666683333333
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
