,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
1,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.0
2,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.0
3,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.0
4,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.0
5,exchange-4_cpm_results.csv,2.6382590800206476,KMeans,0.75,5,KMeans,1.0,1.0,0.0
6,,,,,,,,,
7,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
8,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.1
9,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.1
10,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.1
11,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.1
12,exchange-4_cpm_results.csv,2.6382590800206476,KMeans,0.75,5,KMeans,1.0,1.0,0.1
13,,,,,,,,,
14,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
15,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.2
16,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.2
17,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.2
18,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.2
19,exchange-4_cpm_results.csv,2.6382590800206476,KMeans,0.75,5,KMeans,1.0,1.0,0.2
20,,,,,,,,,
21,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
22,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.30000000000000004
23,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.30000000000000004
24,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.30000000000000004
25,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.30000000000000004
26,exchange-4_cpm_results.csv,2.6382590800206476,KMeans,0.75,5,KMeans,1.0,1.0,0.30000000000000004
27,,,,,,,,,
28,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
29,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.4
30,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.4
31,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.4
32,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.4
33,exchange-4_cpm_results.csv,2.6382590800206476,KMeans,0.75,5,KMeans,1.0,1.0,0.4
34,,,,,,,,,
35,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
36,exchange-2_cpc_results.csv,0.0509208531391534,KMeans,0.33333333,1,KMeans,1.0,1.0,0.5
37,exchange-2_cpm_results.csv,0.8595185701331018,KMeans,0.8,2,KMeans,1.0,1.0,0.5
38,exchange-4_cpc_results.csv,1.7383616336032748,Linear,0.66666667,3,KMeans,1.0,1.0,0.5
39,exchange-3_cpc_results.csv,1.9226761966789678,Linear,0.57142857,4,KMeans,1.0,1.0,0.5
