,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
1,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.0
2,,,,,,,,,
3,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
4,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.1
5,,,,,,,,,
6,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
7,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.2
8,,,,,,,,,
9,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
10,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.30000000000000004
11,,,,,,,,,
12,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
13,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.4
14,,,,,,,,,
15,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
16,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.5
17,,,,,,,,,
18,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
19,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.6000000000000001
20,,,,,,,,,
21,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
22,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.7000000000000001
23,,,,,,,,,
24,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
25,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.8
26,,,,,,,,,
27,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
28,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,0.9
29,,,,,,,,,
30,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
31,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,1.0,1.0,1.0
32,,,,,,,,,
33,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
34,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.0
35,,,,,,,,,
36,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
37,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.1
38,,,,,,,,,
39,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
40,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.2
41,,,,,,,,,
42,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
43,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.30000000000000004
44,,,,,,,,,
45,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
46,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.4
47,,,,,,,,,
48,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
49,exchange-2_cpm_results.csv,0.0,KMeans,0.8,1,KMeans,0.75,1.0,0.5
50,,,,,,,,,
51,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1,
