,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
1,exchange-2_cpc_results.csv,288419152.8607788,KMeans,0.33333333,1,KMeans,1.0,1.0,0.0
2,exchange-4_cpm_results.csv,1660634622.9108276,KMeans,0.75,2,KMeans,1.0,1.0,0.0
3,exchange-3_cpc_results.csv,2009664906.1748047,Linear,0.57142857,3,KMeans,1.0,1.0,0.0
4,exchange-4_cpc_results.csv,2566859606.4865685,Linear,0.66666667,4,KMeans,1.0,1.0,0.0
5,exchange-2_cpm_results.csv,3036991715.250449,KMeans,0.8,5,KMeans,1.0,1.0,0.0
6,,,,,,,,,
7,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
8,exchange-2_cpc_results.csv,238548312.53485107,KMeans,0.33333333,1,KMeans,1.0,1.0,0.1
9,exchange-4_cpm_results.csv,577177652.7493286,KMeans,0.75,2,KMeans,1.0,1.0,0.1
10,exchange-3_cpc_results.csv,1604597508.9311485,Linear,0.57142857,3,KMeans,1.0,1.0,0.1
11,exchange-4_cpc_results.csv,1935817559.9733238,Linear,0.66666667,4,KMeans,1.0,1.0,0.1
12,exchange-2_cpm_results.csv,2215291487.704772,KMeans,0.8,5,KMeans,1.0,1.0,0.1
13,,,,,,,,,
14,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
15,exchange-4_cpm_results.csv,742577364.2980957,KMeans,0.75,1,KMeans,1.0,1.0,0.2
16,exchange-2_cpc_results.csv,2053133800.2753906,KMeans,0.33333333,2,KMeans,1.0,1.0,0.2
17,exchange-3_cpc_results.csv,4247717124.1657104,Linear,0.57142857,3,KMeans,1.0,1.0,0.2
18,exchange-4_cpc_results.csv,4779841180.695007,Linear,0.66666667,4,KMeans,1.0,1.0,0.2
19,exchange-2_cpm_results.csv,5228846930.648063,KMeans,0.8,5,KMeans,1.0,1.0,0.2
20,,,,,,,,,
21,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
22,exchange-4_cpm_results.csv,5746425289.239319,KMeans,0.75,1,KMeans,1.0,1.0,0.30000000000000004
23,exchange-2_cpc_results.csv,7415032599.754395,KMeans,0.33333333,2,KMeans,1.0,1.0,0.30000000000000004
24,exchange-3_cpc_results.csv,10209084589.92192,Linear,0.57142857,3,KMeans,1.0,1.0,0.30000000000000004
25,exchange-4_cpc_results.csv,10886573486.881283,Linear,0.66666667,4,KMeans,1.0,1.0,0.30000000000000004
26,exchange-2_cpm_results.csv,11458249611.389465,KMeans,0.8,5,KMeans,1.0,1.0,0.30000000000000004
27,,,,,,,,,
28,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
29,exchange-4_cpm_results.csv,17182010392.144775,KMeans,0.75,1,KMeans,1.0,1.0,0.4
30,exchange-2_cpc_results.csv,18865001086.144775,KMeans,0.33333333,2,KMeans,1.0,1.0,0.4
31,exchange-3_cpc_results.csv,21683139097.58789,Linear,0.57142857,3,KMeans,1.0,1.0,0.4
32,exchange-4_cpc_results.csv,22366468594.942978,Linear,0.66666667,4,KMeans,1.0,1.0,0.4
33,exchange-2_cpm_results.csv,22943072916.887386,KMeans,0.8,5,KMeans,1.0,1.0,0.4
34,,,,,,,,,
35,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
36,exchange-4_cpm_results.csv,13532266706.403366,KMeans,0.75,1,KMeans,1.0,1.0,0.5
37,exchange-2_cpc_results.csv,14024873109.736877,KMeans,0.33333333,2,KMeans,1.0,1.0,0.5
38,exchange-3_cpc_results.csv,14849563345.0462,Linear,0.57142857,3,KMeans,1.0,1.0,0.5
39,exchange-4_cpc_results.csv,15049547832.86026,Linear,0.66666667,4,KMeans,1.0,1.0,0.5
40,exchange-2_cpm_results.csv,15218316929.124489,KMeans,0.8,5,KMeans,1.0,1.0,0.5
41,,,,,,,,,
42,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
43,exchange-4_cpm_results.csv,113615426781.89136,KMeans,0.75,1,KMeans,1.0,1.0,0.6000000000000001
44,exchange-2_cpc_results.csv,115111143814.43285,KMeans,0.33333333,2,KMeans,1.0,1.0,0.6000000000000001
45,exchange-3_cpc_results.csv,117615837328.77344,Linear,0.57142857,3,KMeans,1.0,1.0,0.6000000000000001
46,exchange-4_cpc_results.csv,118223149423.7423,Linear,0.66666667,4,KMeans,1.0,1.0,0.6000000000000001
47,exchange-2_cpm_results.csv,118735592751.00719,KMeans,0.8,5,KMeans,1.0,1.0,0.6000000000000001
48,,,,,,,,,
49,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
50,exchange-4_cpm_results.csv,406466187300.6567,KMeans,0.75,1,KMeans,1.0,1.0,0.7000000000000001
51,exchange-2_cpc_results.csv,408262006411.4685,KMeans,0.33333333,2,KMeans,1.0,1.0,0.7000000000000001
52,exchange-3_cpc_results.csv,411269313283.1007,Linear,0.57142857,3,KMeans,1.0,1.0,0.7000000000000001
53,exchange-4_cpc_results.csv,411998486473.45526,Linear,0.66666667,4,KMeans,1.0,1.0,0.7000000000000001
54,exchange-2_cpm_results.csv,412613747222.61127,KMeans,0.8,5,KMeans,1.0,1.0,0.7000000000000001
55,,,,,,,,,
56,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
57,exchange-4_cpm_results.csv,281393846805.57556,KMeans,0.75,1,KMeans,1.0,1.0,0.8
58,exchange-2_cpc_results.csv,281773379430.1316,KMeans,0.33333333,2,KMeans,1.0,1.0,0.8
59,exchange-3_cpc_results.csv,282408959806.2839,Linear,0.57142857,3,KMeans,1.0,1.0,0.8
60,exchange-4_cpc_results.csv,282563066291.9755,Linear,0.66666667,4,KMeans,1.0,1.0,0.8
61,exchange-2_cpm_results.csv,282693096956.7212,KMeans,0.8,5,KMeans,1.0,1.0,0.8
62,,,,,,,,,
63,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
64,exchange-4_cpm_results.csv,3938588091357.6406,KMeans,0.75,1,KMeans,1.0,1.0,0.9
65,exchange-2_cpc_results.csv,3940054504665.952,KMeans,0.33333333,2,KMeans,1.0,1.0,0.9
66,exchange-3_cpc_results.csv,3942510120184.2183,Linear,0.57142857,3,KMeans,1.0,1.0,0.9
67,exchange-4_cpc_results.csv,3943105533180.7607,Linear,0.66666667,4,KMeans,1.0,1.0,0.9
