,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
1,exchange-2_cpc_results.csv,228.88579435367956,KMeans,0.33333333,1,KMeans,1.0,1.0,0.0
2,exchange-2_cpm_results.csv,3863.4778987115537,KMeans,0.8,2,KMeans,1.0,1.0,0.0
3,exchange-4_cpc_results.csv,7813.818089298907,Linear,0.66666667,3,KMeans,1.0,1.0,0.0
4,exchange-3_cpc_results.csv,8642.299596968187,Linear,0.57142857,4,KMeans,1.0,1.0,0.0
5,exchange-4_cpm_results.csv,11858.79630867826,KMeans,0.75,5,KMeans,1.0,1.0,0.0
6,,,,,,,,,
7,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
8,exchange-2_cpc_results.csv,303.6059739680413,KMeans,0.33333333,1,KMeans,1.0,1.0,0.1
9,exchange-2_cpm_results.csv,4395.969667033274,KMeans,0.8,2,KMeans,1.0,1.0,0.1
10,exchange-4_cpc_results.csv,8346.309857620628,Linear,0.66666667,3,KMeans,1.0,1.0,0.1
11,exchange-3_cpc_results.csv,9174.791365289908,Linear,0.57142857,4,KMeans,1.0,1.0,0.1
12,exchange-4_cpm_results.csv,12391.288076999981,KMeans,0.75,5,KMeans,1.0,1.0,0.1
13,,,,,,,,,
14,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
15,exchange-2_cpc_results.csv,1475.0878642758262,KMeans,0.33333333,1,KMeans,1.0,1.0,0.2
16,exchange-2_cpm_results.csv,5567.451557341059,KMeans,0.8,2,KMeans,1.0,1.0,0.2
17,exchange-4_cpc_results.csv,9517.791747928411,Linear,0.66666667,3,KMeans,1.0,1.0,0.2
18,exchange-3_cpc_results.csv,10346.273255597693,Linear,0.57142857,4,KMeans,1.0,1.0,0.2
19,exchange-4_cpm_results.csv,13562.769967307766,KMeans,0.75,5,KMeans,1.0,1.0,0.2
20,,,,,,,,,
21,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
22,exchange-2_cpc_results.csv,3583.7552668298404,KMeans,0.33333333,1,KMeans,1.0,1.0,0.30000000000000004
23,exchange-2_cpm_results.csv,7676.118959895073,KMeans,0.8,2,KMeans,1.0,1.0,0.30000000000000004
24,exchange-4_cpc_results.csv,11626.459150482428,Linear,0.66666667,3,KMeans,1.0,1.0,0.30000000000000004
25,exchange-3_cpc_results.csv,12454.940658151707,Linear,0.57142857,4,KMeans,1.0,1.0,0.30000000000000004
26,exchange-4_cpm_results.csv,15671.43736986178,KMeans,0.75,5,KMeans,1.0,1.0,0.30000000000000004
27,,,,,,,,,
28,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
29,exchange-2_cpc_results.csv,7238.778764590131,KMeans,0.33333333,1,KMeans,1.0,1.0,0.4
30,exchange-2_cpm_results.csv,11331.142457655364,KMeans,0.8,2,KMeans,1.0,1.0,0.4
31,exchange-4_cpc_results.csv,15281.482648242716,Linear,0.66666667,3,KMeans,1.0,1.0,0.4
32,exchange-3_cpc_results.csv,16109.964155911997,Linear,0.57142857,4,KMeans,1.0,1.0,0.4
33,exchange-4_cpm_results.csv,19326.46086762207,KMeans,0.75,5,KMeans,1.0,1.0,0.4
34,,,,,,,,,
35,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
36,exchange-2_cpc_results.csv,13635.06988567064,KMeans,0.33333333,1,KMeans,1.0,1.0,0.5
37,exchange-2_cpm_results.csv,17727.433578735872,KMeans,0.8,2,KMeans,1.0,1.0,0.5
38,exchange-4_cpc_results.csv,21677.773769323227,Linear,0.66666667,3,KMeans,1.0,1.0,0.5
39,exchange-3_cpc_results.csv,22506.255276992506,Linear,0.57142857,4,KMeans,1.0,1.0,0.5
40,exchange-4_cpm_results.csv,25722.751988702577,KMeans,0.75,5,KMeans,1.0,1.0,0.5
41,,,,,,,,,
42,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
43,exchange-2_cpc_results.csv,25148.393903615557,KMeans,0.33333333,1,KMeans,1.0,1.0,0.6000000000000001
44,exchange-2_cpm_results.csv,29240.75759668079,KMeans,0.8,2,KMeans,1.0,1.0,0.6000000000000001
