,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
1,exchange-2_cpc_results.csv,1010612.0053620636,KMeans,0.33333333,1,KMeans,1.0,1.0,0.0
2,exchange-4_cpm_results.csv,5337991.57652197,KMeans,0.75,2,KMeans,1.0,1.0,0.0
3,exchange-3_cpc_results.csv,8859583.228786847,Linear,0.57142857,3,KMeans,1.0,1.0,0.0
4,exchange-4_cpc_results.csv,12434151.187043792,Linear,0.66666667,4,KMeans,1.0,1.0,0.0
5,exchange-2_cpm_results.csv,15965147.994835991,KMeans,0.8,5,KMeans,1.0,1.0,0.0
6,,,,,,,,,
7,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
8,exchange-2_cpc_results.csv,1341281.1835839488,KMeans,0.33333333,1,KMeans,1.0,1.0,0.1
9,exchange-4_cpm_results.csv,2988529.3836538345,KMeans,0.75,2,KMeans,1.0,1.0,0.1
10,exchange-3_cpc_results.csv,11214745.686443426,Linear,0.57142857,3,KMeans,1.0,1.0,0.1
11,exchange-4_cpc_results.csv,14782517.408581784,Linear,0.66666667,4,KMeans,1.0,1.0,0.1
12,exchange-2_cpm_results.csv,18270329.61713815,KMeans,0.8,5,KMeans,1.0,1.0,0.1
13,,,,,,,,,
14,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
15,exchange-4_cpm_results.csv,2196325.261506941,KMeans,0.75,1,KMeans,1.0,1.0,0.2
16,exchange-2_cpc_results.csv,6544827.298390619,KMeans,0.33333333,2,KMeans,1.0,1.0,0.2
17,exchange-3_cpc_results.csv,16456423.269905468,Linear,0.57142857,3,KMeans,1.0,1.0,0.2
18,exchange-4_cpc_results.csv,20042089.207061056,Linear,0.66666667,4,KMeans,1.0,1.0,0.2
19,exchange-2_cpm_results.csv,23662759.875403725,KMeans,0.8,5,KMeans,1.0,1.0,0.2
20,,,,,,,,,
21,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
22,exchange-4_cpm_results.csv,11583194.259884391,KMeans,0.75,1,KMeans,1.0,1.0,0.30000000000000004
23,exchange-2_cpc_results.csv,15943330.800743323,KMeans,0.33333333,2,KMeans,1.0,1.0,0.30000000000000004
24,exchange-3_cpc_results.csv,25867809.51757861,Linear,0.57142857,3,KMeans,1.0,1.0,0.30000000000000004
25,exchange-4_cpc_results.csv,29445753.379347272,Linear,0.66666667,4,KMeans,1.0,1.0,0.30000000000000004
26,exchange-2_cpm_results.csv,33029437.376799334,KMeans,0.8,5,KMeans,1.0,1.0,0.30000000000000004
27,,,,,,,,,
28,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1,
29,exchange-4_cpm_results.csv,27957942.962220795,KMeans,0.75,1,KMeans,1.0,1.0,0.4
30,exchange-2_cpc_results.csv,32335987.80369409,KMeans,0.33333333,2,KMeans,1.0,1.0,0.4
31,exchange-3_cpc_results.csv,42279156.63294885,Linear,0.57142857,3,KMeans,1.0,1.0,0.4
