,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.044451594,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.08376396,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Thyroid Disease,0.3388282,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,speed_7578.csv,1.008094,KMeans,0.75,4,KMeans,0.83333333,1.0
5,Twitter_volume_AAPL.csv,1.0640006,Linear,0.4,5,KMeans,0.83333333,1.0
6,speed_6005.csv,1.0862572,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,speed_t4013.csv,1.1035659,Linear,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_CVS.csv,1.1463715,Linear,0.66666667,8,KMeans,0.83333333,1.0
9,Twitter_volume_PFE.csv,1.177159,KMeans,0.42857143,9,KMeans,0.83333333,1.0
10,Twitter_volume_FB.csv,1.1839958,Linear,1.0,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,0.086894274,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,0.114724636,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,0.293746,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,speed_7578.csv,1.0864218,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_AAPL.csv,1.1103523,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
18,speed_6005.csv,1.1611336,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,speed_t4013.csv,1.1804996,Linear,1.0,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,1.20415,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_PFE.csv,1.2248437,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_FB.csv,1.2429038,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Letter Recognition,0.012594104,KMeans,0.44545455,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,0.1258949,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,Thyroid Disease,0.40718937,KMeans,0.22317597,3,KMeans,0.44545455,1.0
28,speed_7578.csv,0.9744693,KMeans,0.75,4,KMeans,0.44545455,1.0
29,Twitter_volume_AAPL.csv,1.017024,Linear,0.4,5,KMeans,0.44545455,1.0
30,speed_6005.csv,1.0464221,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,speed_t4013.csv,1.0660812,Linear,1.0,7,KMeans,0.44545455,1.0
32,Twitter_volume_CVS.csv,1.1024406,Linear,0.66666667,8,KMeans,0.44545455,1.0
33,Twitter_volume_PFE.csv,1.1251124,KMeans,0.42857143,9,KMeans,0.44545455,1.0
34,Twitter_volume_FB.csv,1.1398633,Linear,1.0,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,0.024636745,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Pen-Based Recognition of Handwritten Text,0.10627067,KMeans,0.88648649,2,KMeans,0.22317597,1.0
39,Thyroid Disease,0.36947906,KMeans,0.22317597,3,KMeans,0.22317597,1.0
40,speed_7578.csv,0.96111786,KMeans,0.75,4,KMeans,0.22317597,1.0
41,speed_6005.csv,1.0302296,Linear,0.66666667,5,KMeans,0.22317597,1.0
42,Twitter_volume_AAPL.csv,1.0489811,Linear,0.4,6,KMeans,0.22317597,1.0
43,speed_t4013.csv,1.0499048,Linear,1.0,7,KMeans,0.22317597,1.0
