,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,33.39247109872901,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,42.109363485655734,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Thyroid Disease,62.94385019487084,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,speed_7578.csv,94.95882627977623,KMeans,0.75,4,KMeans,0.83333333,1.0
5,speed_t4013.csv,104.00783147092318,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_6005.csv,106.08002246206247,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,110.31514424789775,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Twitter_volume_FB.csv,119.15567185598422,Linear,1.0,8,KMeans,0.83333333,1.0
9,Twitter_volume_AMZN.csv,120.54742152284308,KMeans,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_GOOG.csv,121.49353802554677,Linear,0.4,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,110.31514424789775,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,120.70535005515656,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,122.47147215022915,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text,125.74045740978826,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
17,speed_7578.csv,165.2401103174086,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
18,speed_t4013.csv,167.8719777511025,Linear,1.0,6,KMeans,0.38537271,0.4468761299999999
19,speed_6005.csv,171.35976456720215,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,171.76888439643088,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_PFE.csv,175.7458636622936,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_KO.csv,177.1819395394973,Linear,0.8,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
