,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,1.5285389928017707,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,16.341361193739317,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Thyroid Disease,16.75291016438038,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,Twitter_volume_AAPL.csv,88.12714566025565,Linear,0.4,4,KMeans,0.83333333,1.0
5,Twitter_volume_AMZN.csv,96.68865965345958,KMeans,0.66666667,5,KMeans,0.83333333,1.0
6,Twitter_volume_GOOG.csv,98.30112127338839,Linear,0.4,6,KMeans,0.83333333,1.0
7,Twitter_volume_FB.csv,100.74422915466714,Linear,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_KO.csv,101.99225363111506,Linear,0.8,8,KMeans,0.83333333,1.0
9,Twitter_volume_IBM.csv,102.92202579049635,Linear,0.5,9,Linear,0.63157895,0.79824562
10,Twitter_volume_UPS.csv,103.63078794148291,Linear,0.28571429,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Thyroid Disease,151.3270309426058,KMeans,0.22317597,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,159.7291911080385,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Breast Cancer Diagnostic,160.07540400946405,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,168.34994022040877,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_AAPL.csv,206.25779772827082,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_GOOG.csv,207.28875309000856,Linear,0.4,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_IBM.csv,209.63569037904486,Linear,0.5,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_AMZN.csv,211.1096447537743,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_UPS.csv,213.2603196460392,Linear,0.28571429,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_CRM.csv,214.3574725039954,KMeans,0.54545455,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,2.9600090880010654,KMeans,0.88648649,1,KMeans,0.44545455,1.0
