,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.83333333,1.0
4,speed_6005.csv,14.488449572041974,Linear,0.66666667,4,KMeans,0.83333333,1.0
5,Thyroid Disease,15.83478842466436,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,Twitter_volume_CVS.csv,16.813421492821558,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,speed_t4013.csv,17.41913349845251,Linear,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_PFE.csv,17.622016578517773,KMeans,0.42857143,8,KMeans,0.83333333,1.0
9,Twitter_volume_FB.csv,18.036984978108627,Linear,1.0,9,KMeans,0.83333333,1.0
10,Twitter_volume_AAPL.csv,18.464761045243108,Linear,0.4,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
16,speed_6005.csv,14.488449572041974,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
17,Thyroid Disease,15.83478842466436,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_CVS.csv,16.813421492821558,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,speed_t4013.csv,17.41913349845251,Linear,1.0,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_PFE.csv,17.622016578517773,KMeans,0.42857143,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_FB.csv,18.036984978108627,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_AAPL.csv,18.464761045243108,Linear,0.4,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.44545455,1.0
28,speed_6005.csv,14.488449572041974,Linear,0.66666667,4,KMeans,0.44545455,1.0
29,Thyroid Disease,15.83478842466436,KMeans,0.22317597,5,KMeans,0.44545455,1.0
30,Twitter_volume_CVS.csv,16.813421492821558,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,speed_t4013.csv,17.41913349845251,Linear,1.0,7,KMeans,0.44545455,1.0
32,Twitter_volume_PFE.csv,17.622016578517773,KMeans,0.42857143,8,KMeans,0.44545455,1.0
33,Twitter_volume_FB.csv,18.036984978108627,Linear,1.0,9,KMeans,0.44545455,1.0
34,Twitter_volume_AAPL.csv,18.464761045243108,Linear,0.4,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.22317597,1.0
39,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.22317597,1.0
40,speed_6005.csv,14.488449572041974,Linear,0.66666667,4,KMeans,0.22317597,1.0
41,Thyroid Disease,15.83478842466436,KMeans,0.22317597,5,KMeans,0.22317597,1.0
42,Twitter_volume_CVS.csv,16.813421492821558,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,speed_t4013.csv,17.41913349845251,Linear,1.0,7,KMeans,0.22317597,1.0
44,Twitter_volume_PFE.csv,17.622016578517773,KMeans,0.42857143,8,KMeans,0.22317597,1.0
45,Twitter_volume_FB.csv,18.036984978108627,Linear,1.0,9,KMeans,0.22317597,1.0
46,Twitter_volume_AAPL.csv,18.464761045243108,Linear,0.4,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.88648649,1.0
50,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.88648649,1.0
51,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.88648649,1.0
52,speed_6005.csv,14.488449572041974,Linear,0.66666667,4,KMeans,0.88648649,1.0
53,Thyroid Disease,15.83478842466436,KMeans,0.22317597,5,KMeans,0.88648649,1.0
54,Twitter_volume_CVS.csv,16.813421492821558,Linear,0.66666667,6,KMeans,0.88648649,1.0
55,speed_t4013.csv,17.41913349845251,Linear,1.0,7,KMeans,0.88648649,1.0
56,Twitter_volume_PFE.csv,17.622016578517773,KMeans,0.42857143,8,KMeans,0.88648649,1.0
57,Twitter_volume_FB.csv,18.036984978108627,Linear,1.0,9,KMeans,0.88648649,1.0
58,Twitter_volume_AAPL.csv,18.464761045243108,Linear,0.4,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,Letter Recognition,2.158833276832997,KMeans,0.44545455,1,KMeans,0.75,1.0
62,Pen-Based Recognition of Handwritten Text,2.2291739539770177,KMeans,0.88648649,2,KMeans,0.75,1.0
63,speed_7578.csv,13.30704134968946,KMeans,0.75,3,KMeans,0.75,1.0
