,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.4370526,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,KDD-Cup99 HTTP,0.44663715,RPCA,0.93849658,2,KMeans,0.83333333,1.0
3,Letter Recognition,1.1875561,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text,1.7744529,KMeans,0.88648649,4,KMeans,0.83333333,1.0
5,speed_7578.csv,1.7792587,KMeans,0.75,5,KMeans,0.83333333,1.0
6,speed_t4013.csv,1.805229,Linear,1.0,6,KMeans,0.83333333,1.0
7,speed_6005.csv,1.8053234,Linear,0.66666667,7,KMeans,0.83333333,1.0
8,Twitter_volume_CRM.csv,1.9038427,KMeans,0.54545455,8,KMeans,0.83333333,1.0
9,Twitter_volume_AAPL.csv,1.9038427,Linear,0.4,9,KMeans,0.83333333,1.0
10,Twitter_volume_IBM.csv,1.9038874,Linear,0.5,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Thyroid Disease,0.22098804,KMeans,0.22317597,1,KMeans,0.38537271,0.4468761299999999
14,KDD-Cup99 HTTP,0.6375356,RPCA,0.93849658,2,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,0.99799573,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
16,speed_7578.csv,1.5991347,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,speed_t4013.csv,1.6235037,Linear,1.0,5,KMeans,0.38537271,0.4468761299999999
18,speed_6005.csv,1.6235948,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Pen-Based Recognition of Handwritten Text,1.6273903,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CRM.csv,1.7186484,KMeans,0.54545455,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AAPL.csv,1.7186484,Linear,0.4,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_IBM.csv,1.7186936,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,0.31326997,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,KDD-Cup99 HTTP,0.5339178,RPCA,0.93849658,2,KMeans,0.44545455,1.0
27,Letter Recognition,1.0878043,KMeans,0.44545455,3,KMeans,0.44545455,1.0
28,Pen-Based Recognition of Handwritten Text,1.6996526,KMeans,0.88648649,4,KMeans,0.44545455,1.0
29,speed_7578.csv,1.6998292,KMeans,0.75,5,KMeans,0.44545455,1.0
30,speed_t4013.csv,1.7232709,Linear,1.0,6,KMeans,0.44545455,1.0
31,speed_6005.csv,1.7233574,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,Twitter_volume_CRM.csv,1.8044292,KMeans,0.54545455,8,KMeans,0.44545455,1.0
