,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,3.2437726187968243,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,3.70679667753773,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,speed_7578.csv,5.5144020707598616,KMeans,0.75,3,KMeans,0.83333333,1.0
4,speed_t4013.csv,5.557305501836681,Linear,1.0,4,KMeans,0.83333333,1.0
5,speed_6005.csv,5.557390118567439,Linear,0.66666667,5,KMeans,0.83333333,1.0
6,Twitter_volume_AMZN.csv,5.7836591975861085,KMeans,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_FB.csv,5.783710404178511,Linear,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_GOOG.csv,5.783941875795471,Linear,0.4,8,KMeans,0.83333333,1.0
9,Twitter_volume_KO.csv,5.7841734683590085,Linear,0.8,9,Linear,0.63157895,0.79824562
10,Twitter_volume_CVS.csv,5.784225121874748,Linear,0.66666667,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Twitter_volume_CRM.csv,6.266001784444308,KMeans,0.54545455,1,KMeans,0.38537271,0.4468761299999999
14,Twitter_volume_AAPL.csv,6.266001784444308,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_IBM.csv,6.266402993868437,Linear,0.5,3,Linear,0.92639843,0.98790185
16,Twitter_volume_UPS.csv,6.267607189389543,Linear,0.28571429,4,Linear,0.92639843,0.98790185
17,Twitter_volume_PFE.csv,6.2679641511365425,KMeans,0.42857143,5,Linear,0.92639843,0.98790185
18,Twitter_volume_CVS.csv,6.268187290202671,Linear,0.66666667,6,Linear,0.92639843,0.98790185
19,Twitter_volume_KO.csv,6.268276554127672,Linear,0.8,7,Linear,0.92639843,0.98790185
20,Twitter_volume_GOOG.csv,6.26867829878783,Linear,0.4,8,Linear,0.92639843,0.98790185
21,Twitter_volume_FB.csv,6.269080137840834,Linear,1.0,9,Linear,0.92639843,0.98790185
22,Twitter_volume_AMZN.csv,6.269169448031662,KMeans,0.66666667,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,2.048420302857761,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Breast Cancer Diagnostic,3.2437726187968243,KMeans,0.83333333,2,KMeans,0.44545455,1.0
27,speed_7578.csv,3.9589845001992683,KMeans,0.75,3,KMeans,0.44545455,1.0
28,speed_t4013.csv,3.977041700132371,Linear,1.0,4,KMeans,0.44545455,1.0
29,speed_6005.csv,3.977090837904333,Linear,0.66666667,5,KMeans,0.44545455,1.0
30,Twitter_volume_AMZN.csv,4.258506172254815,KMeans,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_FB.csv,4.258574962771467,Linear,1.0,7,KMeans,0.44545455,1.0
32,Twitter_volume_GOOG.csv,4.258884934722877,Linear,0.4,8,KMeans,0.44545455,1.0
33,Twitter_volume_KO.csv,4.259195060945804,Linear,0.8,9,Linear,0.22222222,0.77676767
34,Twitter_volume_CVS.csv,4.25926405576995,Linear,0.66666667,10,Linear,0.22222222,0.77676767
35,,,,,,,,
