,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,3.6118043948894503,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,5.789916493592244,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,speed_7578.csv,9.36991772689986,KMeans,0.75,3,KMeans,0.83333333,1.0
4,speed_t4013.csv,9.562216942026117,Linear,1.0,4,KMeans,0.83333333,1.0
5,speed_6005.csv,9.562817311401663,Linear,0.66666667,5,KMeans,0.83333333,1.0
6,Thyroid Disease,10.076822508435326,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Twitter_volume_AMZN.csv,10.97535179592788,KMeans,0.66666667,7,KMeans,0.83333333,1.0
8,Twitter_volume_FB.csv,10.975558942824298,Linear,1.0,8,KMeans,0.83333333,1.0
9,Twitter_volume_GOOG.csv,10.976492413415864,Linear,0.4,9,KMeans,0.83333333,1.0
10,Twitter_volume_KO.csv,10.97742588400743,Linear,0.8,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,11.519987399577463,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Thyroid Disease,12.84986277203314,KMeans,0.22317597,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_CRM.csv,13.201734120392075,KMeans,0.54545455,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_AAPL.csv,13.201734120392075,Linear,0.4,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_IBM.csv,13.20266759098364,Linear,0.5,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_UPS.csv,13.205468526581413,Linear,0.28571429,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_PFE.csv,13.206298161813233,KMeans,0.42857143,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,13.20681681478889,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_KO.csv,13.20702448550838,Linear,0.8,9,Linear,0.92639843,0.98790185
22,Twitter_volume_GOOG.csv,13.207957956099946,Linear,0.4,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,2.913637139619894,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Breast Cancer Diagnostic,3.6118043948894503,KMeans,0.83333333,2,KMeans,0.44545455,1.0
27,speed_7578.csv,6.489076247494757,KMeans,0.75,3,KMeans,0.44545455,1.0
28,speed_t4013.csv,6.674625233140578,Linear,1.0,4,KMeans,0.44545455,1.0
29,speed_6005.csv,6.6752256025161225,Linear,0.66666667,5,KMeans,0.44545455,1.0
30,Thyroid Disease,7.18923079954979,KMeans,0.22317597,6,KMeans,0.44545455,1.0
31,Twitter_volume_AMZN.csv,8.08776008704234,KMeans,0.66666667,7,KMeans,0.44545455,1.0
32,Twitter_volume_FB.csv,8.087967233938757,Linear,1.0,8,KMeans,0.44545455,1.0
33,Twitter_volume_GOOG.csv,8.088900704530323,Linear,0.4,9,KMeans,0.44545455,1.0
34,Twitter_volume_KO.csv,8.08983417512189,Linear,0.8,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
