,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.26627020469163654,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,KDD-Cup99 HTTP,0.8787778732825586,RPCA,0.93849658,2,KMeans,0.83333333,1.0
3,Letter Recognition,1.0732260313387627,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text,1.8550404980216362,KMeans,0.88648649,4,KMeans,0.83333333,1.0
5,Twitter_volume_CRM.csv,2.030405286085318,KMeans,0.54545455,5,KMeans,0.83333333,1.0
6,Twitter_volume_AAPL.csv,2.030405286085318,Linear,0.4,6,KMeans,0.83333333,1.0
7,Twitter_volume_IBM.csv,2.0304389998825307,Linear,0.5,7,KMeans,0.83333333,1.0
8,Twitter_volume_UPS.csv,2.0305401004761165,Linear,0.28571429,8,KMeans,0.83333333,1.0
9,Twitter_volume_PFE.csv,2.0305700161642193,KMeans,0.42857143,9,KMeans,0.83333333,1.0
10,Twitter_volume_CVS.csv,2.0305887318802283,Linear,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Twitter_volume_AMZN.csv,0.0031480591949559766,KMeans,0.66666667,1,KMeans,0.38537271,0.4468761299999999
14,Twitter_volume_FB.csv,0.003153695073280005,Linear,1.0,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_GOOG.csv,0.0031791151136459916,Linear,0.4,3,Linear,0.92639843,0.98790185
16,Twitter_volume_KO.csv,0.00320458300213744,Linear,0.8,4,Linear,0.92639843,0.98790185
17,Twitter_volume_CVS.csv,0.0032102572204193436,Linear,0.66666667,5,Linear,0.92639843,0.98790185
18,Twitter_volume_PFE.csv,0.003224435917448254,KMeans,0.42857143,6,Linear,0.92639843,0.98790185
19,Twitter_volume_UPS.csv,0.0032471456662932496,Linear,0.28571429,7,Linear,0.92639843,0.98790185
20,Twitter_volume_IBM.csv,0.003324090580703931,Linear,0.5,8,Linear,0.92639843,0.98790185
21,Twitter_volume_CRM.csv,0.003349834618639136,KMeans,0.54545455,9,Linear,0.92639843,0.98790185
22,Twitter_volume_AAPL.csv,0.003349834618639136,Linear,0.4,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,KDD-Cup99 HTTP,0.04822426590328277,RPCA,0.93849658,1,RPCA,0.31698113,0.87152658
26,Thyroid Disease,0.07695519919846205,KMeans,0.22317597,2,KMeans,0.44545455,1.0
27,Pen-Based Recognition of Handwritten Text,0.34583929009937364,KMeans,0.88648649,3,KMeans,0.44545455,1.0
28,Twitter_volume_CRM.csv,0.36848106179962414,KMeans,0.54545455,4,KMeans,0.44545455,1.0
29,Twitter_volume_AAPL.csv,0.36848106179962414,Linear,0.4,5,KMeans,0.44545455,1.0
30,Twitter_volume_IBM.csv,0.3686027698197414,Linear,0.5,6,KMeans,0.44545455,1.0
31,Twitter_volume_UPS.csv,0.36896758037215704,Linear,0.28571429,7,KMeans,0.44545455,1.0
32,Twitter_volume_PFE.csv,0.3690755528014016,KMeans,0.42857143,8,KMeans,0.44545455,1.0
33,Twitter_volume_CVS.csv,0.369143038069069,Linear,0.66666667,9,KMeans,0.44545455,1.0
34,Twitter_volume_KO.csv,0.3691700270510836,Linear,0.8,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,0.13328610770473048,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Pen-Based Recognition of Handwritten Text,0.4634304389210939,KMeans,0.88648649,2,KMeans,0.22317597,1.0
39,Breast Cancer Diagnostic,0.48014724149599886,KMeans,0.83333333,3,KMeans,0.22317597,1.0
40,Twitter_volume_CRM.csv,0.6104400951568374,KMeans,0.54545455,4,KMeans,0.22317597,1.0
41,Twitter_volume_AAPL.csv,0.6104400951568374,Linear,0.4,5,KMeans,0.22317597,1.0
42,Twitter_volume_IBM.csv,0.6104712267436481,Linear,0.5,6,KMeans,0.22317597,1.0
43,Twitter_volume_UPS.csv,0.6105645183824302,Linear,0.28571429,7,KMeans,0.22317597,1.0
44,Twitter_volume_PFE.csv,0.6105921130510124,KMeans,0.42857143,8,KMeans,0.22317597,1.0
45,Twitter_volume_CVS.csv,0.6106093621508852,Linear,0.66666667,9,KMeans,0.22317597,1.0
46,Twitter_volume_KO.csv,0.6106162599188953,Linear,0.8,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Twitter_volume_CRM.csv,0.2582105913277388,KMeans,0.54545455,1,KMeans,0.88648649,1.0
50,Twitter_volume_AAPL.csv,0.2582105913277388,Linear,0.4,2,KMeans,0.88648649,1.0
51,Twitter_volume_IBM.csv,0.25824562344723745,Linear,0.5,3,Linear,0.64473684,0.75825035
52,Twitter_volume_UPS.csv,0.2583505410479603,Linear,0.28571429,4,Linear,0.64473684,0.75825035
53,Twitter_volume_PFE.csv,0.2583815482191909,KMeans,0.42857143,5,Linear,0.64473684,0.75825035
54,Twitter_volume_CVS.csv,0.2584009191632042,Linear,0.66666667,6,Linear,0.64473684,0.75825035
55,Twitter_volume_KO.csv,0.2584086611619796,Linear,0.8,7,Linear,0.64473684,0.75825035
56,Twitter_volume_GOOG.csv,0.25844349801286626,Linear,0.4,8,Linear,0.64473684,0.75825035
57,Twitter_volume_FB.csv,0.2584782804438923,Linear,1.0,9,Linear,0.64473684,0.75825035
58,Twitter_volume_AMZN.csv,0.25848598814338786,KMeans,0.66666667,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,speed_6005.csv,1.4821492093641808e-06,Linear,0.66666667,1,Linear,0.4,0.65
62,speed_t4013.csv,3.236720933441628e-06,Linear,1.0,2,Linear,0.4,0.65
63,KDD-Cup99 HTTP,0.012290809239604406,RPCA,0.93849658,3,Linear,0.4,0.65
64,Twitter_volume_AMZN.csv,0.03334072146766265,KMeans,0.66666667,4,Linear,0.4,0.65
65,Twitter_volume_FB.csv,0.033349883992801255,Linear,1.0,5,Linear,0.4,0.65
66,Twitter_volume_GOOG.csv,0.03339117452764673,Linear,0.4,6,Linear,0.4,0.65
67,Twitter_volume_KO.csv,0.03343249049753472,Linear,0.8,7,Linear,0.4,0.65
68,Twitter_volume_CVS.csv,0.03344168741548725,Linear,0.66666667,8,Linear,0.4,0.65
69,Twitter_volume_PFE.csv,0.03346465243855623,KMeans,0.42857143,9,Linear,0.4,0.65
70,Twitter_volume_UPS.csv,0.03350141061405165,Linear,0.28571429,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_AAPL.csv,1.6443387984566016e-08,Linear,0.4,1,Linear,0.4,1.0
74,Twitter_volume_IBM.csv,0.00014918346206460598,Linear,0.5,2,Linear,0.4,1.0
75,Twitter_volume_UPS.csv,0.0005958393245650839,Linear,0.28571429,3,Linear,0.4,1.0
76,Twitter_volume_PFE.csv,0.0007278937038899258,KMeans,0.42857143,4,Linear,0.4,1.0
77,Twitter_volume_CVS.csv,0.0008103812695781087,Linear,0.66666667,5,Linear,0.4,1.0
78,Twitter_volume_KO.csv,0.0008434159780579265,Linear,0.8,6,Linear,0.4,1.0
79,Twitter_volume_GOOG.csv,0.0009917374308443527,Linear,0.4,7,Linear,0.4,1.0
80,Twitter_volume_FB.csv,0.0011399125906530472,Linear,1.0,8,Linear,0.4,1.0
81,Twitter_volume_AMZN.csv,0.0011727933433292037,KMeans,0.66666667,9,Linear,0.4,1.0
82,speed_7578.csv,0.041623056635464506,KMeans,0.75,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_PFE.csv,3.43509656275387e-05,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
