,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.83333333,1.0
4,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.83333333,1.0
5,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.83333333,1.0
9,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.83333333,1.0
10,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999
15,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.38537271,0.4468761299999999
16,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
17,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.38537271,0.4468761299999999
18,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.44545455,1.0
27,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.44545455,1.0
28,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.44545455,1.0
29,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.44545455,1.0
30,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.44545455,1.0
32,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.44545455,1.0
33,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.44545455,1.0
34,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.22317597,1.0
38,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.22317597,1.0
39,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.22317597,1.0
40,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.22317597,1.0
41,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.22317597,1.0
42,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.22317597,1.0
44,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.22317597,1.0
45,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.22317597,1.0
46,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.88648649,1.0
50,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.88648649,1.0
51,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.88648649,1.0
52,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.88648649,1.0
53,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.88648649,1.0
54,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.88648649,1.0
55,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.88648649,1.0
56,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.88648649,1.0
57,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.88648649,1.0
58,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.75,1.0
62,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.75,1.0
63,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.75,1.0
64,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.75,1.0
65,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.75,1.0
66,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.75,1.0
67,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.75,1.0
68,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.75,1.0
69,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.75,1.0
70,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.75,1.0
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.4,1.0
74,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.4,1.0
75,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.4,1.0
76,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.4,1.0
77,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.4,1.0
78,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.4,1.0
79,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.4,1.0
80,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.4,1.0
81,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.4,1.0
82,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.22222222,0.93650793
86,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.22222222,0.93650793
87,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.22222222,0.93650793
88,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.22222222,0.93650793
89,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.22222222,0.93650793
90,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.22222222,0.93650793
91,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.22222222,0.93650793
92,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.22222222,0.93650793
93,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.22222222,0.93650793
94,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.22222222,0.93650793
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,Thyroid Disease,0.5338439989612622,KMeans,0.22317597,1,KMeans,0.66666667,1.0
98,Letter Recognition,2.747751679833981,KMeans,0.44545455,2,KMeans,0.66666667,1.0
99,KDD-Cup99 HTTP,4.745644524349366,RPCA,0.93849658,3,KMeans,0.66666667,1.0
100,speed_7578.csv,4.746121109764755,KMeans,0.75,4,KMeans,0.66666667,1.0
101,speed_t4013.csv,4.924449629355556,Linear,1.0,5,KMeans,0.66666667,1.0
102,speed_6005.csv,4.925027025808801,Linear,0.66666667,6,KMeans,0.66666667,1.0
103,Pen-Based Recognition of Handwritten Text,5.008363996193356,KMeans,0.88648649,7,KMeans,0.66666667,1.0
104,Twitter_volume_CRM.csv,6.319089760361008,KMeans,0.54545455,8,KMeans,0.66666667,1.0
105,Twitter_volume_AAPL.csv,6.319089760361008,Linear,0.4,9,KMeans,0.66666667,1.0
106,Twitter_volume_IBM.csv,6.3201169566654425,Linear,0.5,10,KMeans,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
