,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.06301272,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.0977695,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Letter Recognition,0.26346838,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Twitter_volume_AAPL.csv,1.2413762,Linear,0.4,4,KMeans,0.83333333,1.0
5,speed_7578.csv,1.3109488,KMeans,0.75,5,KMeans,0.83333333,1.0
6,Twitter_volume_CVS.csv,1.3667333,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_FB.csv,1.3843473,Linear,1.0,7,KMeans,0.83333333,1.0
8,Twitter_volume_PFE.csv,1.3867842,KMeans,0.42857143,8,KMeans,0.83333333,1.0
9,speed_6005.csv,1.3913695,Linear,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_GOOG.csv,1.4056089,Linear,0.4,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Thyroid Disease,0.02310729,KMeans,0.22317597,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,0.07712221,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,0.22776318,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_AAPL.csv,1.2808912,Linear,0.4,4,KMeans,0.38537271,0.4468761299999999
17,speed_7578.csv,1.2835302,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
18,speed_6005.csv,1.3718734,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_CVS.csv,1.3847775,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,speed_t4013.csv,1.3960595,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_PFE.csv,1.4207213,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_FB.csv,1.4212048,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,0.052410126,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Thyroid Disease,0.06724405,KMeans,0.22317597,2,KMeans,0.44545455,1.0
27,Letter Recognition,0.238886,KMeans,0.44545455,3,KMeans,0.44545455,1.0
28,speed_7578.csv,1.1598662,KMeans,0.75,4,KMeans,0.44545455,1.0
29,Twitter_volume_AAPL.csv,1.1828513,Linear,0.4,5,KMeans,0.44545455,1.0
30,speed_6005.csv,1.2472218,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_CVS.csv,1.2617607,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,speed_t4013.csv,1.2683866,Linear,1.0,8,KMeans,0.44545455,1.0
33,Twitter_volume_PFE.csv,1.3042403,KMeans,0.42857143,9,KMeans,0.44545455,1.0
34,Twitter_volume_FB.csv,1.3158662,Linear,1.0,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Pen-Based Recognition of Handwritten Text,0.03279841,KMeans,0.88648649,1,KMeans,0.22317597,1.0
38,Thyroid Disease,0.04948342,KMeans,0.22317597,2,KMeans,0.22317597,1.0
39,Letter Recognition,0.23902607,KMeans,0.44545455,3,KMeans,0.22317597,1.0
40,speed_7578.csv,1.1613915,KMeans,0.75,4,KMeans,0.22317597,1.0
41,Twitter_volume_AAPL.csv,1.1769519,Linear,0.4,5,KMeans,0.22317597,1.0
42,speed_6005.csv,1.2508591,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,Twitter_volume_CVS.csv,1.2636759,Linear,0.66666667,7,KMeans,0.22317597,1.0
44,speed_t4013.csv,1.2723725,Linear,1.0,8,KMeans,0.22317597,1.0
45,Twitter_volume_PFE.csv,1.3029382,KMeans,0.42857143,9,KMeans,0.22317597,1.0
46,Twitter_volume_FB.csv,1.3268161,Linear,1.0,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Thyroid Disease,0.033260703,KMeans,0.22317597,1,KMeans,0.88648649,1.0
50,Pen-Based Recognition of Handwritten Text,0.092240214,KMeans,0.88648649,2,KMeans,0.88648649,1.0
51,Letter Recognition,0.16901314,KMeans,0.44545455,3,KMeans,0.88648649,1.0
52,Twitter_volume_AAPL.csv,1.1575265,Linear,0.4,4,KMeans,0.88648649,1.0
