,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,27.297448033453282,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,33.33988782021577,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Thyroid Disease,53.909252954308,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,speed_7578.csv,81.40246287899666,KMeans,0.75,4,KMeans,0.83333333,1.0
5,speed_t4013.csv,90.35633858953997,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_6005.csv,92.41462533544775,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,95.11188456892616,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Twitter_volume_FB.csv,106.15161973956423,Linear,1.0,8,KMeans,0.83333333,1.0
9,Twitter_volume_AMZN.csv,107.54774391186385,KMeans,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_GOOG.csv,108.4938541825851,Linear,0.4,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,95.11188456892616,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,Thyroid Disease,98.23361523069468,KMeans,0.22317597,2,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,103.09657574142389,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text,110.80613569621985,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
17,speed_7578.csv,149.29615000279412,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
18,speed_t4013.csv,151.96117954607496,Linear,1.0,6,KMeans,0.38537271,0.4468761299999999
19,speed_6005.csv,155.43506211694304,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,156.5098893440637,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_PFE.csv,160.4868658401564,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_KO.csv,161.92076121595403,Linear,0.8,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,32.277440391001434,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Breast Cancer Diagnostic,33.33988782021577,KMeans,0.83333333,2,KMeans,0.44545455,1.0
27,Thyroid Disease,40.64804777105765,KMeans,0.22317597,3,KMeans,0.44545455,1.0
28,speed_7578.csv,73.03008516276134,KMeans,0.75,4,KMeans,0.44545455,1.0
29,speed_t4013.csv,79.19626771075309,Linear,1.0,5,KMeans,0.44545455,1.0
30,speed_6005.csv,82.5283911553438,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_CVS.csv,97.52790311934257,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,Twitter_volume_CRM.csv,98.38367726954944,KMeans,0.54545455,8,KMeans,0.44545455,1.0
33,Twitter_volume_AMZN.csv,98.41838867817349,KMeans,0.66666667,9,KMeans,0.44545455,1.0
34,Twitter_volume_GOOG.csv,99.30337981343112,Linear,0.4,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,40.64804777105765,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Breast Cancer Diagnostic,53.909252954308,KMeans,0.83333333,2,KMeans,0.22317597,1.0
39,Pen-Based Recognition of Handwritten Text,54.784201783094694,KMeans,0.88648649,3,KMeans,0.22317597,1.0
40,speed_7578.csv,79.72391643191796,KMeans,0.75,4,KMeans,0.22317597,1.0
41,speed_t4013.csv,82.70496266517341,Linear,1.0,5,KMeans,0.22317597,1.0
42,speed_6005.csv,85.37164975324721,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,Twitter_volume_CVS.csv,90.13274658910278,Linear,0.66666667,7,KMeans,0.22317597,1.0
44,Twitter_volume_PFE.csv,94.54938494317804,KMeans,0.42857143,8,KMeans,0.22317597,1.0
45,Twitter_volume_CRM.csv,96.30414826555231,KMeans,0.54545455,9,KMeans,0.22317597,1.0
46,KDD-Cup99 HTTP,98.23361523069468,RPCA,0.93849658,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Breast Cancer Diagnostic,27.297448033453282,KMeans,0.83333333,1,KMeans,0.88648649,1.0
50,Letter Recognition,32.277440391001434,KMeans,0.44545455,2,KMeans,0.88648649,1.0
51,Thyroid Disease,54.784201783094694,KMeans,0.22317597,3,KMeans,0.88648649,1.0
52,speed_7578.csv,81.38149921491232,KMeans,0.75,4,KMeans,0.88648649,1.0
53,speed_t4013.csv,89.05795460609122,Linear,1.0,5,KMeans,0.88648649,1.0
54,speed_6005.csv,92.23319927655515,Linear,0.66666667,6,KMeans,0.88648649,1.0
55,Twitter_volume_FB.csv,106.03258366727208,Linear,1.0,7,KMeans,0.88648649,1.0
56,Twitter_volume_KO.csv,107.6827464530084,Linear,0.8,8,KMeans,0.88648649,1.0
57,Twitter_volume_AMZN.csv,107.89772558491362,KMeans,0.66666667,9,KMeans,0.88648649,1.0
58,Twitter_volume_CRM.csv,108.61395078251809,KMeans,0.54545455,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,speed_t4013.csv,9.489712819429835,Linear,1.0,1,Linear,0.4,0.65
62,speed_6005.csv,11.568197928299426,Linear,0.66666667,2,Linear,0.4,0.65
63,Twitter_volume_AMZN.csv,27.64782590965988,KMeans,0.66666667,3,Linear,0.4,0.65
64,Twitter_volume_GOOG.csv,28.357222443869084,Linear,0.4,4,Linear,0.4,0.65
65,Twitter_volume_CRM.csv,29.5151386441067,KMeans,0.54545455,5,Linear,0.4,0.65
66,Twitter_volume_IBM.csv,30.132589116107084,Linear,0.5,6,Linear,0.4,0.65
67,Twitter_volume_UPS.csv,30.62375457036034,Linear,0.28571429,7,Linear,0.4,0.65
68,Twitter_volume_FB.csv,30.67018893902916,Linear,1.0,8,Linear,0.4,0.65
69,Twitter_volume_PFE.csv,31.66211570847466,KMeans,0.42857143,9,Linear,0.4,0.65
70,Twitter_volume_CVS.csv,32.43259324521064,Linear,0.66666667,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_AMZN.csv,6.423540920103248,KMeans,0.66666667,1,KMeans,0.4,1.0
74,Twitter_volume_GOOG.csv,8.529930753761745,Linear,0.4,2,KMeans,0.4,1.0
75,Twitter_volume_KO.csv,11.028478029104145,Linear,0.8,3,Linear,0.4,1.0
76,Twitter_volume_CRM.csv,11.044209882073734,KMeans,0.54545455,4,KMeans,0.4,1.0
77,Twitter_volume_FB.csv,11.294236200225534,Linear,1.0,5,Linear,0.4,1.0
78,Twitter_volume_IBM.csv,11.317393992598998,Linear,0.5,6,Linear,0.4,1.0
79,Twitter_volume_UPS.csv,12.491198229983093,Linear,0.28571429,7,Linear,0.4,1.0
80,Twitter_volume_PFE.csv,16.713790375016714,KMeans,0.42857143,8,Linear,0.4,1.0
81,Twitter_volume_CVS.csv,19.07293183349173,Linear,0.66666667,9,Linear,0.4,1.0
82,speed_6005.csv,25.17307999499748,Linear,0.66666667,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_IBM.csv,5.5425110477641635,Linear,0.5,1,Linear,0.28571429,1.0
86,Twitter_volume_CRM.csv,6.050357929492166,KMeans,0.54545455,2,KMeans,0.22222222,0.93650793
87,Twitter_volume_PFE.csv,6.217955230143583,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
88,Twitter_volume_GOOG.csv,9.392745304244617,Linear,0.4,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_AMZN.csv,10.48116608888261,KMeans,0.66666667,5,KMeans,0.22222222,0.93650793
90,Twitter_volume_CVS.csv,12.040134346627132,Linear,0.66666667,6,KMeans,0.22222222,0.93650793
91,Twitter_volume_AAPL.csv,12.491198229983093,Linear,0.4,7,Linear,0.28571429,1.0
92,Twitter_volume_KO.csv,13.54066851299988,Linear,0.8,8,Linear,0.28571429,1.0
93,Twitter_volume_FB.csv,15.444109669291505,Linear,1.0,9,Linear,0.28571429,1.0
94,speed_6005.csv,20.279476610052196,Linear,0.66666667,10,Linear,0.28571429,1.0
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,speed_t4013.csv,3.983518859455149,Linear,1.0,1,Linear,0.66666667,1.0
98,speed_7578.csv,11.568197928299426,KMeans,0.75,2,KMeans,0.66666667,1.0
99,Twitter_volume_GOOG.csv,18.33650144514641,Linear,0.4,3,Linear,0.66666667,1.0
100,Twitter_volume_UPS.csv,20.279476610052196,Linear,0.28571429,4,Linear,0.66666667,1.0
101,Twitter_volume_CRM.csv,20.460430527731916,KMeans,0.54545455,5,Linear,0.66666667,1.0
102,Twitter_volume_IBM.csv,20.97753109881222,Linear,0.5,6,Linear,0.66666667,1.0
103,Twitter_volume_AMZN.csv,21.032043084548928,KMeans,0.66666667,7,Linear,0.66666667,1.0
104,Twitter_volume_PFE.csv,22.492680273372855,KMeans,0.42857143,8,KMeans,0.66666667,1.0
105,Twitter_volume_FB.csv,24.779186442365436,Linear,1.0,9,Linear,0.66666667,1.0
106,Twitter_volume_AAPL.csv,25.17307999499748,Linear,0.4,10,Linear,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
109,Twitter_volume_FB.csv,6.791007333199367,Linear,1.0,1,Linear,0.8,1.0
110,Twitter_volume_AMZN.csv,8.489287691097633,KMeans,0.66666667,2,KMeans,0.8,1.0
111,Twitter_volume_GOOG.csv,9.946821537192449,Linear,0.4,3,Linear,0.8,1.0
112,Twitter_volume_CRM.csv,10.493014273461691,KMeans,0.54545455,4,KMeans,0.8,1.0
113,Twitter_volume_IBM.csv,10.779848461811927,Linear,0.5,5,Linear,0.8,1.0
