,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,0.5740372394792672,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Thyroid Disease,3.4504617977971783,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Letter Recognition,4.313081876467592,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Twitter_volume_GOOG.csv,15.845424610119538,Linear,0.4,4,KMeans,0.83333333,1.0
5,Twitter_volume_AAPL.csv,16.835144147457466,Linear,0.4,5,KMeans,0.83333333,1.0
6,Twitter_volume_AMZN.csv,18.135741813616093,KMeans,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_CRM.csv,20.112122706436224,KMeans,0.54545455,7,KMeans,0.83333333,1.0
8,Twitter_volume_IBM.csv,20.316113839138474,Linear,0.5,8,KMeans,0.83333333,1.0
9,Twitter_volume_UPS.csv,20.738298207043993,Linear,0.28571429,9,KMeans,0.83333333,1.0
10,Twitter_volume_PFE.csv,22.194677001661812,KMeans,0.42857143,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text,224.57750095348626,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
14,Breast Cancer Diagnostic,226.59315523698064,KMeans,0.83333333,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,235.87976280126935,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,243.96248397668901,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_AAPL.csv,275.4479864243665,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_GOOG.csv,280.8729804507042,Linear,0.4,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AMZN.csv,282.5852402908079,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CRM.csv,287.1990311188273,KMeans,0.54545455,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_UPS.csv,287.2497641206712,Linear,0.28571429,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_FB.csv,287.92445485046494,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,9.221464464585239,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Breast Cancer Diagnostic,19.726635493215312,KMeans,0.83333333,2,KMeans,0.44545455,1.0
27,Pen-Based Recognition of Handwritten Text,22.76106516771226,KMeans,0.88648649,3,KMeans,0.44545455,1.0
28,Twitter_volume_AAPL.csv,33.27371702340237,Linear,0.4,4,KMeans,0.44545455,1.0
29,Twitter_volume_KO.csv,34.25459551252743,Linear,0.8,5,KMeans,0.44545455,1.0
30,Twitter_volume_IBM.csv,39.73817141123348,Linear,0.5,6,KMeans,0.44545455,1.0
31,Twitter_volume_UPS.csv,44.533315924357815,Linear,0.28571429,7,Linear,0.22222222,0.77676767
32,Twitter_volume_GOOG.csv,45.782535290481,Linear,0.4,8,Linear,0.22222222,0.77676767
33,Twitter_volume_CRM.csv,45.97638302138984,KMeans,0.54545455,9,Linear,0.22222222,0.77676767
34,Twitter_volume_AMZN.csv,47.84595310182322,KMeans,0.66666667,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,15.60351960234334,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Breast Cancer Diagnostic,35.796841625081555,KMeans,0.83333333,2,KMeans,0.22317597,1.0
39,Pen-Based Recognition of Handwritten Text,39.673197133692696,KMeans,0.88648649,3,KMeans,0.22317597,1.0
40,Twitter_volume_AAPL.csv,136.53979615195334,Linear,0.4,4,KMeans,0.22317597,1.0
41,Twitter_volume_GOOG.csv,150.46517387996965,Linear,0.4,5,KMeans,0.22317597,1.0
42,Twitter_volume_IBM.csv,152.6711637517549,Linear,0.5,6,KMeans,0.22317597,1.0
43,Twitter_volume_AMZN.csv,155.74374431954922,KMeans,0.66666667,7,KMeans,0.22317597,1.0
44,Twitter_volume_UPS.csv,164.05564948304874,Linear,0.28571429,8,KMeans,0.22317597,1.0
45,Twitter_volume_FB.csv,166.91984854626006,Linear,1.0,9,Linear,0.19112628,0.96795031
46,Twitter_volume_CRM.csv,170.52083301213708,KMeans,0.54545455,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Breast Cancer Diagnostic,2.7634514695459984,KMeans,0.83333333,1,KMeans,0.88648649,1.0
50,Thyroid Disease,13.187225910593753,KMeans,0.22317597,2,KMeans,0.88648649,1.0
51,Letter Recognition,22.572031186426244,KMeans,0.44545455,3,KMeans,0.88648649,1.0
52,Twitter_volume_AAPL.csv,51.53438990550803,Linear,0.4,4,KMeans,0.88648649,1.0
53,Twitter_volume_KO.csv,53.05436958785542,Linear,0.8,5,KMeans,0.88648649,1.0
54,Twitter_volume_FB.csv,60.13862005422956,Linear,1.0,6,KMeans,0.88648649,1.0
55,Twitter_volume_IBM.csv,61.09055992876758,Linear,0.5,7,Linear,0.64473684,0.75825035
56,Twitter_volume_UPS.csv,61.52307693026785,Linear,0.28571429,8,Linear,0.64473684,0.75825035
57,Twitter_volume_AMZN.csv,62.75514641299168,KMeans,0.66666667,9,Linear,0.64473684,0.75825035
58,Twitter_volume_GOOG.csv,63.0838174836903,Linear,0.4,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,speed_t4013.csv,18.008003247017484,Linear,1.0,1,Linear,0.4,0.65
62,Twitter_volume_CVS.csv,22.253942260992552,Linear,0.66666667,2,Linear,0.4,0.65
63,speed_6005.csv,28.532291007387197,Linear,0.66666667,3,Linear,0.4,0.65
64,Twitter_volume_PFE.csv,48.585623088394755,KMeans,0.42857143,4,Linear,0.4,0.65
65,Twitter_volume_KO.csv,54.98212136697748,Linear,0.8,5,Linear,0.4,0.65
66,Twitter_volume_CRM.csv,62.18918472148846,KMeans,0.54545455,6,Linear,0.4,0.65
67,Twitter_volume_FB.csv,62.47970724597363,Linear,1.0,7,Linear,0.4,0.65
68,Twitter_volume_UPS.csv,68.35435993675365,Linear,0.28571429,8,Linear,0.4,0.65
69,Twitter_volume_IBM.csv,76.79700401901697,Linear,0.5,9,Linear,0.4,0.65
70,Twitter_volume_AMZN.csv,80.76829271432678,KMeans,0.66666667,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_GOOG.csv,1.2427280822907747,Linear,0.4,1,Linear,0.4,1.0
74,Twitter_volume_AMZN.csv,6.991684500087221,KMeans,0.66666667,2,KMeans,0.4,1.0
75,Twitter_volume_IBM.csv,7.0407636117637615,Linear,0.5,3,Linear,0.4,1.0
76,Twitter_volume_UPS.csv,8.029070696901993,Linear,0.28571429,4,Linear,0.4,1.0
77,Twitter_volume_CRM.csv,10.67397694100595,KMeans,0.54545455,5,Linear,0.4,1.0
78,Twitter_volume_FB.csv,12.530434993283865,Linear,1.0,6,Linear,0.4,1.0
79,Twitter_volume_PFE.csv,17.38801207135712,KMeans,0.42857143,7,Linear,0.4,1.0
80,Twitter_volume_KO.csv,17.775295024974284,Linear,0.8,8,Linear,0.4,1.0
81,speed_6005.csv,20.106295338217123,Linear,0.66666667,9,Linear,0.4,1.0
82,Twitter_volume_CVS.csv,22.836483439287786,Linear,0.66666667,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_IBM.csv,3.122010777823803,Linear,0.5,1,Linear,0.28571429,1.0
86,Twitter_volume_CRM.csv,4.201239901321387,KMeans,0.54545455,2,KMeans,0.22222222,0.93650793
87,Twitter_volume_AMZN.csv,5.313645914546392,KMeans,0.66666667,3,KMeans,0.22222222,0.93650793
88,Twitter_volume_KO.csv,5.978127981914437,Linear,0.8,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_FB.csv,6.229705197084147,Linear,1.0,5,Linear,0.28571429,1.0
90,Twitter_volume_GOOG.csv,9.12339986832702,Linear,0.4,6,Linear,0.28571429,1.0
91,Twitter_volume_PFE.csv,11.295417475288826,KMeans,0.42857143,7,Linear,0.28571429,1.0
92,Twitter_volume_AAPL.csv,13.826932818834294,Linear,0.4,8,Linear,0.28571429,1.0
93,speed_6005.csv,19.67582179443097,Linear,0.66666667,9,Linear,0.28571429,1.0
94,Twitter_volume_CVS.csv,23.406197498894468,Linear,0.66666667,10,Linear,0.28571429,1.0
95,,,,,,,,
