,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,0.9758854194192601,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,5.557743459025808,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Thyroid Disease,7.43146307555007,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,Twitter_volume_CVS.csv,13.978491998268847,Linear,0.66666667,4,KMeans,0.83333333,1.0
5,speed_7578.csv,14.11156455567543,KMeans,0.75,5,KMeans,0.83333333,1.0
6,speed_6005.csv,15.273655769673818,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_AAPL.csv,15.500420373699628,Linear,0.4,7,KMeans,0.83333333,1.0
8,Twitter_volume_PFE.csv,15.546161850623013,KMeans,0.42857143,8,KMeans,0.83333333,1.0
9,Twitter_volume_FB.csv,15.556153882901603,Linear,1.0,9,KMeans,0.83333333,1.0
10,Twitter_volume_KO.csv,16.85931277581564,Linear,0.8,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text,0.9758854194192601,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,5.557743459025808,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,7.43146307555007,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_CVS.csv,13.978491998268847,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
17,speed_7578.csv,14.11156455567543,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
18,speed_6005.csv,15.273655769673818,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AAPL.csv,15.500420373699628,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_PFE.csv,15.546161850623013,KMeans,0.42857143,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_FB.csv,15.556153882901603,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_KO.csv,16.85931277581564,Linear,0.8,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,0.9758854194192601,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Letter Recognition,5.557743459025808,KMeans,0.44545455,2,KMeans,0.44545455,1.0
27,Thyroid Disease,7.43146307555007,KMeans,0.22317597,3,KMeans,0.44545455,1.0
28,Twitter_volume_CVS.csv,13.978491998268847,Linear,0.66666667,4,KMeans,0.44545455,1.0
29,speed_7578.csv,14.11156455567543,KMeans,0.75,5,KMeans,0.44545455,1.0
30,speed_6005.csv,15.273655769673818,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_AAPL.csv,15.500420373699628,Linear,0.4,7,KMeans,0.44545455,1.0
32,Twitter_volume_PFE.csv,15.546161850623013,KMeans,0.42857143,8,KMeans,0.44545455,1.0
33,Twitter_volume_FB.csv,15.556153882901603,Linear,1.0,9,KMeans,0.44545455,1.0
34,Twitter_volume_KO.csv,16.85931277581564,Linear,0.8,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Pen-Based Recognition of Handwritten Text,0.9758854194192601,KMeans,0.88648649,1,KMeans,0.22317597,1.0
38,Letter Recognition,5.557743459025808,KMeans,0.44545455,2,KMeans,0.22317597,1.0
39,Thyroid Disease,7.43146307555007,KMeans,0.22317597,3,KMeans,0.22317597,1.0
40,Twitter_volume_CVS.csv,13.978491998268847,Linear,0.66666667,4,KMeans,0.22317597,1.0
41,speed_7578.csv,14.11156455567543,KMeans,0.75,5,KMeans,0.22317597,1.0
42,speed_6005.csv,15.273655769673818,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,Twitter_volume_AAPL.csv,15.500420373699628,Linear,0.4,7,KMeans,0.22317597,1.0
