,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,0.18078232,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,0.45388424,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Twitter_volume_UPS.csv,1.0279197,Linear,0.28571429,3,KMeans,0.83333333,1.0
4,Thyroid Disease,1.1291476,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Twitter_volume_PFE.csv,1.1364172,KMeans,0.42857143,5,KMeans,0.83333333,1.0
6,Twitter_volume_IBM.csv,1.1534793,Linear,0.5,6,KMeans,0.83333333,1.0
7,Twitter_volume_AAPL.csv,1.2035716,Linear,0.4,7,KMeans,0.83333333,1.0
8,Twitter_volume_FB.csv,1.2390071,Linear,1.0,8,KMeans,0.83333333,1.0
9,speed_7578.csv,1.2392575,KMeans,0.75,9,KMeans,0.83333333,1.0
10,speed_6005.csv,1.2707503,Linear,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text,0.21853328,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,0.539441,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_UPS.csv,1.1043879,Linear,0.28571429,3,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,1.1963617,KMeans,0.22317597,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_PFE.csv,1.212924,KMeans,0.42857143,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_IBM.csv,1.2308736,Linear,0.5,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AAPL.csv,1.2837529,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_FB.csv,1.3155639,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999
21,speed_7578.csv,1.3211819,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999
22,speed_6005.csv,1.3469138,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,0.09960973,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Letter Recognition,0.7342961,KMeans,0.44545455,2,KMeans,0.44545455,1.0
27,Twitter_volume_UPS.csv,1.2779067,Linear,0.28571429,3,KMeans,0.44545455,1.0
28,Twitter_volume_PFE.csv,1.388907,KMeans,0.42857143,4,KMeans,0.44545455,1.0
29,Thyroid Disease,1.3939297,KMeans,0.22317597,5,KMeans,0.44545455,1.0
30,Twitter_volume_IBM.csv,1.4066902,Linear,0.5,6,KMeans,0.44545455,1.0
31,Twitter_volume_AAPL.csv,1.4589841,Linear,0.4,7,KMeans,0.44545455,1.0
32,Twitter_volume_FB.csv,1.5129972,Linear,1.0,8,KMeans,0.44545455,1.0
33,speed_7578.csv,1.5178952,KMeans,0.75,9,KMeans,0.44545455,1.0
