,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,4.330209906796801,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Thyroid Disease,4.455128045047952,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Letter Recognition,4.753222815630946,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Twitter_volume_FB.csv,4.983970570382021,Linear,1.0,4,KMeans,0.83333333,1.0
5,Twitter_volume_KO.csv,5.251445875901081,Linear,0.8,5,KMeans,0.83333333,1.0
6,Twitter_volume_CVS.csv,5.437772684933086,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_AMZN.csv,5.534997067279446,KMeans,0.66666667,7,KMeans,0.83333333,1.0
8,speed_7578.csv,5.545527941601408,KMeans,0.75,8,KMeans,0.83333333,1.0
9,speed_t4013.csv,5.76780611251448,Linear,1.0,9,KMeans,0.83333333,1.0
10,Twitter_volume_CRM.csv,5.8818830507124655,KMeans,0.54545455,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,7.174035716417737,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,8.492998903672527,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,8.637205120864099,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_FB.csv,8.779530405913713,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_KO.csv,8.884394003701162,Linear,0.8,5,KMeans,0.38537271,0.4468761299999999
18,Letter Recognition,9.120637365668534,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_CVS.csv,9.150449284902113,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_AMZN.csv,9.258491126872682,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,speed_7578.csv,9.283656298490104,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999
22,speed_t4013.csv,9.437581769704297,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,3.3023792157363627,KMeans,0.22317597,1,KMeans,0.44545455,1.0
